,Label,Condition,Set,Pyruv,Timestamp_MST,Trel,Timestamp_Label_MST,id,Flux,D13C,AtF,Qc_iso,Qc_flux
1,S1.P1,pre_drought,5,C1,9/16/19 9:44,-0.258888889,9/16/19 10:00,1,2.752021915,-21.67392921,0.010819538,1,1
2,S1.P4,pre_drought,5,C2,9/16/19 9:54,-0.254444444,9/16/19 10:10,2,2.004686752,-15.6926267,0.010884967,1,1
3,S2.P1,pre_drought,4,C1,9/16/19 10:05,24.08333333,9/15/19 10:00,3,7.347376689,385.5031012,0.015253916,1,1
4,S1.P1,pre_drought,5,C1,9/16/19 10:15,0.254444444,9/16/19 10:00,1,2.939369829,932.8892416,0.021152971,1,1
5,S1.P4,pre_drought,5,C2,9/16/19 10:25,0.258888889,9/16/19 10:10,2,2.117622962,220.0872452,0.013457251,1,1
6,S2.P4,pre_drought,4,C2,9/16/19 10:35,24.43027778,9/15/19 10:10,4,3.464024205,1003.374373,0.021907441,1,1
7,S1.P1,pre_drought,5,C1,9/16/19 10:46,0.768055556,9/16/19 10:00,1,2.935689425,2248.288801,0.035043848,1,1
8,S1.P4,pre_drought,5,C2,9/16/19 10:56,0.772777778,9/16/19 10:10,2,2.235335704,620.8791176,0.0177992,1,1
9,S2.P1,pre_drought,4,C1,9/16/19 11:06,25.11083333,9/15/19 10:00,3,7.55379612,322.0643691,0.01456565,1,1
10,S1.P1,pre_drought,5,C1,9/16/19 11:16,1.281666667,9/16/19 10:00,1,3.046870111,3173.77586,0.044583233,1,1
11,S1.P4,pre_drought,5,C2,9/16/19 11:27,1.286666667,9/16/19 10:10,2,2.347333559,907.8449121,0.020884617,1,1
12,S2.P4,pre_drought,4,C2,9/16/19 11:37,25.4575,9/15/19 10:10,4,3.498613979,915.2751439,0.020964248,1,1
13,S1.P1,pre_drought,5,C1,9/16/19 11:52,1.881111111,9/16/19 10:00,1,3.180963993,3888.614262,0.05182325,1,1
14,S1.P4,pre_drought,5,C2,9/16/19 12:03,1.885277778,9/16/19 10:10,2,2.224590723,1235.109187,0.024379743,1,1
15,S2.P1,pre_drought,4,C1,9/16/19 12:13,26.22333333,9/15/19 10:00,3,7.157361733,272.0015396,0.014021824,1,1
16,S1.P1,pre_drought,5,C1,9/16/19 12:23,2.393888889,9/16/19 10:00,1,3.423822943,4200.874998,0.054951564,1,1
17,S1.P4,pre_drought,5,C2,9/16/19 12:33,2.398333333,9/16/19 10:10,2,2.229916743,1451.456616,0.026676628,1,1
18,S2.P4,pre_drought,4,C2,9/16/19 12:44,26.57027778,9/15/19 10:10,4,3.251413391,863.5992013,0.020410158,1,1
19,S1.P1,pre_drought,5,C1,9/16/19 12:54,2.908333333,9/16/19 10:00,1,3.422186654,4587.103083,0.058792463,1,1
20,S1.P4,pre_drought,5,C2,9/16/19 13:04,2.913333333,9/16/19 10:10,2,2.401113968,1531.381578,0.02752243,1,1
21,S2.P1,pre_drought,4,C1,9/16/19 13:15,27.25083333,9/15/19 10:00,3,7.453784825,224.258619,0.013502639,1,1
22,S1.P1,pre_drought,5,C1,9/16/19 13:25,3.421666667,9/16/19 10:00,1,3.492585517,4866.229507,0.061548897,1,1
23,S1.P4,pre_drought,5,C2,9/16/19 13:35,3.426388889,9/16/19 10:10,2,2.393493898,1716.557529,0.029476409,1,1
24,S2.P4,pre_drought,4,C2,9/16/19 13:45,27.5975,9/15/19 10:10,4,3.737123941,750.978297,0.019200415,1,1
25,S1.P1,pre_drought,5,C1,9/16/19 14:01,4.019722222,9/16/19 10:00,1,3.40689255,5282.681429,0.065631566,1,1
26,S1.P4,pre_drought,5,C2,9/16/19 14:11,4.024166667,9/16/19 10:10,2,2.564849776,1796.604464,0.030318637,1,1
27,S2.P1,pre_drought,4,C1,9/16/19 14:21,28.3625,9/15/19 10:00,3,7.512326227,188.7370071,0.013116002,1,1
28,S1.P1,pre_drought,5,C1,9/16/19 14:32,4.533333333,9/16/19 10:00,1,3.516884257,5478.992823,0.067543803,1,1
29,S1.P4,pre_drought,5,C2,9/16/19 14:42,4.538333333,9/16/19 10:10,2,2.354992345,2015.901047,0.032618533,1,1
30,S2.P4,pre_drought,4,C2,9/16/19 14:52,28.70944444,9/15/19 10:10,4,3.548244014,719.2794118,0.018859375,1,1
31,S1.P1,pre_drought,5,C1,9/16/19 15:02,5.046666667,9/16/19 10:00,1,3.446775171,5567.286369,0.068401307,1,1
32,S1.P4,pre_drought,5,C2,9/16/19 15:13,5.051388889,9/16/19 10:10,2,2.422499041,2153.536968,0.03405644,1,1
33,S2.P1,pre_drought,4,C1,9/16/19 15:23,29.38972222,9/15/19 10:00,3,7.510586151,158.7165026,0.012789005,1,1
34,S1.P1,pre_drought,5,C1,9/16/19 15:33,5.560277778,9/16/19 10:00,1,3.396191976,5797.771004,0.07063235,1,1
35,S1.P4,pre_drought,5,C2,9/16/19 15:43,5.565277778,9/16/19 10:10,2,2.38159325,2324.696762,0.035838625,1,1
36,S2.P4,pre_drought,4,C2,9/16/19 15:54,29.73611111,9/15/19 10:10,4,3.547270459,669.4375758,0.01832266,1,1
37,S1.P1,pre_drought,5,C1,9/16/19 16:09,6.159166667,9/16/19 10:00,1,4.152437919,5780.229886,0.070462931,1,1
38,S1.P4,pre_drought,5,C2,9/16/19 16:19,6.164166667,9/16/19 10:10,2,3.394052392,2004.897851,0.032503396,1,1
39,S2.P1,pre_drought,4,C1,9/16/19 16:30,30.50194444,9/15/19 10:00,3,8.18690668,115.2746123,0.012315432,1,1
40,S1.P1,pre_drought,5,C1,9/16/19 16:40,6.672222222,9/16/19 10:00,1,4.098881717,4740.803339,0.060312286,1,1
