SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Soil_Drought_P11_Site1_0,3.69,0.9,21.02,43.72,2.73,0.12,12.93,14.67,0.22
Soil_Drought_P11_Site1_48,3.05,1.27,22.1,47.32,1.87,0.03,9.37,14.85,0.12
Soil_Drought_P11_Site1_6,3.15,1.2,21.11,47.38,1.94,0.07,9.48,15.45,0.21
Soil_Drought_P12_Site1_0_CTRL,4.33,1.34,18.09,46.91,2.46,0.1,13.56,13,0.21
Soil_Drought_P12_Site1_48_CTRL,3.69,1.02,18.89,47.93,2.73,0.11,12.36,12.81,0.45
Soil_Drought_P12_Site1_6_CTRL,4.46,1.02,15.91,47.85,3.41,0.03,15.05,12,0.28
Soil_Drought_P15_Site1_0,5.08,1.4,14.26,46.12,3.56,0.12,16.66,12.43,0.38
Soil_Drought_P15_Site1_48,4.6,1.26,17.27,42.79,3.81,0.23,16.84,12.94,0.26
Soil_Drought_P15_Site1_6,5.63,2.47,14.9,45.5,3.05,0.27,14.74,13.08,0.38
Soil_Drought_P24_Site2_0,5.87,1.65,12.39,45.3,3.49,0.14,19.37,11.47,0.32
Soil_Drought_P24_Site2_48,5.26,1.52,14.94,45.87,3.08,0.11,15.26,13.56,0.4
Soil_Drought_P24_Site2_6,5.14,1.47,13.95,43,4.56,0.09,17.9,13.72,0.17
Soil_Drought_P26_Site2_0,3.94,0.97,14.9,48.99,3.5,0.08,14.01,13.52,0.08
Soil_Drought_P26_Site2_48,3.96,1.42,16.84,46.15,2.84,,13.93,14.56,0.3
Soil_Drought_P26_Site2_6,3.44,1.29,13.66,51.7,2.9,,12.99,13.79,0.22
Soil_Drought_P34_Site3_0,3.67,1.14,13.78,51.45,2.55,0.13,13.33,13.36,0.58
Soil_Drought_P34_Site3_48,4.85,1.43,15.5,45.15,3.29,0.04,16.71,12.55,0.48
Soil_Drought_P34_Site3_6,4.49,2.02,16.84,44.39,2.3,0.17,13.52,16.05,0.22
Soil_Drought_P35_Site3_0,4.69,1.15,14.33,47.42,3.11,0.09,15.44,13.42,0.34
Soil_Drought_P35_Site3_48,4.09,1.01,14.77,46.24,2.68,0.13,13.8,17.01,0.26
Soil_Drought_P35_Site3_6,4.72,1.7,12.51,47.16,3.53,,16.36,13.84,0.18
Soil_PreDrought_P11_Site1_0,4.32,0.85,17.27,42.93,4.74,0.03,16.52,12.77,0.57
Soil_PreDrought_P11_Site1_48,4.04,0.95,16.7,45.75,2.65,0.12,15.16,13.93,0.71
Soil_PreDrought_P11_Site1_6,5.12,2.01,17.26,40.35,4.01,0.07,16.33,14.15,0.7
Soil_PreDrought_P15_Site1_0,6.49,1.19,12.09,39.28,4.77,0.05,22.83,12.77,0.52
Soil_PreDrought_P15_Site1_48,6.7,1.38,12.78,41.04,3.73,0.18,20.54,12.82,0.84
Soil_PreDrought_P15_Site1_6,7.7,2.04,10.47,40.4,5.51,0.22,22.59,9.78,1.28
Soil_PreDrought_P24_Site2_0,6.58,1.18,9.91,41.31,4.67,0.16,22.62,13.24,0.32
Soil_PreDrought_P24_Site2_48,6.78,2.87,9.01,37.81,7.69,0.52,24.63,9.57,1.12
Soil_PreDrought_P24_Site2_6,5.65,1.24,11.72,39.47,5.93,0.14,22.49,12.68,0.67
Soil_PreDrought_P26_Site2_0,5.91,1.69,13.07,40.38,4.44,0.26,20.06,13.58,0.61
Soil_PreDrought_P26_Site2_48,4.5,0.8,14.66,45.42,3.25,0.12,15.98,15.06,0.2
Soil_PreDrought_P26_Site2_6,3.16,1.02,13.51,53.9,3.12,0.17,11.51,13.24,0.37
Soil_PreDrought_P34_Site3_0,5.59,1.28,10.28,44.45,4.38,0.04,20.64,13.19,0.16
Soil_PreDrought_P34_Site3_48,6.47,1.94,10.49,41.31,5.04,0.32,22.74,11.28,0.42
Soil_PreDrought_P34_Site3_6,5.83,1.13,10.85,41.11,6.51,0.09,23.07,10.9,0.5
Soil_PreDrought_P35_Site3_0,4.85,1.16,12.79,45.75,4.15,0.03,17.57,13.36,0.33
Soil_PreDrought_P35_Site3_48,5.39,0.98,13.79,42.03,4.82,0.15,18.72,13.75,0.38
Soil_PreDrought_P35_Site3_6,5.34,1.84,14.32,43.41,4.77,0.11,19.02,10.82,0.39
