S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,-0.0035,-0.67097,-0.00311,-0.67546,0.00467,-0.68491,0.01354,-0.69624,0.00931,-0.69888,0.00579,-0.68292,0.00768,-0.69786,-0.00296,-0.59498,0.00178,-0.67541,0.00262,-1.70606,0.0372,-0.64223,-0.0014,-0.67022,-0.0135,-0.65623,0.01162,-0.67307,-0.04653,-0.56631,0.00803,-0.65424,5.80E-05,-0.66917,-0.00568,-0.69708,0.01244,-0.66147,-0.00126
-0.61112,0.00486,-0.59259,-0.00723,-0.66133,0.01095,-0.6066,-0.00768,-0.61992,-0.00665,-0.62067,0.00852,-0.60461,0.00825,-0.61959,-8.54E-04,-0.51679,-2.48E-04,-0.66125,0.0032,-1.67046,0.01411,-0.56388,-4.46E-04,-0.59204,-0.00861,-0.57789,0.00668,-0.59674,,-0.48812,0.00508,-0.57593,-0.00198,-0.59091,0.0113,-0.61883,0.01336,-0.58319,5.37E-04
-0.53278,0.02419,-0.51421,0.04374,-0.64718,-0.00559,-0.52832,0.005,-0.54355,0.00448,-0.54251,-0.0037,-0.52626,0.00334,-0.54131,0.00532,-0.43859,0.00281,-0.647,0.01026,-1.62777,0.02218,-0.4855,0.00658,-0.51387,-0.00974,-0.49961,0.00256,-0.52038,-0.02228,-0.40994,-3.66E-04,-0.49757,-0.00136,-0.51259,,-0.54053,0.00838,-0.5049,-0.00229
-0.45441,0.00418,-0.43583,-0.01272,-0.63293,0.00749,-0.45002,,-0.46718,-0.00699,-0.46431,0.00424,-0.44789,-0.00377,-0.46295,,-0.36041,-0.00742,-0.63275,-0.0019,-1.59213,-0.00183,-0.40711,,-0.43566,0.00382,-0.42131,0.00572,-0.444,,-0.33175,0.00672,-0.41921,,-0.43422,,-0.46223,4.83E-04,-0.42664,0.00911
-0.37604,,-0.35755,-0.00256,-0.61868,0.01077,-0.37164,0.00737,-0.39075,,-0.38609,0.01615,-0.36956,-0.00186,-0.38459,-0.00979,-0.28222,,-0.61851,-0.00265,-1.54949,0.00904,-0.32885,0.00654,-0.35742,-0.00478,-0.343,-0.00552,-0.36756,-0.01771,-0.25355,-0.0032,-0.34088,-0.00323,-0.35589,-0.00414,-0.38407,-7.98E-04,-0.34841,-3.83E-04
-0.29769,,-0.2792,0.00207,-0.60443,-0.01385,-0.29344,-8.08E-04,-0.31437,-9.01E-04,-0.30775,0.00185,-0.29128,0.00365,-0.30627,0.00472,-0.20402,,-0.60426,0.03935,-1.51385,8.54E-04,-0.25047,-0.00582,-0.27904,-0.00265,-0.26473,0.00404,-0.29122,,-0.17534,,-0.26264,-0.00938,-0.27758,,-0.30575,7.76E-04,-0.27012,0.00265
-0.21936,,-0.20083,0.00457,-0.58317,0.004,-0.21517,-0.00351,-0.238,0.0035,-0.22941,0.00143,-0.21302,0.00163,-0.22802,,-0.12575,,-0.583,-0.03891,-1.47118,0.02228,-0.17212,0.01087,-0.20068,-0.00278,-0.18646,0.00428,-0.21481,0.01909,-0.09706,,-0.18434,-9.94E-04,-0.19936,,-0.22748,-0.00752,-0.19185,-0.00142
-0.14108,,-0.12244,0.00962,-0.56892,-0.00513,-0.13689,0.00737,-0.1616,8.44E-04,-0.15111,0.03432,-0.13472,-1.35E-04,-0.14976,,-0.00683,,-0.56874,-0.00308,-1.43554,-0.00216,-0.09373,0.00818,-0.12243,,-0.10818,0.00239,-0.13843,,-0.00664,,-0.10604,,-0.12104,,-0.14918,0.00105,-0.11354,0.0077
-0.06277,,-0.04409,-0.00485,-0.55466,-0.00305,-0.05856,-5.44E-04,-0.08523,-0.00334,-0.07287,,-0.05639,0.00701,-0.07152,0.00494,0.01455,0.00305,-0.55449,-0.00255,-1.39286,2.05E-04,-0.00727,-0.00617,-0.04421,,-0.02988,0.01106,-0.06207,-0.0066,0.01473,0.00851,-0.02773,0.00494,-0.04285,,-0.07093,0.00943,-0.03534,-0.00741
3.13E-04,0.01385,-0.00744,-0.00404,-0.54042,0.00137,-0.00747,0.00706,-0.00734,-0.00289,-0.01947,0.00529,-0.00745,0.00817,-0.00747,0.0029,0.03589,-6.66E-04,-0.54024,0.006,-1.35723,0.00449,0.01411,0.0146,-0.01928,0.01381,-0.00728,0.01456,-0.00716,0.01484,0.03609,0.00457,-0.00729,-0.00386,-0.00729,-9.67E-04,-0.00985,-0.00235,-0.00274,-1.64E-04
0.02169,0.00724,0.01394,0.01653,-0.52617,-0.00589,0.01392,0.00175,0.01406,-0.0037,0.00191,0.00865,0.01392,-0.00705,0.01389,-0.00102,0.05726,-0.00347,-0.526,-0.00905,-1.31461,0.01246,0.03546,0.00709,0.00208,-0.00466,0.0141,0.02166,0.01427,-0.00402,0.05745,0.00865,0.01409,8.05E-04,0.01407,2.87E-05,0.0115,0.00417,0.01862,-0.00191
