S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-0.00319,-0.6523,-0.00409,-1.58571,-0.00293,-0.64587,-0.00332,-0.60287,-0.01349,-0.60692,0.00128,-0.6767,-0.01305,-0.65035,0.00148,-0.63999,-1.06E-04,-1.58551,-0.00413,-0.59956,-0.00193,-0.62365,-0.00974,-0.57134,0.00173,-0.61718,0.0017,-0.58602,-0.00882,-0.6113,-0.01269,-0.59302,-0.01382,-0.62163,-0.00706
-0.55352,-0.00304,-0.56583,-0.00642,-1.57144,0.00302,-0.57106,-0.00241,-0.52815,-0.00801,-0.53223,-0.00317,-0.62172,-0.01275,-0.5755,-3.54E-04,-0.56525,0.00299,-1.57124,-0.02303,-0.52488,-0.01648,-0.53718,0.01492,-0.49657,0.00128,-0.54231,-0.00149,-0.51125,-0.01076,-0.5366,-4.19E-04,-0.51817,-0.00375,-0.54682,-0.00387
-0.47876,0.00256,-0.47899,-0.01298,-1.55719,-0.00161,-0.49623,-0.00827,-0.45328,0.01306,-0.45738,-0.00265,-0.54685,0.01008,-0.50073,-0.01079,-0.49064,-8.05E-04,-1.55703,-0.02317,-0.45006,0.00344,-0.45031,-0.01027,-0.42174,0.00492,-0.46752,-0.0071,-0.43634,0.00678,-0.46197,-0.00813,-0.44331,0.00331,-0.47203,-0.00487
-0.40397,-0.01563,-0.39222,0.00907,-1.54294,-0.00474,-0.42139,-0.01034,-0.37838,-0.00402,-0.38259,0.003,-0.47201,-0.00344,-0.42591,-0.01053,-0.41598,0.01699,-1.54275,-0.0108,-0.37525,-0.00114,-0.36352,8.93E-04,-0.347,0.00584,-0.39267,-0.00281,-0.3615,-0.00435,-0.38734,0.00627,-0.36851,0.00256,-0.39722,
-0.32916,-0.00124,-0.30537,0.00233,-1.52872,-0.01121,-0.34657,0.01095,-0.30354,-0.00145,-0.30787,-0.00874,-0.3972,-0.00109,-0.35117,-0.00154,-0.34138,-0.00629,-1.52853,0.00352,-0.30044,-0.00819,-0.27668,-0.00464,-0.27227,-0.00326,-0.31791,-0.00686,-0.28663,0.00251,-0.31274,-0.00233,-0.29367,0.00447,-0.32248,0.00699
-0.25434,-0.0067,-0.21856,-0.0108,-1.51449,-0.01353,-0.27181,0.00132,-0.22868,-0.00318,-0.23316,0.00525,-0.32236,-0.00748,-0.27639,0.00358,-0.26672,-0.00353,-1.51431,-0.00911,-0.22564,-0.0022,-0.18968,0.00426,-0.19753,-0.01597,-0.24313,-7.90E-04,-0.21178,-0.01367,-0.23808,-0.01874,-0.21884,-0.01266,-0.24769,-0.0013
-0.17954,0.007,-0.1298,0.0023,-1.49675,-2.86E-04,-0.19699,-0.00268,-0.15382,-0.01045,-0.15837,0.00372,-0.24753,-0.00832,-0.20163,-0.00653,-0.19205,-0.00638,-1.49659,-0.00435,-0.15082,0.00867,-0.10104,-0.01812,-0.12279,-0.01135,-0.16826,-0.00548,-0.1369,-0.00309,-0.16334,-8.51E-04,-0.14403,-0.00257,-0.17293,0.00412
-0.10471,0.00212,-0.04495,1.15E-04,-1.48253,0.00372,-0.12216,-0.00878,-0.07897,0.0026,-0.08367,0.00256,-0.1727,0.00389,-0.12685,-0.00263,-0.11728,-5.45E-04,-1.48236,0.00157,-0.07598,-0.00502,-0.00735,0.0067,-0.04801,-0.00824,-0.09343,0.01179,-0.06207,-0.0193,-0.08854,-0.00706,-0.06925,0.00891,-0.09814,-0.0016
-0.02986,-0.00321,-0.00755,0.00329,-1.46832,-0.00267,-0.04726,0.01075,-0.02704,0.00314,-0.00747,-0.00413,-0.09791,-0.00131,-0.05207,0.00161,-0.04241,0.00115,-1.46814,-0.01017,-0.00652,0.00147,0.01405,-0.00681,-3.24E-04,-6.63E-04,-0.00723,-0.00302,-0.03867,0.00288,-0.01366,0.0054,-0.00716,-0.01313,-0.02815,0.01035
-0.0067,-0.00285,0.01385,0.00862,-1.45409,-0.01311,-0.00742,0.00109,-0.00565,-0.00777,0.01391,0.00399,-0.02315,-0.01558,-0.02834,-0.01461,0.01333,-0.00444,-1.45391,-0.00266,0.01488,-0.00295,0.03545,0.00449,0.02105,-6.45E-04,0.01417,-0.00324,-0.01727,-0.03209,0.01354,0.00181,0.01422,-0.00274,-0.00682,-0.00659
0.01469,0.00834,0.03525,0.00213,-1.43986,-0.00354,0.01398,0.00586,0.01573,-0.02273,0.0353,-0.01594,-0.00731,-0.00634,-0.00703,0.02644,0.03475,0.0048,-1.43969,0.01162,0.0363,-0.01143,0.05686,0.01462,0.04244,-0.00628,0.03558,-0.00136,0.01428,-0.01333,0.03495,-0.00899,0.03561,-1.54E-04,0.01455,-0.00438
0.0361,-0.00224,0.05667,-0.01248,-1.42565,-0.00322,0.03539,-0.0104,0.02591,-0.01552,0.05667,-0.00686,0.01405,-0.0027,0.01434,-0.00636,0.05618,4.03E-05,-1.42546,0.00686,0.0577,-0.01246,0.08181,-0.00245,0.06381,-0.0097,0.05697,-0.01242,0.03568,-0.00978,0.05638,-2.96E-04,0.05701,,0.03595,-0.00213
0.0575,0.00727,0.08161,0.01185,-1.40788,-0.00359,0.05678,-0.00331,0.0473,-0.00133,0.0816,0.00169,0.03544,-0.01223,0.03574,-0.00435,0.07759,-0.00143,-1.40769,-0.00562,0.08265,0.01692,0.10321,0.00518,0.08874,0.00167,0.0819,-0.00999,0.05706,-0.00145,0.0778,-0.00471,0.08193,-0.03693,0.06083,0.00142
0.08245,-0.00969,0.10301,-0.00166,-1.39363,0.01334,0.08171,-0.00724,0.06868,0.00451,0.10296,0.00374,0.05684,,0.06062,-0.00154,0.10253,-0.00289,-1.39345,-0.0034,0.10404,-7.37E-04,0.12461,0.01373,0.1101,0.00554,0.1033,-0.01732,0.07846,0.00304,0.10272,-0.00181,0.10334,0.02277,0.08222,0.00314
0.10384,-0.01007,0.12441,0.00111,-1.37941,-0.00329,0.10311,0.00876,0.09008,0.01305,0.1244,-0.00613,0.08177,-0.00471,0.08201,-0.01604,0.12394,0.0024,-1.37922,-0.00411,0.12547,0.00111,0.14601,0.01004,0.13154,0.00252,0.12471,3.40E-04,0.10339,0.00388,0.12414,0.00908,0.12472,0.00365,0.1036,0.01187
0.12527,-0.00299,0.14581,-0.0106,-1.36516,-0.0033,0.12453,0.00716,0.11501,-0.02081,0.14576,0.00333,0.10317,-0.01123,0.10339,0.0065,0.14536,0.00876,-1.36498,-0.01209,0.14685,0.01396,0.17093,0.00157,0.15291,-0.0139,0.14608,-0.00996,0.12477,-0.01129,0.14557,-0.00449,0.14611,-0.01813,0.12501,0.00198
0.14666,0.00335,0.17073,0.02123,-1.35091,-0.01243,0.1459,-0.01342,0.13639,-0.00381,0.17072,-0.01459,0.12455,0.02113,0.1248,0.0012,0.16678,0.00671,-1.35072,0.00312,0.17178,-0.00123,0.19233,-0.01033,0.17786,-0.00308,0.171,0.00389,0.14615,0.00961,0.16698,0.00262,0.17102,0.00474,0.14993,-0.01067
0.17159,-0.01141,0.19213,0.00131,-1.33666,0.01457,0.17081,0.00134,0.15777,-0.00359,0.19207,-0.00755,0.14594,-0.0288,0.14972,0.01163,0.19174,-0.01009,-1.33646,0.10892,0.19318,-0.00834,0.21373,-0.00903,0.19921,9.76E-04,0.19236,0.00192,0.16755,-0.00733,0.19192,0.00523,0.19242,0.00482,0.17134,-0.00202
0.193,0.01673,0.21353,0.00399,-1.31887,-0.02778,0.19218,0.00814,0.17917,-0.01106,0.21347,-0.00355,0.17086,-0.01181,0.17113,-0.01064,0.21314,-1.68E-04,-1.31868,0.01195,0.21457,0.01087,0.23512,8.09E-04,0.2206,0.00313,0.21375,-0.01007,0.19243,-0.01546,0.2133,0.0059,0.21381,0.00241,0.19274,1.40E-04
0.21438,-9.74E-04,0.23492,-0.00131,-1.30458,0.01489,0.21356,-0.01128,0.20405,-0.00108,0.23481,-0.00445,0.19225,-0.0217,0.19253,-0.01212,0.23451,-0.00696,-1.30439,-0.01483,0.23598,-8.55E-04,0.26002,-0.00248,0.24196,-0.01547,0.23514,-0.00227,0.21383,-0.00845,0.23471,-0.01453,0.23521,-0.01255,0.21414,-0.00757
0.23578,-0.00921,0.25983,-0.0099,-1.2903,-0.00322,0.23495,-0.0029,0.22545,-0.00723,0.25977,0.0072,0.21363,0.00941,0.21394,0.00575,0.2559,0.00425,-1.29012,-0.00323,0.26093,0.00478,0.28142,-0.00277,0.26691,-0.00171,0.26007,0.00564,0.2352,-6.61E-04,0.2561,0.00422,0.26014,0.0037,0.23906,0.00644
0.26072,4.27E-05,0.28123,-0.00982,-1.27603,-0.01087,0.25988,-0.00127,0.24683,0.00132,0.28113,-0.00365,0.23503,0.01012,0.23885,-0.00151,0.28087,0.01405,-1.27587,-0.00677,0.29495,0.00328,0.30277,0.00332,0.28828,-0.01111,0.28146,-0.0076,0.2566,-0.00195,0.28106,-0.00286,0.28153,3.33E-04,0.34396,-0.00393
0.28212,-0.00526,0.3026,6.01E-04,-1.26178,-0.0069,0.28127,0.00194,0.26822,0.00143,0.30252,-0.00831,0.25998,0.00899,0.26025,-0.00255,0.30227,0.01148,-1.26161,0.01617,0.33061,-0.01109,0.32416,-0.00658,0.30966,-6.78E-04,0.30286,-0.0019,0.28152,-0.0073,0.30247,-0.01499,0.30292,0.01756,0.37954,-0.00143
0.29477,-0.00251,0.32397,-0.00416,-1.24755,-0.01227,0.30267,-0.01197,0.29314,-6.05E-04,0.32389,-0.00211,0.28135,0.007,0.34375,-0.00284,0.32558,0.00703,-1.24737,0.00953,0.34993,0.01062,0.34215,-0.01613,0.33103,0.00104,0.32426,0.00459,0.30757,-4.56E-04,0.32579,-0.01535,0.32431,0.00115,0.41865,-0.00227
0.33043,0.01538,0.34196,0.00591,-1.22977,0.01557,0.32407,-0.01207,0.3192,-0.00108,0.3488,-0.00317,0.30275,-0.00217,0.37933,-0.00408,0.36125,-0.00326,-1.22959,0.01122,0.38561,-0.01581,0.37781,0.00755,0.35594,-0.01129,0.34347,-0.00851,0.34316,9.33E-04,0.36145,0.0082,0.34922,0.01139,0.45426,0.00742
0.34973,-0.00332,0.37762,-4.66E-04,-1.21551,-1.99E-04,0.34326,-0.00931,0.3548,-0.00338,0.37016,-0.00169,0.32414,-0.01856,0.41844,9.15E-04,0.40043,-0.00623,-1.21531,-0.00218,0.4248,-7.42E-04,0.41703,-0.00201,0.37727,0.00604,0.3791,0.00638,0.39405,0.0021,0.4006,0.00121,0.36887,-0.00846,0.49346,0.00277
0.38542,0.00937,0.41683,-0.00919,-1.20125,-0.01735,0.37892,0.00714,0.40569,0.01764,0.3915,-0.00645,0.34906,-0.01507,0.45405,-7.69E-04,0.43609,0.00295,-1.20104,0.00955,0.46047,-4.51E-04,0.45263,-0.01728,0.39861,0.01093,0.41819,0.00502,0.42963,-0.01758,0.4363,-7.43E-05,0.40442,-0.01139,0.52911,-0.00596
0.42461,8.28E-04,0.45247,-0.00714,-1.18696,-0.00927,0.41803,0.0011,0.44126,0.00234,0.41285,-0.01082,0.36872,-0.01832,0.49325,0.00225,0.47529,-0.0142,-1.18678,1.65E-04,0.49965,0.01421,0.49179,0.00323,0.41995,-0.00119,0.45376,0.00224,0.48088,0.00465,0.47547,-4.16E-05,0.44353,0.01139,0.56826,0.01407
0.46028,-0.01101,0.4916,-0.01229,-1.17272,-0.01159,0.45358,-0.00578,0.4925,-2.92E-05,0.43779,-0.01033,0.40426,-0.00693,0.5289,-0.0056,0.51091,0.00398,-1.17252,7.08E-04,0.53531,-0.00718,0.52743,0.00797,0.44492,-9.89E-04,0.49292,-0.00535,0.51648,-0.0039,0.5111,-0.00807,0.47916,0.0087,0.6039,0.00589
0.49946,4.33E-04,0.52723,-0.00405,-1.15844,-0.02001,0.49273,-0.00214,0.52811,-0.00901,0.45918,-0.01086,0.44337,-0.00325,0.56806,-0.0019,0.5501,-0.01629,-1.15825,0.00418,0.57449,-4.98E-05,0.56659,0.00913,0.46632,-0.00246,0.52856,-0.00395,0.56767,-0.00673,0.55029,-0.00738,0.51837,0.00361,0.643,-0.00778
0.53512,0.00296,0.5664,-1.77E-04,-1.14065,1.54E-04,0.52838,-0.00403,0.57931,0.00429,0.48056,0.01137,0.47899,-0.017,0.60369,0.00188,0.58575,8.48E-04,-1.14046,0.00211,0.61014,-0.00349,0.60221,-0.01251,0.4877,0.00568,0.56771,0.0016,0.60326,-0.00782,0.58594,9.98E-04,0.55405,-0.00501,0.67859,-0.00575
0.57429,-0.01389,0.60204,0.0106,-1.12638,0.00147,0.56753,-0.00651,0.6149,-0.00474,0.50192,-0.0208,0.51819,-0.00963,0.64279,-0.00588,0.62495,-0.03513,-1.12619,0.01095,0.64929,-0.00683,0.64137,-0.01405,0.50906,0.00571,0.60334,-0.00355,0.6545,-0.01696,0.62514,,0.59331,0.01554,0.71773,-0.00638
0.60994,-0.00533,0.64118,0.00125,-1.11214,0.00315,0.60317,-0.00209,0.66611,-0.01494,0.52686,-0.00631,0.55388,0.01172,0.67838,-0.00114,0.66054,-0.00371,-1.11194,-0.00922,0.68497,-0.0066,0.67696,-0.00239,0.534,-0.01118,0.6425,-0.00412,0.69012,-0.00779,0.66074,-0.01166,0.62891,,0.75333,0.01374
0.6491,0.02105,0.67679,-0.00184,-1.09789,0.00876,0.64233,-0.02261,0.70174,0.00283,0.54823,0.00152,0.59311,-0.0066,0.71752,0.01463,0.69971,0.00467,-1.0977,0.0085,0.72416,-7.05E-04,0.71612,-0.00349,0.55537,-0.00158,0.67815,0.00767,0.7413,0.0041,0.69988,-0.01291,0.66813,0.00221,0.7925,-0.00262
0.68477,-2.58E-04,0.71596,0.0072,-1.08365,1.17E-04,0.67797,1.79E-04,0.75292,-0.00546,0.56962,-0.00518,0.62876,-0.00719,0.75313,-0.00221,0.73531,0.01645,-1.08346,0.00598,0.75979,0.00326,0.75174,-0.00658,0.57676,0.01074,0.7173,0.00496,0.77691,-0.00409,0.7355,-0.00477,0.70377,-0.01545,0.82811,-9.05E-04
0.72396,-0.00311,0.75157,-0.00662,-1.06941,-0.00596,0.71714,0.00229,0.78853,-5.55E-05,0.59098,-0.00225,0.66795,0.01015,0.79229,-0.01388,0.77448,-0.00849,-1.0692,6.68E-04,0.79897,-0.00576,0.79089,-0.00557,0.59809,-0.01101,0.75297,-0.00167,0.8281,-0.01041,0.77468,-0.00416,0.74299,-0.01084,0.86721,-0.01391
0.75959,-0.00173,0.79073,-0.00793,-1.05161,-0.02009,0.75279,0.00297,0.83972,-0.00728,0.61587,-0.02515,0.7036,-0.00233,0.82791,-0.00621,0.81014,-0.00185,-1.05141,-0.00218,0.83462,8.37E-04,0.82649,-0.00358,0.62299,-0.00599,0.79212,-0.00599,0.86568,0.00316,0.81032,0.0037,0.77863,-0.01244,0.90284,-0.00671
0.79877,-0.00588,0.82633,0.00591,-1.03736,-4.31E-04,0.79194,-0.00335,0.8773,0.00624,0.63719,,0.74282,0.00377,0.867,0.0078,0.84935,-5.30E-04,-1.03716,0.00429,0.87376,0.00768,0.86565,0.00107,0.64431,-0.00776,0.82779,0.00365,0.91491,-0.00711,0.84953,-0.00903,0.81784,-0.00832,0.94201,-0.00437
0.83443,-0.0019,0.86547,-0.00806,-1.02311,-2.35E-04,0.8276,-0.00333,0.92653,-0.00178,0.65855,-0.01212,0.77847,-0.00354,0.90263,-0.01507,0.88497,0.00471,-1.02291,-0.00791,0.90942,-0.00242,0.90126,0.01923,0.66568,0.00943,0.86696,0.00412,0.95056,0.00816,0.88516,0.00177,0.85351,-0.0069,1.00041,0.00285
0.87356,-0.0033,0.90111,0.01271,-1.00883,-0.01289,0.86679,0.00605,0.96218,-0.01359,0.67991,-0.00173,0.81766,-0.01022,0.94181,-6.02E-04,0.9242,0.00664,-0.99909,0.00107,0.94854,-0.00853,0.94044,-0.00696,0.68704,-0.00516,0.90262,0.00388,1.00938,0.01395,0.9244,5.65E-04,0.8927,0.00913,1.04316,-0.00291
0.90922,-0.00247,0.94025,0.01002,-0.99928,-0.00319,0.90243,0.00125,1.00672,-0.02667,0.70483,-0.00208,0.85333,-0.0195,0.98595,-0.00648,0.95986,0.00417,-0.98481,0.0238,1.02135,-0.00921,1.02112,0.00656,0.71196,-0.00155,0.94181,9.10E-04,1.0522,0.00919,0.96006,-0.00817,0.92836,0.00147,1.08949,-0.00362
0.94838,-0.00597,0.97589,-0.00649,-0.98501,0.00505,0.94162,-0.00509,1.04954,0.00868,0.72618,-5.22E-04,0.89252,-0.00626,1.0287,0.00986,1.00684,0.00287,-0.97057,-0.00756,1.06413,-0.01241,1.06388,0.00666,0.73332,0.00906,1.02203,-0.00522,1.09853,-0.0048,1.02131,0.00511,1.00166,-0.00147,1.13229,-0.00632
1.0069,-0.00171,1.00672,0.0052,-0.97076,-0.00224,0.97728,-0.00647,1.09588,-0.00491,0.74757,-6.69E-04,0.92818,-0.00114,1.075,-0.01712,1.04965,0.00382,-0.9563,0.00144,1.11046,-0.01538,1.11016,0.00936,0.7547,0.00797,1.06484,0.00602,1.14133,-0.00433,1.06411,-0.00113,1.05462,-0.00757,1.17856,-0.00255
1.04969,,1.04944,-0.00226,-0.95649,-9.76E-04,1.00757,-0.0058,1.13868,0.0089,0.76892,-0.01022,0.98723,-0.00932,1.1178,-0.01159,1.09597,0.00121,-0.94204,0.00335,1.15325,-0.00224,1.15297,5.95E-04,0.77605,-0.00233,1.11119,-0.0082,1.18765,-8.77E-04,1.11045,-0.01318,1.0974,-0.00374,1.22134,-0.01625
1.09602,0.01512,1.09572,0.00574,-0.94223,0.00212,1.05038,-0.00484,1.185,0.00261,0.79382,-0.00341,1.04019,-0.00693,1.16412,-0.01188,1.13878,-0.00917,-0.89126,0.01558,1.19955,-0.00993,1.19931,-0.01008,0.80095,0.00127,1.15398,0.01025,1.23044,-0.00506,1.15322,-0.00189,1.14369,-2.64E-04,1.26763,-0.00697
1.13878,,1.13851,-0.01006,-0.92795,-0.00332,1.09672,-0.00344,1.2278,2.42E-04,0.81517,-0.00335,1.08296,-0.0127,1.20686,0.00705,1.18507,-0.0014,-0.87701,-0.02756,1.24234,-0.01072,1.24209,-0.00595,0.8223,7.12E-04,1.20032,-0.00453,1.27672,-0.0028,1.1995,-0.00883,1.18647,-0.0025,1.31038,-0.00355
1.18509,0.03,1.18484,0.00596,-0.89146,-0.0023,1.13954,-0.02422,1.2741,0.01194,0.83655,-0.00943,1.12927,0.00762,1.25317,0.00845,1.22782,0.00384,-0.86273,0.00968,1.28867,0.00127,1.379,0.00533,0.84368,0.00516,1.24311,-0.00253,1.34462,-0.01087,1.24228,0.00386,1.23275,0.00408,1.35662,0.00815
1.22788,-0.00463,1.22764,0.01148,-0.87721,0.00273,1.18587,-0.01104,1.31684,0.00773,0.85791,-0.00483,1.17205,-0.00621,1.29593,7.71E-04,1.27414,0.00334,-0.84848,0.00892,1.33145,0.00187,1.41459,-0.00465,0.86502,0.00907,1.30921,-0.0124,1.38025,-0.00805,1.2886,-0.00767,1.27552,-0.01075,1.39934,-0.01284
1.2742,-0.01814,1.27396,-0.00149,-0.86294,-0.00382,1.22866,-8.57E-04,1.35624,-0.0144,0.88278,-0.00251,1.21833,-0.00938,1.3422,-0.00792,1.31694,-0.00463,-0.83419,0.00105,1.38308,8.12E-04,1.45369,5.35E-04,0.88991,0.00775,1.36419,-0.00699,1.41949,-0.01007,1.35771,0.00566,1.33362,-0.01316,1.44567,-0.00351
1.317,0.0239,1.37884,0.00861,-0.84869,-0.01046,1.275,0.0015,1.3919,-0.00688,0.90413,3.15E-05,1.2611,0.00229,1.38488,-0.00579,1.35753,-6.02E-04,-0.81991,-0.00333,1.41868,-8.15E-04,1.48934,0.00214,0.91127,0.01186,1.39985,0.00605,1.45508,0.00717,1.39333,-0.00231,1.36922,-0.00501,1.48845,0.00461
1.38292,-0.02323,1.41443,0.00769,-0.8344,-0.02055,1.30904,-5.85E-04,1.43111,-0.00479,0.92551,-0.00452,1.30742,-0.0086,1.43122,-0.01079,1.39316,0.00862,-0.80208,0.00145,1.4578,-0.00201,1.52854,0.00443,0.93264,1.04E-04,1.43906,0.0096,1.49424,0.0069,1.43242,-0.01264,1.42009,0.00273,1.53472,-0.01019
1.4185,0.01145,1.45353,0.00137,-0.8201,-2.59E-04,1.36402,0.01496,1.46671,-3.38E-04,0.94686,-8.15E-04,1.33347,-0.00779,1.47396,0.00268,1.43225,0.00406,-0.78781,-0.01205,1.49343,-0.00773,1.56419,-6.46E-04,0.95399,-0.01157,1.47472,0.00129,1.52986,-0.0044,1.468,0.00384,1.45569,0.01036,1.57744,-0.01237
1.4576,0.00168,1.48914,0.01787,-0.80229,-0.00153,1.39968,0.00154,1.50587,-0.01479,0.97179,0.00189,1.36906,-0.00303,1.52027,-0.01806,1.46782,0.00443,-0.77356,-0.00546,1.53264,-0.00244,1.60333,0.00407,0.97892,-9.69E-04,1.5139,0.0065,1.56904,-0.00683,1.50716,-0.00513,1.50694,-0.00819,1.62366,0.00365
1.49323,-0.00775,1.52836,0.00326,-0.78801,0.00627,1.43889,0.00871,1.54148,0.00507,0.99315,0.00333,1.41993,-0.02439,1.56302,0.00245,1.50699,0.00846,-0.75931,0.0072,1.56832,-0.00414,1.63896,-0.00104,1.00028,-8.68E-04,1.54956,0.01835,1.60466,0.01273,1.54281,-0.00977,1.54256,0.01316,1.66639,-0.01341
1.53244,0.01109,1.564,0.00632,-0.77376,-0.01298,1.47455,0.00935,1.58066,6.13E-04,1.01453,-0.00105,1.45553,-0.0119,1.60925,,1.54264,-0.01337,-0.74502,-0.00379,1.60757,0.00935,1.67806,-0.01006,1.02166,-0.0077,1.58872,,1.64381,1.71E-04,1.58196,0.0174,1.59373,-0.01263,1.71267,0.00199
1.56813,0.00172,1.60315,0.00432,-0.75949,-0.00323,1.51373,-0.00336,1.61631,-0.01817,1.03588,0.01334,1.50678,-0.00472,1.65194,-0.00834,1.58177,-6.43E-04,-0.73075,0.00114,1.64316,0.00218,1.71366,-7.84E-04,1.04301,0.00296,1.62437,-0.00978,1.6794,0.0027,1.61762,-0.00273,1.62934,-0.00144,1.75541,7.38E-04
1.60741,-0.00151,1.6388,,-0.74522,-0.00489,1.54939,-0.00106,1.65544,0.00359,1.06082,-0.00346,1.54238,0.00231,1.69822,0.0014,1.61743,-0.00404,-0.71293,-0.00803,1.6824,0.00393,1.75278,-1.57E-05,1.06796,0.01413,1.66355,-0.01133,1.71858,-0.00424,1.65676,-0.00938,1.68057,-0.01878,1.80166,0.008
1.64296,-0.01291,1.67789,-0.00691,-0.73095,-0.01526,1.58854,,1.69103,-0.00559,1.08219,0.00149,1.59356,0.01021,1.74096,0.0064,1.65657,-0.00781,-0.69867,-0.00552,1.71804,-0.00121,1.7884,-0.01574,1.08932,0.00259,1.69921,9.24E-04,1.75419,0.00257,1.69242,-0.00298,1.71619,0.00571,1.84438,-0.00241
1.6822,-0.00758,1.71348,0.00731,-0.71312,0.05641,1.6242,-0.00301,1.7302,-0.00271,1.10358,-0.00567,1.62918,-0.01117,1.78721,-1.09E-04,1.69222,-0.0104,-0.68439,0.00823,1.75726,-0.00708,1.82757,-0.00286,1.11071,0.00456,1.73838,7.38E-04,1.79334,7.68E-04,1.73159,-0.00143,1.76736,0.00338,1.89063,0.01171
