Sample,Pyruv,Condition,Type,Time,Flux
S1P5,C1,drought,sample,-0.27725,-320.21454
S3P5,C1,drought,sample,0.40057,-252.53174
S1P5,C1,drought,sample,-0.17056,-229.84278
S1P2,C2,drought,sample,-0.18462,-229.39408
S1P5,C1,drought,sample,-0.19904,-228.38074
S1P2,C2,drought,sample,-0.526,-221.09527
S1P2,C2,drought,sample,-0.07793,-215.71529
S1P5,C1,drought,sample,-0.09234,-197.84601
S1P2,C2,drought,sample,0.04235,-173.47381
S2P1,C1,drought,sample,1.88667,-164.36576
S1P2,C2,drought,sample,0.10626,-152.98814
S2P6,C2,drought,sample,-0.67307,-147.97262
S1P2,C2,drought,sample,-0.19887,-147.55685
S1P4,C2,drought,sample,-0.50404,-144.69059
S1P2,C2,drought,sample,-0.583,-141.10939
S3P5,C1,drought,sample,1.45295,-130.29461
S3P5,C1,drought,sample,0.71373,-120.57989
S3P4,C2,drought,sample,0.22042,-115.34234
S1P5,C1,drought,sample,-0.56892,-110.0967
S1P5,C1,drought,sample,-0.52617,-108.28401
S1P1,C1,drought,sample,0.91507,-106.93217
S1.4W,C2,drought,water,-0.03534,-101.57003
S3P4,C2,drought,sample,-0.26264,-96.4248
S1P4,C2,drought,sample,0.13575,-93.04676
S3P3,C1,drought,sample,0.08497,-92.3432
S3P3,C1,drought,sample,1.87462,-92.24902
S2P6,C2,drought,sample,0.96324,-88.93253
S2P6,C2,drought,sample,1.71528,-85.72901
S2P6,C2,drought,sample,1.40194,-84.10945
S3P3,C1,drought,sample,0.10632,-82.7104
S2P6,C2,drought,sample,-0.52038,-82.22831
S2P5,C1,drought,sample,0.78206,-80.12023
S1P5,C1,drought,sample,0.04218,-78.24434
S3P5,C1,drought,sample,1.33197,-78.15461
S2P1,C1,drought,sample,1.85102,-74.075
S1P4,C2,drought,sample,0.91525,-72.1622
S1P5,C1,drought,sample,-0.0781,-71.77253
S3P5,C1,drought,sample,0.08562,-69.97289
S2P7,C1,pre-drought,sample,1.92383,-69.65767
S1P2,C2,drought,sample,-0.61851,-66.95864
S1.2W,C2,drought,water,-0.22748,-66.56862
S3P3,C1,pre-drought,sample,-0.02834,-65.3252
S3P6,C2,drought,sample,0.03542,-63.6221
S3P3,C1,pre-drought,sample,2.87447,-61.46537
S3P3,C1,drought,sample,0.46459,-61.33743
S1P2,C2,drought,sample,-3.24E-04,-60.73677
S1P5,C1,drought,sample,-0.15632,-60.70088
S1P5,C1,drought,sample,-0.60443,-60.59607
S3P5,C1,drought,sample,1.48863,-60.18914
S1.4W,C2,drought,water,1.92306,-58.45022
S3P5,C1,drought,sample,0.47883,-57.72444
S3P3,C1,drought,sample,0.82037,-57.40008
S2P2,C2,drought,sample,0.04481,-55.79626
S3P1,C1,drought,sample,0.01392,-54.57383
S2P1,C1,drought,sample,-0.6066,-52.32292
S2P5,C1,drought,sample,0.04463,-51.71483
S1P2,C2,drought,sample,0.46914,-51.13883
S1P5,C1,drought,sample,0.07061,-49.11665
S3P3,C1,pre-drought,sample,0.08201,-48.88654
S2P8,C2,pre-drought,sample,1.95233,-47.95651
S2P8,C2,pre-drought,sample,1.95233,-47.95651
S1P5,C1,drought,sample,-0.64718,-47.40786
S1P4,C2,drought,sample,0.75866,-47.17626
S2P7,C1,pre-drought,sample,1.38975,-47.06721
S1P4,C2,drought,sample,1.70721,-46.72209
S1P2,C2,drought,sample,1.80641,-46.65622
S2P6,C2,drought,sample,0.37907,-46.3152
S2P7,C1,pre-drought,sample,1.99148,-46.08001
S2P6,C2,drought,sample,0.88488,-45.87941
S3P3,C1,pre-drought,sample,2.34043,-45.60129
S1P2,C2,drought,sample,-0.63275,-45.53155
S2P8,C2,pre-drought,sample,1.79918,-44.95832
S2P8,C2,pre-drought,sample,1.79918,-44.95832
S2P7,C1,pre-drought,sample,1.8134,-44.42902
S2P7,C1,pre-drought,sample,1.9452,-44.33301
S3P4,C2,drought,sample,-0.00729,-43.67654
S3P2,C2,pre-drought,sample,0.30247,-42.26769
S2P7,C1,pre-drought,sample,0.50192,-42.01809
S2P8,C2,pre-drought,sample,0.95399,-40.97517
S2P8,C2,pre-drought,sample,0.95399,-40.97517
S3P5,C1,drought,sample,1.0994,-40.50352
S1.4W,C2,drought,water,0.20363,-40.35199
S3P2,C2,pre-drought,sample,0.32579,-40.0566
S3P5,C1,drought,sample,1.37462,-39.85303
S2P1,C1,pre-drought,sample,1.13954,-39.71108
S2P7,C1,pre-drought,sample,0.0353,-39.67023
S1P2,C2,drought,sample,0.50473,-38.9326
