S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_Time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,-0.00719,-0.67097,-0.00526,-0.67546,0.00105,-0.68491,0.00341,-0.69624,-0.00194,-0.69888,-0.00115,-0.68292,0.01052,-0.69786,-0.01692,-0.59498,-0.00107,-0.67541,0.01406,-1.70606,0.00631,-0.64223,-0.00684,-0.67022,-0.01774,-0.65623,0.00562,-0.67307,,-0.56631,-2.54E-04,-0.65424,0.01042,-0.66917,-0.01268,-0.69708,-0.00184,-0.66147,-0.00165
-0.61112,0.00426,-0.59259,-0.01224,-0.66133,-3.24E-04,-0.6066,-3.51E-04,-0.61992,-0.00652,-0.62067,-0.01572,-0.60461,0.00627,-0.61959,-0.02678,-0.51679,-0.00995,-0.66125,-0.0037,-1.67046,0.00461,-0.56388,-9.55E-04,-0.59204,0.0046,-0.57789,0.00391,-0.59674,,-0.48812,0.05806,-0.57593,-0.00128,-0.59091,-0.00496,-0.61883,-0.0028,-0.58319,-0.00192
-0.53278,0.00605,-0.51421,0.00407,-0.64718,-7.38E-04,-0.52832,-0.00376,-0.54355,0.00288,-0.54251,0.00342,-0.52626,0.00483,-0.54131,-0.00415,-0.43859,,-0.647,0.00162,-1.62777,0.00714,-0.4855,-0.0039,-0.51387,-0.02154,-0.49961,0.01833,-0.52038,,-0.40994,,-0.49757,0.00485,-0.51259,-0.00331,-0.54053,-0.00714,-0.5049,-0.01018
-0.45441,,-0.43583,,-0.63293,-0.0014,-0.45002,,-0.46718,-7.65E-04,-0.46431,-0.00333,-0.44789,,-0.46295,,-0.36041,,-0.63275,0.01527,-1.59213,-0.00406,-0.40711,,-0.43566,,-0.42131,,-0.444,,-0.33175,,-0.41921,,-0.43422,,-0.46223,0.00292,-0.42664,0.00216
-0.37604,,-0.35755,,-0.61868,0.00731,-0.37164,,-0.39075,,-0.38609,,-0.36956,,-0.38459,,-0.28222,-0.00619,-0.61851,0.00149,-1.54949,0.00274,-0.32885,,-0.35742,,-0.343,,-0.36756,,-0.25355,7.68E-04,-0.34088,,-0.35589,,-0.38407,-0.0379,-0.34841,8.87E-04
-0.29769,,-0.2792,0.0018,-0.60443,-0.00364,-0.29344,,-0.31437,,-0.30775,,-0.29128,,-0.30627,,-0.20402,,-0.60426,0.00504,-1.51385,-0.00456,-0.25047,-0.00598,-0.27904,-0.01355,-0.26473,,-0.29122,,-0.17534,,-0.26264,-0.00498,-0.27758,0.00318,-0.30575,-0.00441,-0.27012,-0.00269
-0.21936,,-0.20083,-5.77E-04,-0.58317,-0.00763,-0.21517,,-0.238,-0.00434,-0.22941,9.67E-04,-0.21302,-0.01526,-0.22802,-0.00881,-0.12575,,-0.583,0.00985,-1.47118,-0.0053,-0.17212,-0.00169,-0.20068,-0.00627,-0.18646,,-0.21481,,-0.09706,,-0.18434,-0.00711,-0.19936,,-0.22748,7.88E-05,-0.19185,0.00595
-0.14108,,-0.12244,-0.00649,-0.56892,-0.00528,-0.13689,,-0.1616,-1.66E-04,-0.15111,1.03E-04,-0.13472,-8.83E-04,-0.14976,-0.003,-0.00683,,-0.56874,-0.0026,-1.43554,,-0.09373,-3.88E-04,-0.12243,,-0.10818,,-0.13843,,-0.00664,,-0.10604,5.94E-04,-0.12104,,-0.14918,-0.0017,-0.11354,-0.00432
-0.06277,,-0.04409,-0.00237,-0.55466,0.00297,-0.05856,,-0.08523,0.00714,-0.07287,,-0.05639,0.00657,-0.07152,0.00374,0.01455,,-0.55449,0.03106,-1.39286,,-0.00727,-0.00513,-0.04421,,-0.02988,0.00159,-0.06207,,0.01473,,-0.02773,-0.00339,-0.04285,0.00454,-0.07093,0.00286,-0.03534,-0.00353
3.13E-04,-0.0042,-0.00744,0.00138,-0.54042,0.01224,-0.00747,,-0.00734,-0.00459,-0.01947,,-0.00745,-0.00317,-0.00747,-0.0048,0.03589,0.03428,-0.54024,0.00371,-1.35723,,0.01411,0.00958,-0.01928,,-0.00728,-0.02489,-0.00716,-0.00692,0.03609,-0.00197,-0.00729,0.00771,-0.00729,0.00678,-0.00985,3.33E-04,-0.00274,0.00231
