Sample,Pyruv,Condition,Type,Time,Flux
S2P6,C2,drought,sample,-0.59674,-137.92156
S2P6,C2,drought,sample,-0.13843,-126.41456
S2P6,C2,drought,sample,-0.67307,-94.96533
S2P4,C2,drought,sample,-0.00728,-62.70829
S2P6,C2,drought,sample,-0.52038,-54.37327
S1P5,C1,drought,sample,0.02795,-54.29331
S1P1,C1,pre-drought,sample,-0.0067,-45.52518
S2P1,C1,pre-drought,sample,14.93965,-45.49588
S3P1,C1,drought,sample,-0.21302,-44.79389
S3P6,C2,pre-drought,sample,2.84262,-42.88727
S2P1,C1,drought,sample,1.73009,-41.97033
S1P5,C1,drought,sample,0.76752,-38.98217
S2P1,C1,pre-drought,sample,14.10698,-38.2169
S1P4,C2,drought,sample,-1.12242,-37.54925
S3P5,C1,pre-drought,sample,0.9242,-36.23308
S1P3,C1,pre-drought,sample,0.28123,-35.93127
S3P5,C1,pre-drought,sample,0.16678,-35.37332
S1P5,C1,drought,sample,0.73914,-34.81632
S3P3,C1,pre-drought,sample,0.19253,-34.76893
S2P7,C1,pre-drought,sample,1.88108,-34.08837
S2P8,C2,pre-drought,sample,1.13206,-33.97116
S1P5,C1,drought,sample,0.01374,-32.54615
S2P2,C2,drought,sample,-0.51387,-32.10624
S3P5,C1,drought,sample,0.79199,-32.09725
S1P5,C1,drought,sample,-0.06387,-31.96533
S2P1,C1,pre-drought,sample,15.12479,-30.62951
S2P1,C1,pre-drought,sample,9.9155,-30.32654
S2P7,C1,pre-drought,sample,1.32218,-30.31102
S2P1,C1,drought,sample,0.08514,-30.08817
S1P3,C1,pre-drought,sample,-0.1298,-29.7617
S3P2,C2,drought,sample,0.05745,-29.58564
S3P3,C1,pre-drought,sample,0.06062,-29.2934
S3P1,C1,pre-drought,sample,1.89168,-28.90125
S3P4,C2,pre-drought,sample,-0.29367,-28.74531
S1P2,C2,pre-drought,sample,-0.15064,-28.22539
S2P7,C1,pre-drought,sample,0.14576,-27.87995
S1P2,C2,pre-drought,sample,-0.10792,-27.78968
S3P3,C1,pre-drought,sample,0.01434,-27.5921
S3P5,C1,pre-drought,sample,1.04965,-27.43869
S3P3,C1,pre-drought,sample,0.21394,-27.30089
S1P5,C1,drought,sample,-0.47641,-26.97999
S2P7,C1,pre-drought,sample,0.05667,-26.76092
S1P4,C2,drought,sample,-1.27897,-26.31896
S2P1,C1,pre-drought,sample,11.92984,-25.7263
S1P2,C2,pre-drought,sample,-0.07589,-25.14299
S2P7,C1,pre-drought,sample,1.1691,-25.09612
S2P1,C1,drought,sample,1.53781,-24.93957
S2P2,C2,drought,sample,-0.27904,-24.73234
S3P5,C1,drought,sample,1.41027,-24.53083
S2P7,C1,pre-drought,sample,0.23481,-24.47615
S2P1,C1,pre-drought,sample,14.29204,-24.18444
S2P1,C1,pre-drought,sample,0.08171,-24.12698
S2P7,C1,pre-drought,sample,0.21347,-23.98135
S3P6,C2,pre-drought,sample,2.88892,-23.84778
S1P5,C1,pre-drought,sample,0.15931,-23.5962
S2P1,C1,pre-drought,sample,13.274,-23.49207
S2P7,C1,pre-drought,sample,0.97179,-22.82927
