S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-0.00755,-0.6523,0.00812,-1.58571,0.02228,-0.64587,-0.01168,-0.60287,-0.01883,-0.60692,-0.01185,-0.6767,-5.53E-04,-0.65035,0.0072,-0.63999,-0.00145,-1.58551,0.00828,-0.59956,-4.03E-04,-0.62365,-0.00795,-0.57134,-0.01017,-0.61718,0.00742,-0.58602,0.01338,-0.6113,-0.00702,-0.59302,-0.004,-0.62163,0.00371
-0.55352,0.00378,-0.56583,0.00679,-1.57144,0.0392,-0.57106,-0.00762,-0.52815,-0.01465,-0.53223,-0.00802,-0.62172,0.00258,-0.5755,0.00101,-0.56525,0.0054,-1.57124,-0.03636,-0.52488,-0.002,-0.53718,-0.01576,-0.49657,-0.00795,-0.54231,-0.02784,-0.51125,-0.00651,-0.5366,-0.00229,-0.51817,-6.77E-04,-0.54682,0.00421
-0.47876,7.37E-04,-0.47899,0.00718,-1.55719,-0.00184,-0.49623,-0.00367,-0.45328,,-0.45738,-0.00163,-0.54685,0.00759,-0.50073,-0.00116,-0.49064,0.00247,-1.55703,-0.02429,-0.45006,,-0.45031,,-0.42174,,-0.46752,-0.02011,-0.43634,,-0.46197,,-0.44331,,-0.47203,
-0.40397,,-0.39222,,-1.54294,0.0174,-0.42139,,-0.37838,,-0.38259,,-0.47201,0.00481,-0.42591,,-0.41598,,-1.54275,0.0032,-0.37525,,-0.36352,,-0.347,,-0.39267,,-0.3615,,-0.38734,,-0.36851,,-0.39722,
-0.32916,,-0.30537,,-1.52872,0.09321,-0.34657,,-0.30354,,-0.30787,,-0.3972,,-0.35117,,-0.34138,,-1.52853,-0.02758,-0.30044,,-0.27668,0.00264,-0.27227,0.00101,-0.31791,,-0.28663,0.00495,-0.31274,,-0.29367,-0.02749,-0.32248,
-0.25434,0.0081,-0.21856,0.00817,-1.51449,-0.03828,-0.27181,-0.00526,-0.22868,-0.00778,-0.23316,0.00239,-0.32236,,-0.27639,-0.01523,-0.26672,0.00452,-1.51431,-0.0171,-0.22564,0.0023,-0.18968,-0.0057,-0.19753,-0.00677,-0.24313,0.0015,-0.21178,0.00334,-0.23808,-0.0051,-0.21884,0.00131,-0.24769,0.00257
-0.17954,0.00412,-0.1298,-0.00977,-1.49675,-0.01256,-0.19699,-0.00295,-0.15382,-0.01716,-0.15837,-0.00749,-0.24753,0.0127,-0.20163,-0.00777,-0.19205,0.01732,-1.49659,-3.26E-04,-0.15082,0.00487,-0.10104,-0.0047,-0.12279,0.00255,-0.16826,0.0069,-0.1369,0.01164,-0.16334,-0.00661,-0.14403,0.00662,-0.17293,0.00186
-0.10471,0.01187,-0.04495,0.00132,-1.48253,-0.01202,-0.12216,0.00985,-0.07897,-0.01397,-0.08367,0.00227,-0.1727,-0.00732,-0.12685,-0.01763,-0.11728,-0.00212,-1.48236,-0.00864,-0.07598,-7.35E-04,-0.00735,0.01102,-0.04801,-0.00376,-0.09343,0.01416,-0.06207,-0.02382,-0.08854,0.00125,-0.06925,-0.0077,-0.09814,0.0028
-0.02986,-0.00404,-0.00755,0.00198,-1.46832,-0.00177,-0.04726,0.00922,-0.02704,-0.00183,-0.00747,-0.01536,-0.09791,0.00505,-0.05207,-0.00842,-0.04241,-0.00388,-1.46814,0.00446,-0.00652,0.00741,0.01405,0.00419,-3.24E-04,-0.00679,-0.00723,-2.86E-04,-0.03867,-0.0054,-0.01366,0.00317,-0.00716,-0.00382,-0.02815,0.00782
-0.0067,-0.02583,0.01385,0.00745,-1.45409,,-0.00742,-0.00292,-0.00565,-0.00545,0.01391,-0.004,-0.02315,0.01038,-0.02834,-0.00136,0.01333,-0.00508,-1.45391,,0.01488,-0.00684,0.03545,1.39E-05,0.02105,-0.00749,0.01417,-0.00246,-0.01727,,0.01354,0.0015,0.01422,-0.00488,-0.00682,-0.0028
