S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,76.85003,-0.67097,-45.7736,-0.67546,28.19743,-0.68491,13.81037,-0.69624,-9.4503,-0.69888,-42.2875,-0.68292,-3.93558,-0.69786,-7.79727,-0.59498,-112.1387,-0.67541,50.86775,-1.70606,168.63121,-0.64223,46.20352,-0.67022,-13.05703,-0.65623,45.70041,-0.67307,-98.30929,-0.56631,23.43923,-0.65424,59.23131,-0.66917,-5.03769,-0.69708,94.01805,-0.66147,56.03658
-0.61112,51.85737,-0.59259,,-0.66133,117.14711,-0.6066,-66.33682,-0.61992,14.08848,-0.62067,11.54011,-0.60461,-11.31501,-0.61959,48.63185,-0.51679,145.65277,-0.66125,-26.21132,-1.67046,94.36332,-0.56388,44.0096,-0.59204,7.69311,-0.57789,44.21896,-0.59674,260.15782,-0.48812,32.29431,-0.57593,5.54576,-0.59091,,-0.61883,85.60498,-0.58319,52.3391
-0.53278,38.49257,-0.51421,,-0.64718,-25.76324,-0.52832,-35.71691,-0.54355,-30.31466,-0.54251,-7.76338,-0.52626,-42.10985,-0.54131,129.66341,-0.43859,17.26951,-0.647,-58.03221,-1.62777,109.01833,-0.4855,174.53389,-0.51387,-19.16684,-0.49961,-3.12405,-0.52038,-18.19197,-0.40994,46.48576,-0.49757,-20.42851,-0.51259,,-0.54053,48.22789,-0.5049,-77.61259
-0.45441,78.1028,-0.43583,97.42826,-0.63293,102.86079,-0.45002,,-0.46718,-18.50173,-0.46431,36.20224,-0.44789,-14.30182,-0.46295,,-0.36041,293.33042,-0.63275,9.70594,-1.59213,108.65083,-0.40711,,-0.43566,4.6629,-0.42131,54.32035,-0.444,20.28554,-0.33175,-68.80584,-0.41921,,-0.43422,,-0.46223,53.03936,-0.42664,147.31592
-0.37604,,-0.35755,,-0.61868,54.99378,-0.37164,-23.02043,-0.39075,,-0.38609,,-0.36956,15.63392,-0.38459,,-0.28222,268.3612,-0.61851,59.4049,-1.54949,75.36983,-0.32885,-5.31086,-0.35742,-13.00166,-0.343,-20.05387,-0.36756,-147.35292,-0.25355,86.34584,-0.34088,-43.73607,-0.35589,-188.28612,-0.38407,,-0.34841,-23.8649
-0.29769,,-0.2792,,-0.60443,51.51311,-0.29344,,-0.31437,-33.54805,-0.30775,60.23888,-0.29128,5.9471,-0.30627,-95.89412,-0.20402,,-0.60426,150.08313,-1.51385,130.18358,-0.25047,-28.16891,-0.27904,50.13451,-0.26473,29.64136,-0.29122,,-0.17534,,-0.26264,13.32328,-0.27758,,-0.30575,46.98202,-0.27012,-20.18296
-0.21936,,-0.20083,38.52338,-0.58317,-17.94203,-0.21517,52.73053,-0.238,16.92886,-0.22941,-23.19875,-0.21302,22.74655,-0.22802,,-0.12575,,-0.583,54.0377,-1.47118,236.72233,-0.17212,39.23118,-0.20068,-1.82186,-0.18646,-13.94171,-0.21481,-62.56592,-0.09706,,-0.18434,64.49406,-0.19936,,-0.22748,86.62704,-0.19185,-80.52443
-0.14108,,-0.12244,31.72324,-0.56892,,-0.13689,56.16704,-0.1616,-101.47773,-0.15111,16.15797,-0.13472,87.37308,-0.14976,,-0.00683,,-0.56874,199.43361,-1.43554,,-0.09373,-2.77905,-0.12243,,-0.10818,22.92214,-0.13843,,-0.00664,,-0.10604,,-0.12104,,-0.14918,48.06749,-0.11354,153.24278
-0.06277,,-0.04409,-31.37214,-0.55466,2.93203,-0.05856,164.05903,-0.08523,-34.6397,-0.07287,,-0.05639,-84.49098,-0.07152,202.71856,0.01455,168.6506,-0.55449,-63.36764,-1.39286,30.81544,-0.00727,40.66035,-0.04421,,-0.02988,48.42995,-0.06207,150.93449,0.01473,134.0863,-0.02773,76.71051,-0.04285,-28.19301,-0.07093,127.25871,-0.03534,-121.0511
3.13E-04,11.82953,-0.00744,29.47734,-0.54042,-59.63419,-0.00747,104.88983,-0.00734,1.18507,-0.01947,5.80046,-0.00745,45.1588,-0.00747,-4.90205,0.03589,-11.31279,-0.54024,116.73868,-1.35723,165.64701,0.01411,77.03299,-0.01928,-17.12082,-0.00728,2.39379,-0.00716,-11.83252,0.03609,57.47305,-0.00729,-43.78281,-0.00729,,-0.00985,104.11082,-0.00274,0.40032
0.02169,109.5893,0.01394,39.20555,-0.52617,-47.03341,0.01392,20.26801,0.01406,-19.75143,0.00191,-6.41514,0.01392,6.33267,0.01389,-7.75212,0.05726,100.95051,-0.526,6.22337,-1.31461,493.98979,0.03546,42.65312,0.00208,71.87096,0.0141,66.41675,0.01427,-11.48712,0.05745,-3.1699,0.01409,75.22597,0.01407,1.23592,0.0115,87.85005,0.01862,123.82528
0.04309,81.32898,0.03529,27.46495,-0.51193,-33.02662,0.0353,-47.76587,0.03544,-26.42058,0.02328,-0.82828,0.03528,47.0276,0.03523,-82.54555,0.08562,29.58237,-0.51176,,-1.27897,96.53817,0.05681,2.70619,0.02344,-1.09509,0.03547,61.4561,0.03564,-3.94601,0.08583,35.7813,0.03544,44.86315,0.03542,-16.58507,0.03288,87.5299,0.04,68.07459
0.06444,93.73469,0.05663,-23.33548,-0.49065,168.76561,0.05667,12.30679,0.05685,43.48314,0.04463,-10.19475,0.05666,78.22024,0.05659,-27.65589,0.10699,-49.13906,-0.49047,49.06044,-1.23634,-16.78854,0.0852,31.0386,0.04481,30.13973,0.05688,94.61408,0.05705,-18.12287,0.10719,197.36493,0.05682,22.92924,0.05676,-34.53024,0.05425,153.26184,0.06137,101.90739
0.09284,7.90683,0.08502,-43.87604,-0.47641,-62.11229,0.08514,2.3096,0.08524,17.20174,0.07306,7.93435,0.08501,84.19268,0.08497,-67.94927,0.12841,,-0.47624,350.22289,-1.20071,467.75557,0.10655,7.29755,0.07324,-4.38949,0.08531,63.66133,0.08544,-7.77533,0.12861,152.21513,0.08517,61.66135,0.08515,19.89329,0.08269,68.59662,0.08979,-6.19701
0.1142,38.11213,0.10638,11.20806,-0.46218,60.27639,0.10652,-9.49632,0.10666,,0.0944,86.5534,0.10638,125.29669,0.10632,-6.91943,0.14977,3.77414,-0.462,-28.44615,-1.15806,149.75727,0.12789,,0.09457,74.53884,0.10669,93.00659,0.10683,-6.80805,0.14997,,0.10654,87.31193,0.10649,-2.93307,0.10405,94.90375,0.11116,37.13609
0.13557,78.56017,0.12772,,-0.44794,-131.62048,0.12791,30.8028,0.12799,26.51341,0.11575,-10.195,0.12774,205.38801,0.12765,114.07427,0.17817,-32.53283,-0.44777,,-1.12242,271.62347,0.14927,,0.11593,71.7063,0.12808,112.59399,0.12816,,0.17837,,0.12791,58.02277,0.12784,-27.97244,0.12542,73.53259,0.13253,18.9126
0.15692,88.76073,0.1491,,-0.4337,481.72771,0.14927,32.84921,0.14939,102.33135,0.13709,-14.09482,0.14913,150.55942,0.149,20.54112,0.19959,64.69687,-0.43353,-139.34579,-1.07972,294.93329,0.17765,,0.13729,70.36784,0.14944,157.60069,0.14959,-11.29414,0.19979,187.56466,0.14929,85.15828,0.14919,114.08842,0.14679,80.39922,0.15391,68.2609
0.18535,61.61751,0.17748,,-0.41947,118.50588,0.17767,37.15141,0.17779,98.75596,0.16552,59.88409,0.17752,,0.17743,4.09235,0.22095,-87.58029,-0.41929,-197.40594,-1.04414,95.53372,0.19903,,0.16569,87.89473,0.17788,89.60728,0.178,8.44461,0.22113,,0.17769,115.04702,0.17762,-8.91902,0.1752,64.9812,0.18228,42.17697
0.20671,16.13916,0.19885,,-0.39818,16.22897,0.19904,46.14082,0.19922,75.32012,0.1869,126.37161,0.1989,82.03609,0.19877,131.05691,0.24229,-12.41516,-0.39801,375.4606,-0.66071,-32.51824,0.22041,,0.18707,128.4288,0.19921,165.79705,0.19939,123.29326,0.24249,225.26806,0.19906,132.43773,0.19896,76.85915,0.19653,23.77393,0.20363,-3.32066
0.2281,117.58481,0.22023,,-0.38395,826.09997,0.22045,50.9355,0.22056,53.81551,0.20826,107.44499,0.22025,117.00648,0.22015,39.54956,0.28663,30.63935,-0.38377,2664.77402,-0.58242,-26.49822,0.24182,,0.20841,170.69321,0.22064,160.7199,0.22075,-7.7879,0.28683,224.62447,0.22042,114.50327,0.22032,84.56937,0.21788,59.04458,0.225,60.45272
0.24948,126.10212,0.24164,,-0.36971,124.81947,0.24183,-3.79187,0.24199,74.80271,0.22959,71.59227,0.24164,152.4997,0.24149,54.05445,0.32222,37.5815,-0.36954,,-0.50404,-51.40381,0.27385,,0.22976,201.60767,0.242,171.38542,0.24215,-36.00213,0.32242,238.79895,0.24182,-20.97439,0.24168,77.83256,0.23924,81.95824,0.24638,87.34282
0.28852,77.53142,0.27368,,-0.35547,-167.76063,0.28213,57.99581,0.30049,76.60413,0.258,98.2207,0.27527,134.1879,0.27263,43.30388,0.36493,62.13567,-0.3553,334.50503,-0.42568,,0.30943,88.01192,0.25817,92.80646,0.2823,159.59026,0.30069,-27.61901,0.36513,214.55554,0.27543,62.13271,0.27281,46.0401,0.26766,45.49499,0.27479,-44.10138
0.3242,79.91499,0.30926,64.9422,-0.34124,,0.31774,-43.52739,0.33616,22.10943,0.27683,70.13711,0.31093,166.90998,0.30825,15.90629,0.40057,15.39965,-0.34106,,-0.3473,,0.35209,,0.27701,170.70354,0.31792,166.9086,0.33637,7.6955,0.40076,317.18472,0.31109,175.18107,0.30844,37.59764,0.28903,77.28882,0.29615,70.03344
