S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,0.01642,-0.67097,,-0.67546,0.00429,-0.68491,-0.00134,-0.69624,-0.00357,-0.69888,-0.01341,-0.68292,-0.00325,-0.69786,8.88E-04,-0.59498,-0.01432,-0.67541,0.00658,-1.70606,,-0.64223,,-0.67022,-0.00723,-0.65623,0.02325,-0.67307,-0.03364,-0.56631,0.00396,-0.65424,0.01438,-0.66917,,-0.69708,0.02151,-0.66147,0.01185
-0.61112,0.00615,-0.59259,,-0.66133,0.01451,-0.6066,,-0.61992,0.00315,-0.62067,0.00766,-0.60461,-0.00255,-0.61959,,-0.51679,,-0.66125,-0.00256,-1.67046,0.01852,-0.56388,0.01095,-0.59204,0.00444,-0.57789,0.01546,-0.59674,0.07415,-0.48812,,-0.57593,0.00163,-0.59091,,-0.61883,0.01593,-0.58319,0.0089
-0.53278,0.00665,-0.51421,,-0.64718,,-0.52832,,-0.54355,,-0.54251,,-0.52626,,-0.54131,,-0.43859,0.00311,-0.647,-0.00545,-1.62777,0.02018,-0.4855,,-0.51387,-0.00732,-0.49961,6.19E-04,-0.52038,-0.00151,-0.40994,,-0.49757,-0.00253,-0.51259,,-0.54053,0.00687,-0.5049,
-0.45441,,-0.43583,0.00956,-0.63293,,-0.45002,,-0.46718,-0.00451,-0.46431,0.00674,-0.44789,-0.00106,-0.46295,,-0.36041,,-0.63275,-2.44E-04,-1.59213,0.00871,-0.40711,,-0.43566,0.00284,-0.42131,,-0.444,0.00384,-0.33175,,-0.41921,,-0.43422,,-0.46223,,-0.42664,
-0.37604,,-0.35755,,-0.61868,0.00419,-0.37164,-0.01286,-0.39075,,-0.38609,,-0.36956,,-0.38459,,-0.28222,,-0.61851,0.00124,-1.54949,,-0.32885,,-0.35742,-0.00429,-0.343,-0.00319,-0.36756,-0.02759,-0.25355,-0.001,-0.34088,-0.00446,-0.35589,,-0.38407,,-0.34841,
-0.29769,,-0.2792,,-0.60443,,-0.29344,,-0.31437,-0.00674,-0.30775,0.00314,-0.29128,-1.46E-04,-0.30627,,-0.20402,,-0.60426,0.0155,-1.51385,,-0.25047,-0.00324,-0.27904,0.02044,-0.26473,,-0.29122,,-0.17534,,-0.26264,,-0.27758,,-0.30575,0.00656,-0.27012,
-0.21936,,-0.20083,,-0.58317,,-0.21517,,-0.238,0.00552,-0.22941,,-0.21302,,-0.22802,,-0.12575,,-0.583,0.00198,-1.47118,,-0.17212,,-0.20068,,-0.18646,,-0.21481,,-0.09706,,-0.18434,,-0.19936,,-0.22748,,-0.19185,-9.78E-04
-0.14108,,-0.12244,0.0058,-0.56892,,-0.13689,,-0.1616,,-0.15111,-0.00228,-0.13472,0.00388,-0.14976,,-0.00683,,-0.56874,,-1.43554,,-0.09373,,-0.12243,,-0.10818,0.00345,-0.13843,,-0.00664,,-0.10604,,-0.12104,,-0.14918,,-0.11354,
-0.06277,,-0.04409,,-0.55466,,-0.05856,,-0.08523,,-0.07287,,-0.05639,,-0.07152,0.00521,0.01455,0.00669,-0.55449,-0.00409,-1.39286,0.00129,-0.00727,0.00906,-0.04421,,-0.02988,,-0.06207,,0.01473,0.01251,-0.02773,0.00882,-0.04285,,-0.07093,0.00528,-0.03534,
3.13E-04,,-0.00744,,-0.54042,,-0.00747,,-0.00734,,-0.01947,-8.84E-05,-0.00745,0.00606,-0.00747,,0.03589,,-0.54024,0.00428,-1.35723,,0.01411,0.01561,-0.01928,-0.0079,-0.00728,0.00303,-0.00716,-0.00213,0.03609,0.00711,-0.00729,,-0.00729,,-0.00985,,-0.00274,1.06E-04
