S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-8.47907,-0.6523,-6.85547,-1.58571,-1.21859,-0.64587,-13.3812,-0.60287,-6.07913,-0.60692,3.41019,-0.6767,-21.5223,-0.65035,2.10969,-0.63999,0.67089,-1.58551,-5.49595,-0.59956,-0.90956,-0.62365,-7.65437,-0.57134,3.32821,-0.61718,3.62092,-0.58602,-1.7022,-0.6113,-17.08111,-0.59302,-14.14559,-0.62163,-10.52239
-0.55352,-3.18408,-0.56583,-5.51453,-1.57144,0.37506,-0.57106,-4.98097,-0.52815,0.46261,-0.53223,0.92605,-0.62172,-16.82014,-0.5755,2.70843,-0.56525,8.1903,-1.57124,-11.45921,-0.52488,-22.97883,-0.53718,17.84798,-0.49657,4.74904,-0.54231,1.17546,-0.51125,-5.83124,-0.5366,1.09537,-0.51817,-2.03774,-0.54682,-4.23496
-0.47876,3.51737,-0.47899,-11.04868,-1.55719,-3.19764,-0.49623,-11.93541,-0.45328,6.36354,-0.45738,-3.56738,-0.54685,18.12768,-0.50073,-20.09698,-0.49064,1.00235,-1.55703,-8.38416,-0.45006,5.51104,-0.45031,-9.99903,-0.42174,10.91854,-0.46752,-3.46835,-0.43634,3.1574,-0.46197,-14.57662,-0.44331,8.09868,-0.47203,-6.89297
-0.40397,,-0.39222,15.77427,-1.54294,-2.75861,-0.42139,-14.81187,-0.37838,-5.6664,-0.38259,17.3219,-0.47201,-2.46642,-0.42591,-31.57359,-0.41598,27.4301,-1.54275,-3.09718,-0.37525,-4.95091,-0.36352,3.11469,-0.347,9.69255,-0.39267,-10.64107,-0.3615,-6.08282,-0.38734,29.92521,-0.36851,4.68081,-0.39722,
-0.32916,-1.1652,-0.30537,4.55027,-1.52872,6.9682,-0.34657,19.623,-0.30354,-1.49101,-0.30787,-8.36391,-0.3972,-3.18341,-0.35117,-4.578,-0.34138,-10.08205,-1.52853,9.24986,-0.30044,-11.11944,-0.27668,-4.52328,-0.27227,-2.10163,-0.31791,-6.30422,-0.28663,-0.80079,-0.31274,0.48566,-0.29367,10.10009,-0.32248,22.47318
-0.25434,-10.9779,-0.21856,-10.56028,-1.51449,-6.46193,-0.27181,3.27025,-0.22868,-1.41037,-0.23316,8.47077,-0.32236,-13.48422,-0.27639,8.0205,-0.26672,-2.25213,-1.51431,-5.69004,-0.22564,-0.84625,-0.18968,7.57426,-0.19753,-17.8732,-0.24313,1.54923,-0.21178,-8.11555,-0.23808,-31.51779,-0.21884,-26.80831,-0.24769,-3.63142
-0.17954,13.41007,-0.1298,-2.23064,-1.49675,0.67634,-0.19699,-3.64194,-0.15382,-12.94553,-0.15837,5.23472,-0.24753,-14.50167,-0.20163,-13.9628,-0.19205,-13.73805,-1.49659,-0.70274,-0.15082,14.96428,-0.10104,-19.2048,-0.12279,-13.39922,-0.16826,-3.27305,-0.1369,-6.96696,-0.16334,-3.53533,-0.14403,-7.59354,-0.17293,12.83655
-0.10471,4.26734,-0.04495,4.32798,-1.48253,3.36728,-0.12216,-17.8966,-0.07897,6.46018,-0.08367,4.18784,-0.1727,7.32307,-0.12685,-0.84234,-0.11728,0.28408,-1.48236,2.62595,-0.07598,-8.28441,-0.00735,7.93882,-0.04801,-12.38717,-0.09343,8.14011,-0.06207,-13.90906,-0.08854,-18.35396,-0.06925,13.66954,-0.09814,-4.13925
-0.02986,-4.68614,-0.00755,3.64711,-1.46832,1.25183,-0.04726,27.56237,-0.02704,3.266,-0.00747,-13.28233,-0.09791,-3.05355,-0.05207,7.60931,-0.04241,2.42,-1.46814,-6.9098,-0.00652,3.37743,0.01405,-6.77547,-3.24E-04,3.05748,-0.00723,-3.9579,-0.03867,4.27459,-0.01366,14.33317,-0.00716,-13.43644,-0.02815,33.79535
-0.0067,-3.61832,0.01385,8.98449,-1.45409,-9.3698,-0.00742,6.54198,-0.00565,-9.51111,0.01391,9.01055,-0.02315,-21.92184,-0.02834,,0.01333,-5.59176,-1.45391,-1.21526,0.01488,-3.2361,0.03545,10.0291,0.02105,-0.94889,0.01417,-3.46163,-0.01727,0.16848,0.01354,-3.18098,0.01422,-6.28759,-0.00682,-20.92461
