S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-0.00255,-0.6523,-0.00325,-1.58571,3.73E-04,-0.64587,-0.00293,-0.60287,-0.01118,-0.60692,0.0019,-0.6767,-0.01204,-0.65035,0.0022,-0.63999,1.29E-04,-1.58551,-0.00125,-0.59956,-0.0014,-0.62365,-0.00902,-0.57134,0.00228,-0.61718,0.00261,-0.58602,-0.0073,-0.6113,-0.01227,-0.59302,-0.01304,-0.62163,-0.00605
-0.55352,-0.00235,-0.56583,-0.00574,-1.57144,0.00659,-0.57106,-0.00195,-0.52815,-0.00597,-0.53223,-0.00257,-0.62172,-0.01213,-0.5755,4.07E-04,-0.56525,0.00342,-1.57124,-0.02127,-0.52488,-0.01587,-0.53718,0.0156,-0.49657,0.00162,-0.54231,-7.27E-04,-0.51125,-0.00943,-0.5366,1.03E-04,-0.51817,-0.00322,-0.54682,-0.00324
-0.47876,0.00283,-0.47899,-0.01171,-1.55719,0.00162,-0.49623,-0.00743,-0.45328,0.01449,-0.45738,-0.00219,-0.54685,0.01083,-0.50073,-0.01021,-0.49064,-3.05E-04,-1.55703,-0.02014,-0.45006,0.00402,-0.45031,-0.00962,-0.42174,0.00533,-0.46752,-0.00608,-0.43634,0.00791,-0.46197,-0.00755,-0.44331,0.00368,-0.47203,-0.00427
-0.40397,-0.01472,-0.39222,0.01054,-1.54294,-0.00209,-0.42139,-0.00974,-0.37838,-0.00397,-0.38259,0.00303,-0.47201,-0.00277,-0.42591,-0.01017,-0.41598,0.01733,-1.54275,-0.00831,-0.37525,-7.09E-04,-0.36352,0.00154,-0.347,0.00597,-0.39267,-0.00235,-0.3615,-0.00385,-0.38734,,-0.36851,0.00276,-0.39722,
-0.32916,-7.02E-04,-0.30537,0.00333,-1.52872,-0.00753,-0.34657,,-0.30354,-7.45E-04,-0.30787,-0.00818,-0.3972,-6.77E-04,-0.35117,-0.00135,-0.34138,-0.00561,-1.52853,0.00608,-0.30044,-0.00741,-0.27668,-0.00363,-0.27227,-0.00282,-0.31791,-0.00641,-0.28663,0.0031,-0.31274,-0.00174,-0.29367,0.00454,-0.32248,0.00713
-0.25434,-0.00633,-0.21856,-0.01022,-1.51449,-0.01071,-0.27181,0.00189,-0.22868,-0.00262,-0.23316,0.0058,-0.32236,-0.00697,-0.27639,0.0036,-0.26672,-0.00309,-1.51431,-0.00642,-0.22564,-0.00185,-0.18968,0.00461,-0.19753,-0.01525,-0.24313,-1.94E-04,-0.21178,-0.01247,-0.23808,-0.01804,-0.21884,-0.01221,-0.24769,-0.00118
-0.17954,0.00736,-0.1298,0.00253,-1.49675,0.00262,-0.19699,-0.00207,-0.15382,-0.00999,-0.15837,0.00419,-0.24753,-0.00793,-0.20163,-0.00643,-0.19205,-0.00626,-1.49659,-0.00207,-0.15082,0.00893,-0.10104,-0.01769,-0.12279,-0.01074,-0.16826,-0.0048,-0.1369,-0.00208,-0.16334,,-0.14403,-0.00228,-0.17293,0.00424
-0.10471,0.00231,-0.04495,7.57E-04,-1.48253,0.00553,-0.12216,-0.00846,-0.07897,0.00326,-0.08367,0.00269,-0.1727,0.00397,-0.12685,-0.00235,-0.11728,-7.05E-05,-1.48236,0.00337,-0.07598,-0.00462,-0.00735,0.00674,-0.04801,-0.00784,-0.09343,0.0124,-0.06207,-0.01865,-0.08854,,-0.06925,0.00931,-0.09814,
-0.02986,-0.00286,-0.00755,0.0037,-1.46832,-7.28E-04,-0.04726,0.01087,-0.02704,0.00366,-0.00747,-0.00388,-0.09791,-9.65E-04,-0.05207,0.00174,-0.04241,0.00129,-1.46814,-0.0081,-0.00652,0.00184,0.01405,-0.00655,-3.24E-04,-2.93E-04,-0.00723,-0.00261,-0.03867,0.00363,-0.01366,0.00549,-0.00716,-0.01226,-0.02815,
-0.0067,-0.00255,0.01385,0.00894,-1.45409,-0.01087,-0.00742,0.00131,-0.00565,-0.00732,0.01391,,-0.02315,-0.01474,-0.02834,-0.0143,0.01333,-0.00404,-1.45391,-0.00107,0.01488,-0.00233,0.03545,0.00496,0.02105,-4.14E-04,0.01417,-0.00281,-0.01727,-0.03046,0.01354,0.0024,0.01422,-0.00219,-0.00682,-0.00645
