S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,-2.17696,-0.67097,8.99253,-0.67546,9.7709,-0.68491,-28.32124,-0.69624,9.48133,-0.69888,1.35778,-0.68292,10.89823,-0.69786,-0.28878,-0.59498,-2.79013,-0.67541,6.38561,-1.70606,-11.65462,-0.64223,-1.64342,-0.67022,-6.60034,-0.65623,28.32292,-0.67307,30.95323,-0.56631,13.52815,-0.65424,-3.61178,-0.66917,-6.26107,-0.69708,0.60972,-0.66147,0.22175
-0.61112,15.24093,-0.59259,-2.66077,-0.66133,11.72034,-0.6066,6.42423,-0.61992,6.32143,-0.62067,7.00181,-0.60461,-4.86176,-0.61959,2.26883,-0.51679,-45.23463,-0.66125,10.02663,-1.67046,-2.80884,-0.56388,8.16626,-0.59204,-13.38363,-0.57789,-1.34286,-0.59674,21.82786,-0.48812,40.16902,-0.57593,-25.47104,-0.59091,2.99001,-0.61883,2.22768,-0.58319,-0.73796
-0.53278,-2.43926,-0.51421,-1.57292,-0.64718,4.60542,-0.52832,-1.62554,-0.54355,-11.57059,-0.54251,7.35063,-0.52626,25.40574,-0.54131,-6.19239,-0.43859,,-0.647,-13.52544,-1.62777,2.00004,-0.4855,-2.86197,-0.51387,-7.38512,-0.49961,12.45712,-0.52038,78.56059,-0.40994,,-0.49757,-8.52481,-0.51259,-7.82849,-0.54053,1.1381,-0.5049,0.7405
-0.45441,,-0.43583,,-0.63293,0.30359,-0.45002,,-0.46718,-3.22333,-0.46431,0.90571,-0.44789,,-0.46295,-12.22271,-0.36041,,-0.63275,0.4304,-1.59213,-1.46242,-0.40711,,-0.43566,,-0.42131,,-0.444,,-0.33175,,-0.41921,,-0.43422,,-0.46223,5.60656,-0.42664,
-0.37604,,-0.35755,,-0.61868,-1.80095,-0.37164,,-0.39075,,-0.38609,,-0.36956,,-0.38459,,-0.28222,-13.27015,-0.61851,-6.24957,-1.54949,-7.88238,-0.32885,,-0.35742,,-0.343,,-0.36756,,-0.25355,-1.3528,-0.34088,,-0.35589,,-0.38407,,-0.34841,
-0.29769,,-0.2792,1.1858,-0.60443,-25.32901,-0.29344,,-0.31437,,-0.30775,,-0.29128,,-0.30627,,-0.20402,,-0.60426,-3.79897,-1.51385,4.4731,-0.25047,-10.70479,-0.27904,-22.64836,-0.26473,,-0.29122,-115.06032,-0.17534,,-0.26264,23.58359,-0.27758,-11.9238,-0.30575,,-0.27012,1.07443
-0.21936,,-0.20083,16.64589,-0.58317,-7.26402,-0.21517,,-0.238,-4.51639,-0.22941,6.97672,-0.21302,-4.05758,-0.22802,3.48228,-0.12575,,-0.583,10.45571,-1.47118,-3.496,-0.17212,-9.46117,-0.20068,-12.3478,-0.18646,,-0.21481,,-0.09706,,-0.18434,-2.90515,-0.19936,,-0.22748,-3.53192,-0.19185,2.97239
-0.14108,,-0.12244,-2.95865,-0.56892,4.70443,-0.13689,,-0.1616,9.13396,-0.15111,-10.69887,-0.13472,14.10375,-0.14976,9.66807,-0.00683,,-0.56874,-18.40858,-1.43554,,-0.09373,-5.0199,-0.12243,,-0.10818,,-0.13843,,-0.00664,,-0.10604,35.40787,-0.12104,,-0.14918,-0.35568,-0.11354,-1.24231
-0.06277,,-0.04409,4.28741,-0.55466,-3.52217,-0.05856,46.09652,-0.08523,-2.51935,-0.07287,,-0.05639,3.36035,-0.07152,37.90651,0.01455,,-0.55449,19.16764,-1.39286,,-0.00727,-11.82273,-0.04421,,-0.02988,-18.84629,-0.06207,4.87707,0.01473,,-0.02773,-11.96624,-0.04285,6.7172,-0.07093,-11.11568,-0.03534,-2.22113
3.13E-04,-2.09242,-0.00744,-3.20699,-0.54042,31.96447,-0.00747,,-0.00734,12.93483,-0.01947,0.7945,-0.00745,-0.60175,-0.00747,-19.60793,0.03589,84.00882,-0.54024,18.14419,-1.35723,,0.01411,10.91256,-0.01928,0.54931,-0.00728,-18.12347,-0.00716,-8.1705,0.03609,8.63007,-0.00729,3.52831,-0.00729,-10.27473,-0.00985,-4.14918,-0.00274,2.37578
0.02169,-10.25419,0.01394,0.20451,-0.52617,-27.34117,0.01392,-11.59098,0.01406,-6.57307,0.00191,0.18184,0.01392,-30.24017,0.01389,-3.31383,0.05726,,-0.526,9.29475,-1.31461,,0.03546,1.49359,0.00208,0.62192,0.0141,7.89751,0.01427,5.26332,0.05745,-4.63366,0.01409,9.00902,0.01407,-3.27099,0.0115,-6.37824,0.01862,-2.6333
0.04309,7.07367,0.03529,0.24765,-0.51193,0.41387,0.0353,3.52127,0.03544,1.6442,0.02328,-0.61537,0.03528,-6.56425,0.03523,-0.2545,0.08562,-6.21228,-0.51176,63.6904,-1.27897,-0.97863,0.05681,-7.57401,0.02344,-1.44,0.03547,13.74822,0.03564,41.74419,0.08583,16.05548,0.03544,-3.14346,0.03542,-6.89168,0.03288,3.44327,0.04,1.04767
0.06444,-4.64485,0.05663,3.74439,-0.49065,-8.01474,0.05667,-30.8045,0.05685,6.6779,0.04463,0.90145,0.05666,14.17794,0.05659,-0.83044,0.10699,-5.16255,-0.49047,24.90052,-1.23634,1.87684,0.0852,8.58801,0.04481,-2.27346,0.05688,41.75862,0.05705,8.08016,0.10719,14.71238,0.05682,-1.52854,0.05676,3.05474,0.05425,-0.95105,0.06137,-4.93732
0.09284,-0.30499,0.08502,10.1755,-0.47641,6.05346,0.08514,-16.24779,0.08524,8.30112,0.07306,-0.38587,0.08501,-0.98085,0.08497,-14.69503,0.12841,-35.91651,-0.47624,,-1.20071,-17.37378,0.10655,0.97178,0.07324,0.64031,0.08531,51.42917,0.08544,30.03614,0.12861,60.82833,0.08517,44.31149,0.08515,16.1335,0.08269,-0.68692,0.08979,-2.45495
0.1142,-25.88656,0.10638,-0.56652,-0.46218,68.45112,0.10652,-4.31057,0.10666,,0.0944,0.51219,0.10638,2.05676,0.10632,0.52877,0.14977,12.836,-0.462,,-1.15806,0.64242,0.12789,,0.09457,2.52893,0.10669,66.24834,0.10683,2.04794,0.14997,64.69976,0.10654,73.09208,0.10649,18.45441,0.10405,-2.21432,0.11116,-1.70092
0.13557,-9.03608,0.12772,,-0.44794,,0.12791,-12.44237,0.12799,-18.97418,0.11575,0.888,0.12774,10.79069,0.12765,-19.68356,0.17817,9.97895,-0.44777,,-1.12242,,0.14927,,0.11593,5.83622,0.12808,73.5274,0.12816,2.69866,0.17837,125.59346,0.12791,80.30978,0.12784,33.51429,0.12542,-0.47454,0.13253,0.62218
0.15692,4.68066,0.1491,,-0.4337,,0.14927,-0.84409,0.14939,6.78371,0.13709,0.78646,0.14913,6.55539,0.149,4.11773,0.19959,-12.70041,-0.43353,,-1.07972,,0.17765,,0.13729,4.92133,0.14944,94.16779,0.14959,22.56798,0.19979,119.18207,0.14929,129.92214,0.14919,35.53762,0.14679,-1.83451,0.15391,0.28157
0.18535,0.25084,0.17748,,-0.41947,,0.17767,11.41915,0.17779,-3.04382,0.16552,-2.36788,0.17752,-7.35301,0.17743,0.49181,0.22095,-14.68158,-0.41929,,-1.04414,-0.93002,0.19903,,0.16569,11.31775,0.17788,123.30626,0.178,22.77186,0.22113,144.47572,0.17769,115.59778,0.17762,29.23396,0.1752,-0.47689,0.18228,4.93847
0.20671,-10.57965,0.19885,,-0.39818,,0.19904,21.65382,0.19922,21.23374,0.1869,-1.93823,0.1989,20.72585,0.19877,3.38366,0.24229,1.94073,-0.39801,,-0.66071,-10.68211,0.22041,,0.18707,14.80925,0.19921,113.62409,0.19939,24.12107,0.24249,116.12739,0.19906,137.26176,0.19896,39.40728,0.19653,5.7256,0.20363,14.23085
0.2281,-3.19778,0.22023,,-0.38395,,0.22045,2.51201,0.22056,-12.41191,0.20826,-0.33417,0.22025,-3.90998,0.22015,-9.911,0.28663,-5.4537,-0.38377,,-0.58242,3.71144,0.24182,,0.20841,14.64661,0.22064,130.37285,0.22075,8.75564,0.28683,155.84011,0.22042,190.91909,0.22032,48.49178,0.21788,-3.89649,0.225,0.10509
0.24948,-0.97753,0.24164,,-0.36971,,0.24183,-1.25899,0.24199,14.85071,0.22959,-1.14446,0.24164,14.75934,0.24149,12.67215,0.32222,13.92051,-0.36954,,-0.50404,17.16401,0.27385,,0.22976,20.38089,0.242,173.37513,0.24215,47.99763,0.32242,200.32281,0.24182,217.3356,0.24168,72.15196,0.23924,7.81425,0.24638,2.67436
0.28852,-4.4517,0.27368,,-0.35547,,0.28213,-8.22872,0.30049,-1.73395,0.258,2.92661,0.27527,4.09699,0.27263,-19.66297,0.36493,2.13171,-0.3553,,-0.42568,,0.30943,33.02043,0.25817,25.22533,0.2823,146.89707,0.30069,34.06675,0.36513,190.31845,0.27543,180.62365,0.27281,68.2064,0.26766,0.33317,0.27479,-9.2351
0.3242,0.51406,0.30926,0.13095,-0.34124,,0.31774,11.38275,0.33616,3.90229,0.27683,6.3649,0.31093,7.93947,0.30825,4.16593,0.40057,-17.92025,-0.34106,,-0.3473,,0.35209,,0.27701,30.4691,0.31792,207.72306,0.33637,20.90618,0.40076,206.24437,0.31109,226.89289,0.30844,74.21632,0.28903,4.40759,0.29615,3.28713
0.36685,10.49082,0.35191,,-0.327,,0.36037,-1.36462,0.37888,-6.70179,0.31245,-2.04771,0.35156,-14.80514,0.35086,1.86562,0.44319,8.25563,-0.32683,,-0.26895,,0.38769,54.29697,0.31264,26.2236,0.36054,200.43427,0.37907,29.44101,0.44339,263.38428,0.35172,255.39323,0.35104,54.35059,0.31041,-3.15922,0.31751,2.60292
0.40251,1.60842,0.38751,-4.60487,-0.30572,,0.39601,15.59162,0.41454,0.63232,0.35509,-0.31357,0.38725,2.86617,0.38642,14.53898,0.47883,7.79597,-0.30554,,-0.19067,,0.43038,75.55612,0.35528,28.94577,0.39618,226.21701,0.41473,-2.77366,0.47904,248.45569,0.38741,289.03375,0.38661,82.88866,0.33176,-10.93668,0.33888,6.74862
0.44519,7.92072,0.43021,11.70293,-0.29148,,0.43867,14.29249,0.45725,-0.55221,0.39071,-1.44375,0.42795,4.53662,0.429,5.9532,0.52152,14.11925,-0.29131,,-0.11238,,0.466,98.94017,0.39089,40.83699,0.43884,203.33643,0.45744,20.22366,0.52171,284.91658,0.42811,265.96544,0.42919,91.88092,0.36017,0.29647,0.3673,3.93578
0.48086,-3.92729,0.46581,11.46148,-0.27725,,0.47435,-15.56675,0.49292,9.15771,0.43339,3.36212,0.46361,2.70688,0.46459,12.76043,0.55713,,-0.27707,,-0.03403,-5.48071,0.50873,103.73176,0.43356,48.38227,0.47453,219.6904,0.49311,45.07284,0.55734,,0.46377,296.64403,0.46478,127.33899,0.38155,-14.59452,0.38867,0.04974
0.52355,0.38619,0.50854,6.86343,-0.26301,,0.51705,-0.71567,0.53561,6.35145,0.469,7.93684,0.50433,6.31083,0.50721,14.08719,0.59984,,-0.26284,,5.21E-04,24.3955,0.54436,,0.46919,49.49784,0.51722,257.74675,0.53581,26.68132,0.60003,,0.50449,308.5708,0.5074,100.49619,0.40292,3.34487,0.41005,2.88439
0.55922,,0.54418,,-0.24877,,0.55272,,0.5713,,0.51169,0.08721,0.53999,16.89917,0.54279,-2.55987,0.63549,,-0.2486,,0.02187,-1.62042,0.58706,,0.51186,58.42993,0.55289,,0.57149,,0.63566,,0.54015,,0.54297,,0.42428,6.75891,0.43141,0.55135
0.60186,,0.58686,,-0.23454,,0.59539,,0.61397,,0.5473,,0.58073,,0.58542,,0.67809,,-0.23436,,0.04328,-4.37228,0.62271,,0.54747,,0.59558,,0.61418,,0.67829,,0.58089,,0.58559,,0.45272,8.70067,0.45985,4.33917
0.63756,,0.62252,,-0.21328,,0.63111,,0.64958,,0.58992,,0.6164,,0.62101,,0.71373,,-0.2131,,0.06463,-2.10281,0.66541,,0.59008,,0.63131,,0.64976,,0.71392,321.7242,0.6166,,0.62119,,0.4741,-5.63927,0.48122,11.25157
0.6802,,0.66522,,-0.19904,,0.67377,,0.69226,,0.62546,,0.65712,,0.66372,,0.75635,,-0.19887,,0.09302,21.66916,0.70102,,0.62566,,0.67398,,0.69247,,0.75655,366.49595,0.65728,,0.6639,,0.49549,-0.18031,0.50262,15.22434
0.71583,9.76921,0.70084,,-0.18479,,0.70944,,0.72794,8.44742,0.66815,,0.69278,,0.69938,,0.79199,-32.09725,-0.18462,,0.11439,37.84474,0.74369,170.57588,0.66833,,0.70962,,0.72814,48.45154,0.79219,393.9624,0.69294,,0.69956,,0.51685,4.35529,0.52398,0.26301
0.75846,10.72968,0.74351,2.9255,-0.17056,,0.75212,,0.77064,11.19346,0.70378,,0.73351,7.39676,0.74206,-0.85645,0.83464,,-0.17038,,0.13575,2.59935,0.77927,171.09028,0.70396,84.25638,0.75229,,0.77084,38.88826,0.83484,301.93125,0.73367,300.32168,0.74225,143.73068,0.54524,,0.55236,
0.7941,4.02212,0.7791,-2.12108,-0.15632,,0.78777,,0.8063,2.48067,0.74646,-1.98456,0.76918,7.90612,0.77772,10.89641,0.87028,,-0.15615,,0.15711,4.04154,0.82191,185.00826,0.74662,71.00135,0.78794,,0.80649,18.20416,0.87047,360.48847,0.76934,343.62161,0.77791,161.09478,0.5666,,0.57373,
0.83676,5.40841,0.82172,7.78066,-0.14208,,0.83041,,0.84902,5.76064,0.78206,6.85685,0.8099,-3.58786,0.82037,-16.35494,0.91292,34.92649,-0.14191,,0.18553,31.73491,0.85755,179.13965,0.78223,80.6843,0.83058,,0.8492,31.49738,0.91312,359.89825,0.81006,285.56658,0.82056,152.82346,0.58796,,0.59509,
0.8724,0.34734,0.85736,2.48692,-0.12081,,0.86605,,0.88469,11.58919,0.82473,-1.08387,0.84558,3.22341,0.85601,-9.50398,0.94856,,-0.12064,,0.20691,40.68603,0.90022,130.82446,0.82491,96.14358,0.86623,,0.88488,15.57237,0.94875,312.24866,0.84574,317.62391,0.85619,199.48998,0.60932,,0.61644,
0.91507,7.36722,0.90003,2.83294,-0.10657,,0.90869,,0.92742,-13.12655,0.86036,9.96031,0.88627,14.75421,0.89866,,1.00681,-9.82513,-0.1064,,0.2283,45.60702,0.93578,155.30136,0.86053,83.67139,0.90887,,0.92758,45.49971,1.02126,345.87795,0.88644,244.20742,0.89884,,0.63767,,0.64478,
0.95073,-4.92732,0.9356,1.58097,-0.09234,,0.94436,,0.96304,16.65588,0.90302,0.95458,0.92193,5.33627,0.93425,,1.04956,-2.00699,-0.09216,,0.24968,60.92634,1.02119,184.75551,0.90319,118.28672,0.94454,,0.96324,41.97193,1.06404,290.05253,0.92211,304.29928,0.93443,,0.659,,0.66612,
1.00676,5.24727,0.97824,9.88211,-0.0781,,1.01458,-1.81882,1.00683,-0.7604,0.93861,2.9116,0.96266,2.6338,0.99479,-1.42333,1.0994,11.15184,-0.07793,,0.28872,54.77107,1.06388,174.99819,0.93877,122.76738,1.029,317.26591,1.02123,51.13737,1.11385,337.41083,0.96282,328.66869,1.00922,7.4495,0.68038,,0.6875,
1.04949,7.41211,1.00678,6.35795,-0.06387,-31.96533,1.05734,5.49791,1.04953,6.55583,0.98123,-2.73968,1.00693,-1.30765,1.03751,-0.81066,1.14216,11.57288,-0.0637,,0.3244,75.86936,1.11361,187.90484,1.02123,112.57703,1.07176,288.39753,1.06391,50.82096,1.15661,353.95032,1.02138,209.4086,1.05196,15.50117,0.70174,,0.70885,
1.09922,7.67303,1.04948,-0.73551,-0.04964,,1.10708,14.25332,1.09926,-1.29264,1.00682,3.53497,1.04972,-8.03516,1.08728,0.31812,1.19193,4.64821,-0.04948,,0.36705,56.37654,1.15631,190.04062,1.06398,131.34702,1.1215,263.74431,1.11366,-0.17422,1.20639,318.98818,1.06414,164.39046,1.10169,24.86917,0.73014,,0.73728,
1.14197,-2.20648,1.09921,1.66079,-4.86E-04,-21.59634,1.1498,-5.66389,1.14196,,1.04956,7.55715,1.09953,-10.99116,1.12999,-1.357,1.23472,5.46911,-3.24E-04,-20.12298,0.40271,76.89678,1.20608,213.33592,1.11377,167.58516,1.16424,290.74885,1.15638,,1.24918,282.20492,1.11392,227.9094,1.14444,38.31812,0.75149,,0.75861,
1.19175,6.04473,1.1419,4.0394,0.01374,-44.09591,1.19959,0.39151,1.19175,,1.09935,4.48562,1.14226,7.48639,1.17977,-0.26124,1.29635,-2.24432,0.0139,-31.95367,0.44538,99.20265,1.24881,210.41322,1.15652,157.51405,1.21404,258.91436,1.20617,,1.29655,307.02444,1.15669,192.09368,1.19419,53.57283,0.77285,,0.77998,
1.23447,-1.44761,1.19168,2.21928,0.02795,,1.24236,-2.70793,1.2345,,1.14209,1.67939,1.19208,10.19705,1.22248,-1.52891,1.33197,-6.54892,0.02811,29.88908,0.48106,104.94688,1.28704,184.28551,1.20626,165.85858,1.25681,281.34614,1.24897,,1.33216,259.22552,1.20648,273.70482,1.2369,66.91612,0.79424,,0.80135,
1.2895,-6.1433,1.23439,7.98272,0.04218,-0.9464,1.30278,-13.53154,1.28792,,1.19183,11.37587,1.23486,1.96065,1.29109,2.52717,1.37462,-18.20202,0.04235,-8.57714,0.52375,82.33136,1.32267,169.62259,1.24898,165.286,1.30296,276.58297,1.28809,,1.37481,286.52635,1.24926,337.6099,1.29128,68.25981,0.82263,,0.82975,
1.32515,2.11667,1.28688,-4.17803,0.05641,4.64233,1.33846,8.56957,1.3235,-0.28934,1.23455,5.44414,1.31479,10.68986,1.3267,-1.35608,1.41027,-3.05387,0.05657,-12.74853,0.55942,,1.36528,175.50368,1.29876,193.91871,1.33863,308.85746,1.32369,42.07021,1.41046,222.3032,1.31495,364.18609,1.32689,61.50438,0.84396,,0.85109,
