S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,-0.00388,-0.67097,0.00402,-0.67546,0.00529,-0.68491,,-0.69624,0.00441,-0.69888,-0.006,-0.68292,0.00481,-0.69786,-0.0409,-0.59498,-0.00219,-0.67541,0.00207,-1.70606,-0.00583,-0.64223,-0.00114,-0.67022,-0.01506,-0.65623,0.01283,-0.67307,0.0178,-0.56631,,-0.65424,-0.00438,-0.66917,-0.0305,-0.69708,-0.01528,-0.66147,-0.00192
-0.61112,,-0.59259,-0.00222,-0.66133,,-0.6066,0.00218,-0.61992,0.00143,-0.62067,-0.00432,-0.60461,-0.00264,-0.61959,-0.02158,-0.51679,,-0.66125,,-1.67046,-0.00104,-0.56388,0.00577,-0.59204,-0.01099,-0.57789,,-0.59674,0.01197,-0.48812,,-0.57593,-0.01451,-0.59091,-0.00458,-0.61883,-0.00197,-0.58319,-0.00171
-0.53278,-0.00291,-0.51421,,-0.64718,,-0.52832,-0.00122,-0.54355,-0.00799,-0.54251,-0.00223,-0.52626,0.00962,-0.54131,-0.01013,-0.43859,,-0.647,,-1.62777,0.00467,-0.4855,-0.00134,-0.51387,-0.00657,-0.49961,0.0045,-0.52038,0.04012,-0.40994,,-0.49757,,-0.51259,-0.00833,-0.54053,-0.0027,-0.5049,0.00111
-0.45441,0.00428,-0.43583,0.00271,-0.63293,-0.00135,-0.45002,,-0.46718,-0.0021,-0.46431,-0.00417,-0.44789,,-0.46295,-0.01199,-0.36041,,-0.63275,-0.00332,-1.59213,3.38E-04,-0.40711,0.00241,-0.43566,-0.00441,-0.42131,,-0.444,0.04215,-0.33175,,-0.41921,,-0.43422,0.00375,-0.46223,0.00561,-0.42664,-8.28E-04
-0.37604,,-0.35755,,-0.61868,,-0.37164,,-0.39075,,-0.38609,8.28E-04,-0.36956,8.40E-06,-0.38459,0.0037,-0.28222,-0.0055,-0.61851,-0.00357,-1.54949,,-0.32885,,-0.35742,0.01442,-0.343,,-0.36756,,-0.25355,,-0.34088,-0.00761,-0.35589,0.00347,-0.38407,-0.0482,-0.34841,0.01548
-0.29769,,-0.2792,5.40E-04,-0.60443,,-0.29344,,-0.31437,,-0.30775,0.0031,-0.29128,,-0.30627,-0.00134,-0.20402,,-0.60426,-0.00298,-1.51385,0.0047,-0.25047,-0.0055,-0.27904,-0.01127,-0.26473,,-0.29122,-0.05288,-0.17534,,-0.26264,0.00795,-0.27758,,-0.30575,-0.0045,-0.27012,0.00102
-0.21936,,-0.20083,,-0.58317,-0.00359,-0.21517,,-0.238,,-0.22941,8.62E-04,-0.21302,,-0.22802,,-0.12575,,-0.583,0.00135,-1.47118,-9.13E-04,-0.17212,-0.00529,-0.20068,-0.00521,-0.18646,,-0.21481,,-0.09706,,-0.18434,,-0.19936,,-0.22748,-0.00385,-0.19185,0.00326
-0.14108,,-0.12244,-0.00303,-0.56892,,-0.13689,,-0.1616,,-0.15111,-0.00824,-0.13472,,-0.14976,,-0.00683,,-0.56874,-0.01247,-1.43554,,-0.09373,-0.00346,-0.12243,,-0.10818,,-0.13843,0.13762,-0.00664,,-0.10604,0.015,-0.12104,,-0.14918,-7.95E-04,-0.11354,
-0.06277,,-0.04409,7.84E-04,-0.55466,-0.00194,-0.05856,0.0143,-0.08523,-8.79E-04,-0.07287,,-0.05639,8.31E-04,-0.07152,,0.01455,,-0.55449,0.00517,-1.39286,-0.00611,-0.00727,-0.01456,-0.04421,,-0.02988,,-0.06207,0.00156,0.01473,,-0.02773,-0.00568,-0.04285,5.55E-04,-0.07093,-0.01089,-0.03534,-0.00538
3.13E-04,-0.00197,-0.00744,-0.00333,-0.54042,,-0.00747,,-0.00734,0.00568,-0.01947,,-0.00745,-5.08E-04,-0.00747,,0.03589,,-0.54024,,-1.35723,,0.01411,0.01178,-0.01928,,-0.00728,,-0.00716,-0.00596,0.03609,,-0.00729,8.30E-04,-0.00729,-0.00932,-0.00985,-0.00547,-0.00274,0.00315
