S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-7.1478,-0.6523,8.79489,-1.58571,12.77606,-0.64587,-5.99935,-0.60287,-9.0337,-0.60692,-7.734,-0.6767,-0.70418,-0.65035,6.14209,-0.63999,-3.04747,-1.58551,2.00991,-0.59956,0.47018,-0.62365,0.28526,-0.57134,-1.63525,-0.61718,7.41,-0.58602,8.77832,-0.6113,-7.95494,-0.59302,-4.09619,-0.62163,0.08538
-0.55352,4.96021,-0.56583,4.92496,-1.57144,10.26347,-0.57106,-4.92172,-0.52815,-3.56993,-0.53223,-6.06539,-0.62172,0.92344,-0.5755,2.07976,-0.56525,0.74369,-1.57124,-8.36138,-0.52488,-0.54219,-0.53718,3.19355,-0.49657,-6.79842,-0.54231,-22.15485,-0.51125,-2.76664,-0.5366,-3.02077,-0.51817,0.72444,-0.54682,0.04868
-0.47876,2.29036,-0.47899,8.64341,-1.55719,1.95357,-0.49623,-5.37079,-0.45328,,-0.45738,0.97629,-0.54685,6.82928,-0.50073,-3.3655,-0.49064,0.76383,-1.55703,-6.75814,-0.45006,,-0.45031,,-0.42174,,-0.46752,-15.04479,-0.43634,,-0.46197,,-0.44331,,-0.47203,
-0.40397,,-0.39222,,-1.54294,8.04706,-0.42139,,-0.37838,,-0.38259,,-0.47201,7.07819,-0.42591,,-0.41598,,-1.54275,3.07138,-0.37525,,-0.36352,,-0.347,,-0.39267,,-0.3615,,-0.38734,,-0.36851,,-0.39722,
-0.32916,,-0.30537,,-1.52872,18.39022,-0.34657,,-0.30354,,-0.30787,,-0.3972,,-0.35117,,-0.34138,,-1.52853,-0.11921,-0.30044,,-0.27668,7.28907,-0.27227,3.18859,-0.31791,,-0.28663,-4.63134,-0.31274,,-0.29367,-28.74531,-0.32248,
-0.25434,7.07585,-0.21856,11.76776,-1.51449,0.93175,-0.27181,-2.21482,-0.22868,-4.7356,-0.23316,2.50744,-0.32236,,-0.27639,-17.07563,-0.26672,3.17428,-1.51431,-6.26728,-0.22564,0.88982,-0.18968,-6.71847,-0.19753,-3.14719,-0.24313,1.85265,-0.21178,7.22936,-0.23808,-3.832,-0.21884,2.5938,-0.24769,5.51835
-0.17954,2.78787,-0.1298,-29.7617,-1.49675,-1.18756,-0.19699,-5.23568,-0.15382,-16.00751,-0.15837,-9.01687,-0.24753,14.0078,-0.20163,-8.17026,-0.19205,28.4535,-1.49659,-2.1292,-0.15082,3.0678,-0.10104,0.01592,-0.12279,6.98538,-0.16826,13.44794,-0.1369,7.0529,-0.16334,-15.2407,-0.14403,7.80791,-0.17293,2.56995
-0.10471,18.3457,-0.04495,11.36955,-1.48253,-2.67788,-0.12216,15.44013,-0.07897,-7.92641,-0.08367,7.51727,-0.1727,-7.33419,-0.12685,-21.2778,-0.11728,-3.87022,-1.48236,-6.64593,-0.07598,0.68713,-0.00735,29.68556,-0.04801,-7.25224,-0.09343,1.29647,-0.06207,-14.50062,-0.08854,-2.01009,-0.06925,-7.48241,-0.09814,0.02447
-0.02986,-1.65382,-0.00755,-0.74336,-1.46832,-0.25596,-0.04726,15.24893,-0.02704,-1.64481,-0.00747,-22.23255,-0.09791,5.71339,-0.05207,-22.61794,-0.04241,-6.85914,-1.46814,2.62012,-0.00652,16.86733,0.01405,18.11676,-3.24E-04,-13.42791,-0.00723,1.18104,-0.03867,-0.78098,-0.01366,12.06724,-0.00716,-0.84355,-0.02815,20.28689
-0.0067,-45.52518,0.01385,4.8795,-1.45409,,-0.00742,1.5959,-0.00565,-11.72724,0.01391,-11.61356,-0.02315,7.93098,-0.02834,1.46573,0.01333,-14.98387,-1.45391,,0.01488,-12.75033,0.03545,13.31877,0.02105,-11.08485,0.01417,-7.85002,-0.01727,-15.36523,0.01354,4.73276,0.01422,-9.24388,-0.00682,-5.82814
0.01469,20.49931,0.03525,5.81069,-1.43986,,0.01398,28.51324,0.01573,0.07602,0.0353,-1.73004,-0.00731,0.75341,-0.00703,-6.21817,0.03475,20.05367,-1.43969,,0.0363,-17.28771,0.05686,3.79057,0.04244,1.00925,0.03558,-10.32394,0.01428,-3.19236,0.03495,6.26315,0.03561,-9.81034,0.01455,26.15111
0.0361,28.26342,0.05667,-6.0519,-1.42565,,0.03539,2.8587,0.02591,-2.85749,0.05667,-26.76092,0.01405,4.87893,0.01434,-27.5921,0.05618,4.61966,-1.42546,,0.0577,22.87829,0.08181,25.6724,0.06381,1.22074,0.05697,-2.3336,0.03568,-0.25392,0.05638,8.62425,0.05701,-1.73842,0.03595,1.05169
0.0575,-8.92871,0.08161,-1.07438,-1.40788,,0.05678,-1.26514,0.0473,0.78522,0.0816,0.33836,0.03544,-2.90818,0.03574,-19.53768,0.07759,-15.9667,-1.40769,,0.08265,-18.80983,0.10321,9.28156,0.08874,4.66773,0.0819,17.92891,0.05706,-11.41777,0.0778,-10.79959,0.08193,-1.08555,0.06083,-6.28578
0.08245,3.00832,0.10301,-15.87902,-1.39363,,0.08171,-24.12698,0.06868,6.00881,0.10296,19.15134,0.05684,2.75476,0.06062,-29.2934,0.10253,21.91777,-1.39345,,0.10404,15.33375,0.12461,-15.18802,0.1101,-4.76589,0.1033,0.17815,0.07846,1.61447,0.10272,10.20646,0.10334,-3.76921,0.08222,15.52684
0.10384,-7.07229,0.12441,-0.972,-1.37941,,0.10311,-11.18588,0.09008,18.73427,0.1244,-20.39513,0.08177,-15.14332,0.08201,-0.23705,0.12394,7.5807,-1.37922,,0.12547,-6.27459,0.14601,11.28636,0.13154,18.83885,0.12471,-5.37939,0.10339,12.02978,0.12414,-8.76525,0.12472,-0.75105,0.1036,0.43409
0.12527,7.0324,0.14581,0.85357,-1.36516,,0.12453,33.12681,0.11501,6.68295,0.14576,-27.87995,0.10317,3.25228,0.10339,31.14487,0.14536,20.26007,-1.36498,,0.14685,-1.79586,0.17093,6.05003,0.15291,-13.26335,0.14608,-5.46978,0.12477,5.72792,0.14557,5.00067,0.14611,13.02237,0.12501,8.26479
0.14666,-9.59549,0.17073,-3.89795,-1.35091,,0.1459,-17.67487,0.13639,13.2288,0.17072,-1.11923,0.12455,-1.57981,0.1248,-21.29342,0.16678,-35.37332,-1.35072,,0.17178,2.37864,0.19233,30.32943,0.17786,16.91322,0.171,8.09525,0.14615,10.85642,0.16698,-8.59659,0.17102,0.62574,0.14993,0.91327
0.17159,15.7642,0.19213,3.24327,-1.33666,,0.17081,-1.74002,0.15777,-0.14466,0.19207,10.08907,0.14594,0.57765,0.14972,15.54692,0.19174,-10.55506,-1.33646,,0.19318,-4.03498,0.21373,6.72304,0.19921,3.032,0.19236,-12.52477,0.16755,2.49375,0.19192,-8.505,0.19242,14.63252,0.17134,10.94513
0.193,-7.8804,0.21353,20.8371,-1.31887,,0.19218,0.64442,0.17917,-5.49966,0.21347,-23.98135,0.17086,-3.42728,0.17113,-10.75229,0.21314,-6.27576,-1.31868,,0.21457,2.70105,0.23512,9.06077,0.2206,17.54814,0.21375,-10.54245,0.19243,5.89753,0.2133,23.81451,0.21381,7.03638,0.19274,19.66071
0.21438,-3.44925,0.23492,-5.42246,-1.30458,,0.21356,6.7843,0.20405,0.65451,0.23481,-24.47615,0.19225,-0.26847,0.19253,-34.76893,0.23451,-11.37863,-1.30439,,0.23598,-13.6584,0.26002,9.67381,0.24196,2.08932,0.23514,3.53475,0.21383,12.21953,0.23471,-12.23373,0.23521,8.53539,0.21414,-19.39218
0.23578,12.50141,0.25983,-3.45525,-1.2903,,0.23495,-4.13748,0.22545,10.30808,0.25977,2.35816,0.21363,5.91947,0.21394,-27.30089,0.2559,-9.48875,-1.29012,6.42737,0.26093,4.03497,0.28142,13.74441,0.26691,2.80452,0.26007,12.73156,0.2352,-12.58767,0.2561,2.17722,0.26014,0.99209,0.23906,-8.00958
0.26072,-4.61126,0.28123,-35.93127,-1.27603,17.76897,0.25988,-2.52858,0.24683,-7.72973,0.28113,11.73811,0.23503,-10.3425,0.23885,-9.07065,0.28087,-20.24561,-1.27587,-2.08135,0.29495,23.43465,0.30277,27.68955,0.28828,2.12302,0.28146,10.99279,0.2566,14.07662,0.28106,9.64429,0.28153,6.75894,0.34396,1.73363
