S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-0.00582,-0.6523,0.00918,-1.58571,0.0288,-0.64587,-0.01015,-0.60287,-0.01642,-0.60692,-0.01003,-0.6767,2.84E-04,-0.65035,0.00882,-0.63999,-2.76E-04,-1.58551,0.0153,-0.59956,0.0013,-0.62365,-0.00602,-0.57134,-0.00821,-0.61718,0.00916,-0.58602,0.01549,-0.6113,-0.0058,-0.59302,-0.00237,-0.62163,0.00534
-0.55352,0.00545,-0.56583,0.00878,-1.57144,0.047,-0.57106,-0.00563,-0.52815,-0.01192,-0.53223,-0.00638,-0.62172,0.00398,-0.5755,0.0026,-0.56525,0.00721,-1.57124,-0.0311,-0.52488,-2.02E-04,-0.53718,-0.01374,-0.49657,-0.00647,-0.54231,-0.02581,-0.51125,-0.00458,-0.5366,-1.65E-04,-0.51817,8.99E-04,-0.54682,0.00552
-0.47876,0.00204,-0.47899,0.00869,-1.55719,0.00544,-0.49623,-0.00199,-0.45328,0.00877,-0.45738,-3.03E-04,-0.54685,0.00931,-0.50073,2.77E-04,-0.49064,0.0042,-1.55703,-0.0175,-0.45006,0.00408,-0.45031,-0.00667,-0.42174,-1.14E-04,-0.46752,-0.01798,-0.43634,0.00576,-0.46197,0.0118,-0.44331,-0.00909,-0.47203,0.00474
-0.40397,-0.00175,-0.39222,0.01699,-1.54294,0.0246,-0.42139,0.00876,-0.37838,-0.00195,-0.38259,0.00374,-0.47201,0.00665,-0.42591,0.01217,-0.41598,0.00861,-1.54275,0.00912,-0.37525,0.00165,-0.36352,-0.00156,-0.347,0.01081,-0.39267,-0.00276,-0.3615,3.55E-06,-0.38734,-0.00356,-0.36851,0.00468,-0.39722,0.0034
-0.32916,0.00179,-0.30537,-0.00735,-1.52872,0.10104,-0.34657,0.0204,-0.30354,0.00983,-0.30787,6.80E-04,-0.3972,0.00538,-0.35117,-0.00777,-0.34138,0.01572,-1.52853,-0.01686,-0.30044,-0.01449,-0.27668,0.00476,-0.27227,0.00244,-0.31791,0.0217,-0.28663,0.00662,-0.31274,-0.01024,-0.29367,-0.02549,-0.32248,0.00146
-0.25434,0.0094,-0.21856,0.00952,-1.51449,-0.02808,-0.27181,-0.00371,-0.22868,-0.00603,-0.23316,0.00389,-0.32236,0.0056,-0.27639,-0.01389,-0.26672,0.00607,-1.51431,-0.01094,-0.22564,0.00417,-0.18968,-0.00432,-0.19753,-0.00473,-0.24313,0.00311,-0.21178,0.00516,-0.23808,-0.00293,-0.21884,0.00253,-0.24769,0.00394
-0.17954,0.00535,-0.1298,-0.00867,-1.49675,-0.00742,-0.19699,-0.00113,-0.15382,-0.01512,-0.15837,-0.00589,-0.24753,0.01385,-0.20163,-0.00634,-0.19205,0.0181,-1.49659,0.00438,-0.15082,0.00619,-0.10104,-0.00332,-0.12279,0.00383,-0.16826,0.00779,-0.1369,0.01321,-0.16334,-0.00563,-0.14403,0.00778,-0.17293,0.00282
-0.10471,0.01289,-0.04495,0.00256,-1.48253,-0.00769,-0.12216,0.01105,-0.07897,-0.01243,-0.08367,0.00304,-0.1727,-0.00606,-0.12685,-0.01637,-0.11728,-8.56E-04,-1.48236,-0.00415,-0.07598,3.49E-04,-0.00735,0.01197,-0.04801,-0.00286,-0.09343,0.01557,-0.06207,-0.02266,-0.08854,0.00231,-0.06925,-0.00606,-0.09814,0.00357
-0.02986,-0.003,-0.00755,0.003,-1.46832,0.00237,-0.04726,0.01048,-0.02704,-3.91E-04,-0.00747,-0.01396,-0.09791,0.00623,-0.05207,-0.00779,-0.04241,-0.00289,-1.46814,0.0083,-0.00652,0.00804,0.01405,0.00525,-3.24E-04,-0.00561,-0.00723,6.69E-04,-0.03867,-0.00396,-0.01366,0.00421,-0.00716,-0.00235,-0.02815,0.00847
-0.0067,-0.02483,0.01385,0.00853,-1.45409,-0.00717,-0.00742,-0.00187,-0.00565,-0.00434,0.01391,-0.00339,-0.02315,0.01198,-0.02834,-6.36E-04,0.01333,-0.00361,-1.45391,-0.00113,0.01488,-0.00557,0.03545,,0.02105,-0.00652,0.01417,-0.00138,-0.01727,,0.01354,0.00267,0.01422,-0.00341,-0.00682,-0.00203
0.01469,0.01232,0.03525,0.00989,-1.43986,-0.00509,0.01398,0.02179,0.01573,-0.00322,0.0353,7.93E-04,-0.00731,-0.00281,-0.00703,-0.00149,0.03475,0.01428,-1.43969,5.52E-04,0.0363,-0.01032,0.05686,-0.00232,0.04244,4.75E-04,0.03558,-0.00388,0.01428,-4.51E-04,0.03495,0.00255,0.03561,0.00281,0.01455,0.01107
0.0361,0.01562,0.05667,-0.00305,-1.42565,0.00192,0.03539,0.00167,0.02591,-0.00601,0.05667,-0.01029,0.01405,0.00556,0.01434,-0.009,0.05618,0.00533,-1.42546,-2.06E-04,0.0577,0.02011,0.08181,0.00309,0.06381,0.00215,0.05697,-3.61E-04,0.03568,0.00165,0.05638,0.00286,0.05701,,0.03595,0.00328
