S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,27.27358,-0.67097,21.38061,-0.67546,29.86125,-0.68491,4.31833,-0.69624,-6.67592,-0.69888,5.38116,-0.68292,19.46314,-0.69786,16.85908,-0.59498,28.87254,-0.67541,10.04741,-1.70606,2.5136,-0.64223,-54.41081,-0.67022,31.90505,-0.65623,16.05735,-0.67307,16.83353,-0.56631,-62.30377,-0.65424,-2.09442,-0.66917,-10.13004,-0.69708,-25.82813,-0.66147,-11.60321
-0.61112,-43.38267,-0.59259,1.17929,-0.66133,-9.44163,-0.6066,19.85115,-0.61992,9.99346,-0.62067,-15.00272,-0.60461,-26.38938,-0.61959,34.63446,-0.51679,-5.67676,-0.66125,22.0554,-1.67046,-2.33749,-0.56388,-3.69063,-0.59204,-20.18537,-0.57789,54.65807,-0.59674,-38.33495,-0.48812,-0.95188,-0.57593,-7.32563,-0.59091,-12.22187,-0.61883,2.26873,-0.58319,-11.71365
-0.53278,-0.79659,-0.51421,27.00812,-0.64718,35.81588,-0.52832,42.17488,-0.54355,-17.67133,-0.54251,-15.95459,-0.52626,-19.95594,-0.54131,14.40818,-0.43859,6.31372,-0.647,-22.41985,-1.62777,-28.57651,-0.4855,-18.26452,-0.51387,36.9695,-0.49961,4.40737,-0.52038,,-0.40994,12.04202,-0.49757,3.87195,-0.51259,15.15057,-0.54053,27.40359,-0.5049,6.77991
-0.45441,-11.69287,-0.43583,35.14029,-0.63293,22.47641,-0.45002,0.58716,-0.46718,3.21253,-0.46431,7.24892,-0.44789,4.85077,-0.46295,-27.32875,-0.36041,-4.45132,-0.63275,31.02493,-1.59213,7.28744,-0.40711,,-0.43566,-56.14554,-0.42131,44.16539,-0.444,11.55272,-0.33175,16.26882,-0.41921,,-0.43422,28.02448,-0.46223,61.89151,-0.42664,-40.49869
-0.37604,,-0.35755,27.63263,-0.61868,-13.73731,-0.37164,,-0.39075,,-0.38609,,-0.36956,0.91515,-0.38459,,-0.28222,37.00731,-0.61851,-16.68749,-1.54949,-6.78608,-0.32885,-5.73332,-0.35742,-7.489,-0.343,9.57148,-0.36756,,-0.25355,7.27739,-0.34088,7.25414,-0.35589,,-0.38407,,-0.34841,17.1751
-0.29769,,-0.2792,9.32137,-0.60443,11.65852,-0.29344,27.11232,-0.31437,17.51133,-0.30775,3.80144,-0.29128,-3.18172,-0.30627,26.09518,-0.20402,,-0.60426,1.58491,-1.51385,0.53122,-0.25047,-31.26736,-0.27904,,-0.26473,55.21804,-0.29122,,-0.17534,,-0.26264,-19.8695,-0.27758,26.12299,-0.30575,2.33675,-0.27012,
-0.21936,,-0.20083,-1.88786,-0.58317,-21.57232,-0.21517,62.40564,-0.238,20.45381,-0.22941,,-0.21302,60.73721,-0.22802,-44.19221,-0.12575,,-0.583,28.70181,-1.47118,-24.19152,-0.17212,2.31764,-0.20068,1.85046,-0.18646,-33.22568,-0.21481,,-0.09706,,-0.18434,7.96655,-0.19936,97.07882,-0.22748,273.70026,-0.19185,-54.79974
-0.14108,,-0.12244,-3.70467,-0.56892,30.80783,-0.13689,-42.55623,-0.1616,-46.74382,-0.15111,12.96201,-0.13472,-21.37263,-0.14976,19.21204,-0.00683,,-0.56874,-32.05474,-1.43554,-8.18092,-0.09373,-26.84551,-0.12243,,-0.10818,11.24973,-0.13843,,-0.00664,,-0.10604,-33.55865,-0.12104,-18.2753,-0.14918,-23.40118,-0.11354,35.14376
-0.06277,,-0.04409,-0.01186,-0.55466,-23.60039,-0.05856,9.4966,-0.08523,-10.56973,-0.07287,,-0.05639,27.73055,-0.07152,,0.01455,-2.09668,-0.55449,-16.48507,-1.39286,,-0.00727,32.77795,-0.04421,,-0.02988,-48.58114,-0.06207,,0.01473,-2.63903,-0.02773,-10.22491,-0.04285,-46.36334,-0.07093,,-0.03534,
3.13E-04,-0.67355,-0.00744,-52.51824,-0.54042,1.96429,-0.00747,28.50024,-0.00734,26.77893,-0.01947,0.43203,-0.00745,39.28444,-0.00747,26.84586,0.03589,-36.71357,-0.54024,-19.36084,-1.35723,-12.87753,0.01411,26.94275,-0.01928,-2.1488,-0.00728,-4.19472,-0.00716,,0.03609,12.64765,-0.00729,12.05081,-0.00729,-19.88519,-0.00985,9.94923,-0.00274,101.16038
0.02169,9.97098,0.01394,-9.81049,-0.52617,9.27151,0.01392,-3.19116,0.01406,-17.55727,0.00191,12.13019,0.01392,33.96707,0.01389,61.70343,0.05726,9.76377,-0.526,-9.59591,-1.31461,7.12005,0.03546,-4.19526,0.00208,27.19352,0.0141,-5.99731,0.01427,10.46424,0.05745,67.76078,0.01409,36.82768,0.01407,17.75383,0.0115,,0.01862,13.56008
0.04309,-24.50163,0.03529,-10.82842,-0.51193,3.13943,0.0353,-18.31418,0.03544,23.55338,0.02328,25.17023,0.03528,-3.75749,0.03523,46.8655,0.08562,4.63036,-0.51176,19.02479,-1.27897,22.52087,0.05681,17.20045,0.02344,-5.62558,0.03547,-21.95335,0.03564,2.31625,0.08583,28.22944,0.03544,14.38142,0.03542,6.00954,0.03288,20.39259,0.04,-66.22117
0.06444,-0.78367,0.05663,3.41909,-0.49065,45.55537,0.05667,-24.4686,0.05685,-23.00795,0.04463,9.54425,0.05666,-0.4403,0.05659,-49.21293,0.10699,-3.4411,-0.49047,7.0227,-1.23634,-27.38154,0.0852,-14.54625,0.04481,-23.86609,0.05688,32.40449,0.05705,15.08154,0.10719,39.97891,0.05682,49.27514,0.05676,7.77797,0.05425,32.67095,0.06137,
0.09284,-26.56959,0.08502,13.74526,-0.47641,13.54573,0.08514,9.60401,0.08524,-2.42127,0.07306,-7.82273,0.08501,1.25449,0.08497,10.41867,0.12841,22.48896,-0.47624,-16.98059,-1.20071,15.62063,0.10655,-2.20336,0.07324,-0.65815,0.08531,64.42637,0.08544,-9.63477,0.12861,43.85582,0.08517,42.82753,0.08515,31.68782,0.08269,45.35398,0.08979,27.15222
0.1142,-15.81426,0.10638,-4.25177,-0.46218,-1.01675,0.10652,8.17508,0.10666,,0.0944,11.896,0.10638,-16.96845,0.10632,-15.96723,0.14977,15.76476,-0.462,3.45161,-1.15806,2.46766,0.12789,,0.09457,89.27482,0.10669,103.54414,0.10683,57.04375,0.14997,119.10823,0.10654,47.15982,0.10649,39.4086,0.10405,30.35378,0.11116,55.04587
0.13557,-24.19995,0.12772,,-0.44794,-5.99275,0.12791,-2.45264,0.12799,1.68021,0.11575,3.21119,0.12774,-1.18194,0.12765,0.50875,0.17817,-21.29583,-0.44777,23.39762,-1.12242,15.95494,0.14927,,0.11593,76.18766,0.12808,55.26932,0.12816,33.35433,0.17837,41.64095,0.12791,36.90237,0.12784,6.36928,0.12542,12.34423,0.13253,42.33776
0.15692,-6.83634,0.1491,,-0.4337,-34.79693,0.14927,7.16541,0.14939,4.40204,0.13709,18.21278,0.14913,-9.94179,0.149,0.14255,0.19959,,-0.43353,-15.81411,-1.07972,5.18967,0.17765,,0.13729,96.4949,0.14944,26.99518,0.14959,47.22329,0.19979,14.73861,0.14929,57.37962,0.14919,91.45656,0.14679,-4.92723,0.15391,15.94309
0.18535,-5.83455,0.17748,,-0.41947,-3.56934,0.17767,-1.11355,0.17779,16.61913,0.16552,23.60424,0.17752,-4.18672,0.17743,0.41353,0.22095,-3.98023,-0.41929,0.29032,-1.04414,-13.74936,0.19903,,0.16569,98.81546,0.17788,80.98282,0.178,27.02921,0.22113,51.96618,0.17769,68.17966,0.17762,21.11228,0.1752,3.83539,0.18228,25.63065
