S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,0.01206,-0.67097,0.00717,-0.67546,0.00767,-0.68491,0.00191,-0.69624,-0.00125,-0.69888,0.00152,-0.68292,0.00623,-0.69786,0.00836,-0.59498,0.00926,-0.67541,0.00408,-1.70606,0.01301,-0.64223,-0.0138,-0.67022,0.01679,-0.65623,,-0.67307,0.00499,-0.56631,-0.01622,-0.65424,0.00256,-0.66917,-0.00241,-0.69708,-0.00451,-0.66147,-0.0021
-0.61112,-0.01182,-0.59259,0.00173,-0.66133,-0.00219,-0.6066,0.00671,-0.61992,0.00414,-0.62067,-0.00161,-0.60461,-0.00722,-0.61959,0.01049,-0.51679,6.09E-04,-0.66125,0.00573,-1.67046,0.01018,-0.56388,7.64E-04,-0.59204,-0.00492,-0.57789,0.01665,-0.59674,0.00709,-0.48812,-4.30E-04,-0.57593,-5.88E-04,-0.59091,,-0.61883,0.00113,-0.58319,-0.00127
-0.53278,-6.33E-04,-0.51421,0.00774,-0.64718,0.01064,-0.52832,0.0118,-0.54355,-0.00348,-0.54251,-0.00407,-0.52626,-0.00339,-0.54131,0.00325,-0.43859,0.00125,-0.647,-0.00404,-1.62777,-0.00421,-0.4855,-0.0047,-0.51387,0.00956,-0.49961,0.00101,-0.52038,-0.07092,-0.40994,0.00438,-0.49757,,-0.51259,0.00478,-0.54053,0.0063,-0.5049,0.00284
-0.45441,-0.00162,-0.43583,,-0.63293,0.00526,-0.45002,7.75E-04,-0.46718,0.00158,-0.46431,0.00247,-0.44789,0.00168,-0.46295,,-0.36041,2.47E-04,-0.63275,0.00785,-1.59213,0.01357,-0.40711,,-0.43566,-0.01495,-0.42131,0.01073,-0.444,0.00583,-0.33175,0.00612,-0.41921,,-0.43422,,-0.46223,,-0.42664,-0.00611
-0.37604,,-0.35755,,-0.61868,,-0.37164,,-0.39075,,-0.38609,,-0.36956,7.23E-04,-0.38459,,-0.28222,0.00836,-0.61851,-0.0043,-1.54949,0.00731,-0.32885,-4.16E-05,-0.35742,,-0.343,0.00206,-0.36756,,-0.25355,,-0.34088,0.00234,-0.35589,,-0.38407,,-0.34841,
-0.29769,,-0.2792,0.00334,-0.60443,0.00276,-0.29344,0.00574,-0.31437,0.00412,-0.30775,6.43E-04,-0.29128,-8.32E-04,-0.30627,,-0.20402,,-0.60426,0.00305,-1.51385,0.00561,-0.25047,,-0.27904,,-0.26473,0.01276,-0.29122,0.0956,-0.17534,,-0.26264,-0.00291,-0.27758,,-0.30575,,-0.27012,
-0.21936,,-0.20083,0.00237,-0.58317,,-0.21517,,-0.238,0.00361,-0.22941,,-0.21302,,-0.22802,,-0.12575,,-0.583,0.00611,-1.47118,0.00359,-0.17212,,-0.20068,,-0.18646,-0.00762,-0.21481,0.02286,-0.09706,,-0.18434,,-0.19936,,-0.22748,,-0.19185,
-0.14108,,-0.12244,-3.90E-04,-0.56892,0.00624,-0.13689,-0.0075,-0.1616,-0.01,-0.15111,,-0.13472,-0.00454,-0.14976,,-0.00683,,-0.56874,,-1.43554,0.00261,-0.09373,-0.00675,-0.12243,,-0.10818,0.00268,-0.13843,0.04258,-0.00664,,-0.10604,-0.00853,-0.12104,,-0.14918,,-0.11354,0.0034
-0.06277,,-0.04409,0.00101,-0.55466,-0.00453,-0.05856,0.00278,-0.08523,-0.00182,-0.07287,,-0.05639,0.00574,-0.07152,,0.01455,-1.02E-04,-0.55449,,-1.39286,,-0.00727,0.00805,-0.04421,,-0.02988,-0.01271,-0.06207,,0.01473,,-0.02773,-7.34E-05,-0.04285,-0.00795,-0.07093,,-0.03534,
3.13E-04,3.45E-04,-0.00744,-0.01146,-0.54042,,-0.00747,0.00866,-0.00734,0.00667,-0.01947,-8.81E-04,-0.00745,0.00866,-0.00747,0.00766,0.03589,-0.00834,-0.54024,-0.00414,-1.35723,,0.01411,0.00818,-0.01928,,-0.00728,-0.00162,-0.00716,-0.00859,0.03609,0.00412,-0.00729,0.00218,-0.00729,,-0.00985,,-0.00274,
0.02169,,0.01394,-9.03E-05,-0.52617,0.00117,0.01392,-5.79E-04,0.01406,-0.0056,0.00191,0.00242,0.01392,0.01415,0.01389,0.01428,0.05726,0.00434,-0.526,-0.0017,-1.31461,0.01068,0.03546,-0.00175,0.00208,0.00659,0.0141,-0.00199,0.01427,0.00198,0.05745,0.019,0.01409,0.00948,0.01407,0.0028,0.0115,-0.01616,0.01862,0.00362
0.04309,,0.03529,0.00831,-0.51193,7.50E-04,0.0353,-0.00395,0.03544,0.01701,0.02328,0.00567,0.03528,0.00494,0.03523,,0.08562,0.00309,-0.51176,,-1.27897,0.01666,0.05681,0.0063,0.02344,,0.03547,-0.00624,0.03564,-2.69E-04,0.08583,0.01048,0.03544,0.00596,0.03542,0.0016,0.03288,0.00388,0.04,
0.06444,0.00931,0.05663,0.02137,-0.49065,0.01119,0.05667,-0.00567,0.05685,-0.00408,0.04463,,0.05666,0.01136,0.05659,-0.01552,0.10699,0.00114,-0.49047,0.00187,-1.23634,-0.00218,0.0852,-0.00346,0.04481,,0.05688,0.0085,0.05705,0.00436,0.10719,0.01314,0.05682,0.01463,0.05676,0.00276,0.05425,,0.06137,
0.09284,0.0039,0.08502,0.03487,-0.47641,0.00156,0.08514,0.01878,0.08524,0.01995,0.07306,0.00445,0.08501,0.0257,0.08497,0.00799,0.12841,0.00776,-0.47624,-0.00279,-1.20071,0.00932,0.10655,-0.00605,0.07324,2.18E-05,0.08531,0.02443,0.08544,-3.47E-04,0.12861,0.01413,0.08517,0.01679,0.08515,0.00737,0.08269,,0.08979,
0.1142,0.01058,0.10638,0.0334,-0.46218,,0.10652,0.02355,0.10666,,0.0944,0.01069,0.10638,0.02688,0.10632,-6.44E-04,0.14977,0.01626,-0.462,0.00137,-1.15806,0.00598,0.12789,,0.09457,0.03015,0.10669,0.03963,0.10683,0.02101,0.14997,0.02618,0.10654,0.02112,0.10649,0.01231,0.10405,,0.11116,0.01081
