S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-15.85131,-0.6523,4.28609,-1.58571,6.49927,-0.64587,12.09052,-0.60287,11.46111,-0.60692,5.06056,-0.6767,3.32889,-0.65035,11.21706,-0.63999,23.21388,-1.58551,-5.73241,-0.59956,-0.03726,-0.62365,-22.2393,-0.57134,4.59653,-0.61718,4.11482,-0.58602,-6.7562,-0.6113,-10.39383,-0.59302,-20.07521,-0.62163,-0.59171
-0.55352,24.8981,-0.56583,6.37052,-1.57144,4.36979,-0.57106,18.49969,-0.52815,1.58848,-0.53223,-22.1672,-0.62172,10.45113,-0.5755,22.7973,-0.56525,-0.39078,-1.57124,-16.38299,-0.52488,-11.93283,-0.53718,-16.8431,-0.49657,-9.42633,-0.54231,6.51494,-0.51125,22.27708,-0.5366,-11.81358,-0.51817,0.46562,-0.54682,14.56135
-0.47876,-1.30976,-0.47899,-2.03346,-1.55719,-3.9009,-0.49623,-0.33064,-0.45328,-1.40895,-0.45738,-18.25531,-0.54685,12.32773,-0.50073,-16.38738,-0.49064,-8.53805,-1.55703,2.26118,-0.45006,2.66623,-0.45031,-7.87192,-0.42174,21.1269,-0.46752,15.00645,-0.43634,-13.0603,-0.46197,1.44259,-0.44331,-28.95397,-0.47203,3.5179
-0.40397,-6.11435,-0.39222,17.0947,-1.54294,-3.77037,-0.42139,19.44646,-0.37838,-48.46569,-0.38259,-52.41377,-0.47201,-30.33732,-0.42591,7.87619,-0.41598,-7.88179,-1.54275,-3.14975,-0.37525,,-0.36352,-35.50885,-0.347,8.6133,-0.39267,,-0.3615,-32.32019,-0.38734,,-0.36851,8.74966,-0.39722,
-0.32916,-6.35697,-0.30537,-5.45806,-1.52872,-0.17,-0.34657,-20.36621,-0.30354,17.68804,-0.30787,4.02765,-0.3972,-11.711,-0.35117,40.6769,-0.34138,-5.68756,-1.52853,11.98291,-0.30044,19.52664,-0.27668,-19.70383,-0.27227,-0.02664,-0.31791,8.89824,-0.28663,8.11262,-0.31274,11.94216,-0.29367,-16.18814,-0.32248,-12.81208
-0.25434,-10.90456,-0.21856,-26.923,-1.51449,-9.01968,-0.27181,14.16773,-0.22868,15.00834,-0.23316,-9.33663,-0.32236,-5.25339,-0.27639,-11.42245,-0.26672,-1.16369,-1.51431,-10.17345,-0.22564,-11.53623,-0.18968,-25.94031,-0.19753,-3.12902,-0.24313,-25.64595,-0.21178,12.7446,-0.23808,-4.53334,-0.21884,-26.8891,-0.24769,-13.94598
-0.17954,-16.00716,-0.1298,1.01298,-1.49675,1.52873,-0.19699,15.94734,-0.15382,-6.61097,-0.15837,23.41159,-0.24753,39.38924,-0.20163,-7.62239,-0.19205,14.44758,-1.49659,-5.15471,-0.15082,-19.60664,-0.10104,21.58613,-0.12279,3.59327,-0.16826,6.07739,-0.1369,26.49404,-0.16334,-11.70873,-0.14403,-5.11294,-0.17293,-2.48019
-0.10471,10.93796,-0.04495,-28.61796,-1.48253,4.95588,-0.12216,-0.38199,-0.07897,40.19528,-0.08367,8.20762,-0.1727,-15.03589,-0.12685,7.75188,-0.11728,-32.24289,-1.48236,6.42309,-0.07598,-10.69453,-0.00735,12.96445,-0.04801,37.37955,-0.09343,5.4769,-0.06207,-16.92524,-0.08854,1.15,-0.06925,-27.16715,-0.09814,-0.93738
-0.02986,13.3215,-0.00755,-26.14273,-1.46832,4.78648,-0.04726,14.97656,-0.02704,-5.38245,-0.00747,4.5835,-0.09791,-3.26548,-0.05207,-11.88,-0.04241,3.09054,-1.46814,-0.99847,-0.00652,22.34373,0.01405,-47.65216,-3.24E-04,-8.63698,-0.00723,-9.80916,-0.03867,14.11307,-0.01366,-17.72282,-0.00716,5.48144,-0.02815,8.60615
-0.0067,38.87924,0.01385,-12.20324,-1.45409,-8.10131,-0.00742,-11.61369,-0.00565,-14.01119,0.01391,22.97469,-0.02315,-21.32797,-0.02834,-37.74267,0.01333,-34.01768,-1.45391,-7.49087,0.01488,-0.10566,0.03545,-6.52424,0.02105,13.15893,0.01417,-20.37885,-0.01727,-7.9962,0.01354,-20.11462,0.01422,0.46145,-0.00682,14.64157
