S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-0.0047,-0.6523,0.00441,-1.58571,0.02396,-0.64587,0.01535,-0.60287,0.01262,-0.60692,0.00431,-0.6767,0.0064,-0.65035,0.00934,-0.63999,0.00992,-1.58551,-0.00585,-0.59956,0.00579,-0.62365,-0.00782,-0.57134,0.0087,-0.61718,0.00821,-0.58602,-0.00674,-0.6113,-0.00369,-0.59302,-0.00797,-0.62163,0.00466
-0.55352,0.0123,-0.56583,0.00281,-1.57144,0.01714,-0.57106,0.01466,-0.52815,-4.03E-04,-0.53223,-0.01236,-0.62172,0.01056,-0.5755,0.01634,-0.56525,0.00292,-1.57124,-0.03219,-0.52488,-0.00871,-0.53718,-0.00384,-0.49657,-0.00285,-0.54231,0.00379,-0.51125,0.01752,-0.5366,-0.00286,-0.51817,0.00372,-0.54682,0.01456
-0.47876,-7.09E-05,-0.47899,0.00384,-1.55719,0.00116,-0.49623,0.00648,-0.45328,0.00705,-0.45738,-0.01049,-0.54685,0.00598,-0.50073,0.00132,-0.49064,0.00201,-1.55703,0.00528,-0.45006,0.00419,-0.45031,-0.00346,-0.42174,0.01218,-0.46752,0.01386,-0.43634,-0.00378,-0.46197,0.00162,-0.44331,-0.01201,-0.47203,0.00215
-0.40397,-0.00668,-0.39222,0.0076,-1.54294,0.00293,-0.42139,0.0195,-0.37838,,-0.38259,,-0.47201,-0.01452,-0.42591,-0.00228,-0.41598,-0.00706,-1.54275,-0.00851,-0.37525,-0.00176,-0.36352,-0.01496,-0.347,0.00654,-0.39267,0.00408,-0.3615,-0.01925,-0.38734,-0.01835,-0.36851,0.00527,-0.39722,0.00502
-0.32916,2.81E-04,-0.30537,-0.00353,-1.52872,0.0077,-0.34657,-0.00762,-0.30354,0.01349,-0.30787,0.0036,-0.3972,0.00253,-0.35117,0.01299,-0.34138,9.22E-04,-1.52853,0.0185,-0.30044,0.0109,-0.27668,-0.01111,-0.27227,0.00275,-0.31791,0.0086,-0.28663,0.00348,-0.31274,0.00997,-0.29367,-0.00288,-0.32248,-0.00263
-0.25434,-0.00396,-0.21856,-0.01026,-1.51449,-0.01967,-0.27181,0.00713,-0.22868,0.00634,-0.23316,-0.00386,-0.32236,-3.57E-04,-0.27639,4.86E-04,-0.26672,0.00477,-1.51431,-0.00119,-0.22564,-0.00713,-0.18968,-0.01185,-0.19753,0.00385,-0.24313,-0.01237,-0.21178,0.00437,-0.23808,-1.88E-04,-0.21884,-0.017,-0.24769,-0.0037
-0.17954,-0.00498,-0.1298,0.0093,-1.49675,-3.58E-04,-0.19699,0.01445,-0.15382,2.85E-04,-0.15837,0.01415,-0.24753,0.02231,-0.20163,0.00145,-0.19205,0.00534,-1.49659,9.35E-04,-0.15082,-0.00795,-0.10104,0.00958,-0.12279,0.00785,-0.16826,0.00346,-0.1369,0.01665,-0.16334,-5.45E-04,-0.14403,-0.0016,-0.17293,-2.63E-04
-0.10471,0.00856,-0.04495,-0.0132,-1.48253,0.01379,-0.12216,-0.00152,-0.07897,0.02132,-0.08367,0.00283,-0.1727,-0.00142,-0.12685,0.00739,-0.11728,-0.00675,-1.48236,0.00963,-0.07598,-0.00465,-0.00735,0.00819,-0.04801,0.01548,-0.09343,0.01978,-0.06207,-0.0192,-0.08854,0.00375,-0.06925,-0.01489,-0.09814,0.0012
-0.02986,0.00373,-0.00755,-0.00693,-1.46832,0.00972,-0.04726,0.00187,-0.02704,-0.00253,-0.00747,0.00863,-0.09791,-2.03E-04,-0.05207,-0.00395,-0.04241,0.00383,-1.46814,0.00717,-0.00652,0.0137,0.01405,-0.0222,-3.24E-04,-0.00413,-0.00723,-0.00115,-0.03867,0.00916,-0.01366,-0.00704,-0.00716,0.00346,-0.02815,0.00614
-0.0067,0.01219,0.01385,-0.00475,-1.45409,-0.00927,-0.00742,-0.004,-0.00565,-0.0013,0.01391,0.01053,-0.02315,-0.00465,-0.02834,-0.00926,0.01333,-0.01102,-1.45391,-3.54E-04,0.01488,0.00385,0.03545,-0.00127,0.02105,-0.00166,0.01417,-0.00639,-0.01727,-0.0455,0.01354,-0.00592,0.01422,0.00905,-0.00682,0.00214
0.01469,0.02475,0.03525,0.01048,-1.43986,0.02138,0.01398,0.00608,0.01573,0.01917,0.0353,0.0073,-0.00731,0.01091,-0.00703,0.00321,0.03475,-0.00703,-1.43969,0.00254,0.0363,0.01068,0.05686,0.00462,0.04244,-0.0039,0.03558,0.00469,0.01428,0.0088,0.03495,-0.00393,0.03561,-0.00146,0.01455,-0.00392
0.0361,0.00547,0.05667,0.01272,-1.42565,0.03379,0.03539,0.01174,0.02591,0.00335,0.05667,-7.42E-04,0.01405,-0.01459,0.01434,0.00927,0.05618,0.00989,-1.42546,0.01876,0.0577,0.00248,0.08181,0.00762,0.06381,-0.00471,0.05697,0.00394,0.03568,0.006,0.05638,-0.00687,0.05701,-0.01644,0.03595,0.01057
0.0575,-0.0073,0.08161,0.00848,-1.40788,0.02781,0.05678,0.00413,0.0473,0.01158,0.0816,-0.01198,0.03544,0.02517,0.03574,0.00439,0.07759,0.00584,-1.40769,-0.01224,0.08265,0.01215,0.10321,-0.00516,0.08874,-0.00522,0.0819,0.00239,0.05706,-0.00498,0.0778,-0.0029,0.08193,-0.0057,0.06083,-0.00776
0.08245,0.00598,0.10301,0.00956,-1.39363,0.01962,0.08171,0.00661,0.06868,0.00473,0.10296,0.00468,0.05684,0.00383,0.06062,0.01238,0.10253,0.00843,-1.39345,0.01135,0.10404,0.00993,0.12461,-0.00319,0.1101,0.01107,0.1033,0.00822,0.07846,0.0091,0.10272,0.01349,0.10334,0.00195,0.08222,0.01066
0.10384,-0.00602,0.12441,0.00536,-1.37941,0.02392,0.10311,0.0113,0.09008,0.0047,0.1244,-1.18E-04,0.08177,0.00654,0.08201,0.0146,0.12394,0.00782,-1.37922,-0.00158,0.12547,0.00708,0.14601,0.00525,0.13154,0.00734,0.12471,-9.91E-04,0.10339,0.00514,0.12414,0.00434,0.12472,-0.00505,0.1036,0.01326
0.12527,-4.26E-04,0.14581,-0.00936,-1.36516,-5.40E-04,0.12453,-0.00863,0.11501,0.01921,0.14576,0.00185,0.10317,0.00778,0.10339,0.00583,0.14536,-0.01554,-1.36498,0.00736,0.14685,-0.00619,0.17093,0.00283,0.15291,0.01276,0.14608,0.00597,0.12477,0.00842,0.14557,0.00103,0.14611,0.01901,0.12501,0.00553
0.14666,0.01952,0.17073,-0.00769,-1.35091,0.00477,0.1459,-0.00245,0.13639,-0.01204,0.17072,0.00378,0.12455,0.01485,0.1248,0.00418,0.16678,0.00296,-1.35072,0.00566,0.17178,0.00978,0.19233,0.02001,0.17786,0.01291,0.171,-0.00461,0.14615,-0.00365,0.16698,0.00333,0.17102,0.01544,0.14993,0.00645
0.17159,0.01452,0.19213,0.006,-1.33666,0.00415,0.17081,-0.00572,0.15777,-0.00779,0.19207,-0.00343,0.14594,0.00619,0.14972,0.01345,0.19174,-0.01275,-1.33646,-0.03619,0.19318,0.00214,0.21373,0.0041,0.19921,-0.00616,0.19236,-0.00559,0.16755,0.00392,0.19192,0.00268,0.19242,0.01101,0.17134,0.00964
0.193,0.00164,0.21353,0.00337,-1.31887,-0.01474,0.19218,-0.01104,0.17917,-0.00276,0.21347,0.03016,0.17086,0.00254,0.17113,0.00689,0.21314,0.00139,-1.31868,0.0038,0.21457,0.0093,0.23512,-0.00818,0.2206,0.0033,0.21375,0.0033,0.19243,7.42E-04,0.2133,-0.021,0.21381,0.01195,0.19274,0.00566
0.21438,-0.01018,0.23492,0.02178,-1.30458,0.00831,0.21356,-0.00706,0.20405,-0.01414,0.23481,0.00341,0.19225,0.00863,0.19253,0.01459,0.23451,-0.01926,-1.30439,-0.00273,0.23598,-0.00677,0.26002,0.01919,0.24196,-0.00417,0.23514,-0.00106,0.21383,4.75E-04,0.23471,0.00982,0.23521,0.003,0.21414,-0.00119
0.23578,0.00984,0.25983,-0.00432,-1.2903,-0.00669,0.23495,-0.01565,0.22545,0.01285,0.25977,-0.00604,0.21363,0.00131,0.21394,0.00935,0.2559,-0.01139,-1.29012,0.0063,0.26093,-1.48E-04,0.28142,0.0117,0.26691,-0.00123,0.26007,0.01004,0.2352,0.00334,0.2561,0.00952,0.26014,2.36E-04,0.23906,0.01305
