S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
-0.68939,-0.00803,-0.67097,-0.00475,-0.67546,-0.00151,-0.68491,0.00188,-0.69624,-3.39E-04,-0.69888,-0.00487,-0.68292,-0.00511,-0.69786,0.00784,-0.59498,0.00344,-0.67541,-0.00558,-1.70606,0.01003,-0.64223,-0.01251,-0.67022,0.02158,-0.65623,2.21E-04,-0.67307,,-0.56631,6.82E-04,-0.65424,-2.12E-03,-0.66917,-0.00718,-0.69708,-0.01375,-0.66147,-0.00135
-0.61112,-0.00825,-0.59259,0.00416,-0.66133,-0.00154,-0.6066,-0.00246,-0.61992,-0.00498,-0.62067,-0.00191,-0.60461,-0.00592,-0.61959,2.34E-03,-0.51679,-2.43E-03,-0.66125,-0.00511,-1.67046,0.02364,-0.56388,-6.09E-03,-0.59204,0.00118,-0.57789,0.00245,-0.59674,,-0.48812,-0.00155,-0.57593,0.00256,-0.59091,0.00243,-0.61883,-0.00358,-0.58319,-4.58E-03
-0.53278,-0.00286,-0.51421,0.00227,-0.64718,0.0091,-0.52832,0.00669,-0.54355,-0.00566,-0.54251,0.00167,-0.52626,-0.00314,-0.54131,-0.00398,-0.43859,0.01598,-0.647,-0.00368,-1.62777,0.00138,-0.4855,-0.00324,-0.51387,0.00716,-0.49961,0.00528,-0.52038,,-0.40994,1.12E-03,-0.49757,-0.00277,-0.51259,0.00822,-0.54053,-0.00288,-0.5049,0.00659
-0.45441,-0.0034,-0.43583,0.00748,-0.63293,-0.00663,-0.45002,0.0067,-0.46718,-0.00106,-0.46431,0.01275,-0.44789,-0.00128,-0.46295,-0.00735,-0.36041,0.00172,-0.63275,0.00932,-1.59213,0.00775,-0.40711,,-0.43566,-0.00263,-0.42131,4.65E-04,-0.444,,-0.33175,-0.00163,-0.41921,,-0.43422,0.0039,-0.46223,8.61E-03,-0.42664,0.00564
-0.37604,,-0.35755,-1.40E-04,-0.61868,-0.00723,-0.37164,,-0.39075,,-0.38609,,-0.36956,-0.00418,-0.38459,,-0.28222,0.00932,-0.61851,-0.00934,-1.54949,0.01524,-0.32885,0.00833,-0.35742,-9.90E-04,-0.343,-0.01005,-0.36756,,-0.25355,0.00869,-0.34088,-0.00888,-0.35589,,-0.38407,,-0.34841,3.33E-03
-0.29769,,-0.2792,0.00576,-0.60443,0.00508,-0.29344,3.63E-03,-0.31437,2.33E-03,-0.30775,-0.00352,-0.29128,-0.00324,-0.30627,-0.00574,-0.20402,,-0.60426,-0.0083,-1.51385,-1.01E-02,-0.25047,-0.013,-0.27904,,-0.26473,0.00368,-0.29122,,-0.17534,,-0.26264,-0.00744,-0.27758,-0.00133,-0.30575,2.52E-04,-0.27012,-0.00342
-0.21936,,-0.20083,-0.00965,-0.58317,-0.00623,-0.21517,-0.00198,-0.238,-9.05E-04,-0.22941,-0.00901,-0.21302,-0.0112,-0.22802,0.00368,-0.12575,,-0.583,-4.71E-04,-1.47118,-0.00988,-0.17212,-0.00547,-0.20068,-0.00415,-0.18646,0.00428,-0.21481,,-0.09706,,-0.18434,7.53E-03,-0.19936,-0.00624,-0.22748,0.03961,-0.19185,0.01197
-0.14108,,-0.12244,-0.0099,-0.56892,-0.00429,-0.13689,-0.00681,-0.1616,-3.79E-03,-0.15111,0.0117,-0.13472,-7.77E-03,-0.14976,-0.00621,-0.00683,,-0.56874,0.00844,-1.43554,0.00669,-0.09373,-0.00359,-0.12243,,-0.10818,-0.00348,-0.13843,,-0.00664,,-0.10604,0.00713,-0.12104,0.00768,-0.14918,-0.00327,-0.11354,
-0.06277,,-0.04409,-0.01461,-0.55466,0.00612,-0.05856,-8.40E-03,-0.08523,-0.00331,-0.07287,,-0.05639,0.00693,-0.07152,0.00163,0.01455,-0.00282,-0.55449,-0.00525,-1.39286,,-0.00727,-0.00421,-0.04421,,-0.02988,-0.00723,-0.06207,,0.01473,-0.00458,-0.02773,-1.04E-05,-0.04285,0.00867,-0.07093,,-0.03534,0.00296
3.13E-04,0.00185,-0.00744,-0.00863,-0.54042,0.01147,-0.00747,-0.00912,-0.00734,0.00617,-0.01947,-0.01472,-0.00745,0.00411,-0.00747,0.00597,0.03589,-1.22E-02,-0.54024,0.00115,-1.35723,-3.37E-04,0.01411,-0.00426,-0.01928,0.00194,-0.00728,9.51E-04,-0.00716,,0.03609,-0.00738,-0.00729,9.22E-04,-0.00729,1.01E-02,-0.00985,-0.00417,-0.00274,1.37E-02
