Sample,Pyruv,Condition,Type,Time,Flux
S1P2W,C2,drought,water,-0.22748,273.70026
S2P6_C2,C2,drought,sample,-0.52038,184.49618
S2P4_C2,C2,drought,sample,0.43884,136.53107
S2P2_C2,C2,drought,sample,1.06398,124.41362
S2P2_C2,C2,drought,sample,0.78223,124.37616
S2P2_C2,C2,drought,sample,0.46919,123.00487
S2P2_C2,C2,drought,sample,0.51186,119.91552
S2P2_C2,C2,drought,sample,0.43356,117.94466
S2P2_C2,C2,drought,sample,0.86053,116.77835
S2P2_C2,C2,drought,sample,0.74662,111.89044
S2P4_C2,C2,drought,sample,0.47453,111.73904
S2P4_C2,C2,drought,sample,0.51722,111.50205
S2P2_C2,C2,drought,sample,0.82491,110.93495
S2P2_C2,C2,drought,sample,0.90319,109.42523
S3P4_C2,C2,drought,sample,1.39333,105.06144
S2P4_C2,C2,drought,sample,0.31792,104.75029
S1P4W,C2,drought,water,-0.00274,101.16038
S1P2_C2,C2,drought,sample,0.0139,100.04427
S1P2W,C2,drought,water,1.7315,99.71136
S1P6_C2,C2,drought,sample,0.82191,98.7358
S2P2_C2,C2,drought,sample,0.27701,95.55056
S2P2_C2,C2,drought,sample,1.43403,94.49412
S2P2_C2,C2,drought,sample,0.39089,94.15812
S3P6_C2,C2,drought,sample,1.87481,94.05278
S2P4_C2,C2,drought,sample,0.36054,92.20479
S1P6_C2,C2,drought,sample,1.02119,92.03291
S3P4_C2,C2,drought,sample,1.82075,91.70635
S2P4_C2,C2,drought,sample,0.2823,91.19174
S1P6_C2,C2,drought,sample,0.77927,89.75216
S1P6_C2,C2,drought,sample,1.71382,88.79792
S3P2_C2,C2,drought,sample,0.75655,88.18666
S2P2_C2,C2,drought,sample,0.70396,86.41628
S2P2_C2,C2,drought,sample,0.31264,85.19955
S2P2_C2,C2,drought,sample,1.24898,84.83143
S1P4W,C2,drought,water,-0.19185,84.74166
S2P4_C2,C2,drought,sample,0.242,84.6397
S1P6_C2,C2,drought,sample,0.466,84.43777
S2P4_C2,C2,drought,sample,0.39618,84.3096
S1P6_C2,C2,drought,sample,1.20608,83.20547
S3P4_C2,C2,drought,sample,1.7851,80.0107
S2P7_C1,C1,pre-drought,sample,1.27944,79.10788
S2P2_C2,C2,drought,sample,1.11377,78.67421
S1P6_C2,C2,drought,sample,1.36528,78.45264
S2P2_C2,C2,drought,sample,0.25817,78.19728
S1P2_C2,C2,drought,sample,0.16314,78.14987
S2P2_C2,C2,drought,sample,0.35528,77.64841
S1P2W,C2,drought,water,1.0599,76.74616
S3P6_C2,C2,drought,sample,1.83918,76.10365
S2P2_C2,C2,drought,sample,1.34148,75.11131
S2P6_C2,C2,drought,sample,1.44464,74.78942
S3P4_C2,C2,drought,sample,0.81006,73.62722
S3P4_C2,C2,drought,sample,0.19906,73.06317
S2P2_C2,C2,drought,sample,1.02123,71.14195
S2P2_C2,C2,drought,sample,1.39127,71.10773
S3P2_C2,C2,drought,sample,0.44339,70.90949
S2P2_C2,C2,drought,sample,0.93877,70.53079
S3P2_C2,C2,drought,sample,0.28683,69.71397
S3P6_C2,C2,drought,sample,1.95302,69.45571
S2P4_C2,C2,drought,sample,1.41694,68.95635
S2P4_C2,C2,drought,sample,1.07176,67.73463
S3P2_C2,C2,drought,sample,0.87047,67.06967
S2P6_C2,C2,drought,sample,1.06391,66.20609
S3P6_C2,C2,drought,sample,0.30844,65.7181
S1P6_C2,C2,pre-drought,sample,0.75174,65.39324
S2P2_C2,C2,drought,sample,0.16569,64.38951
S3P6_C2,C2,drought,sample,0.14919,63.82686
S3P6_C2,C2,drought,sample,1.2369,63.78032
S2P4_C2,C2,drought,sample,0.14944,63.14317
S1P6_C2,C2,drought,sample,1.44344,63.00301
S3P4_C2,C2,drought,sample,0.96282,62.83018
S3P6_C2,C2,drought,sample,0.74225,62.80227
S3P6_C2,C2,drought,sample,0.38661,62.42235
S2P2_C2,C2,drought,sample,1.48383,62.34632
S1P1_C1,C1,pre-drought,sample,0.01469,60.126
S2P8_C2,C2,pre-drought,sample,1.90957,59.86383
S1P4W,C2,drought,water,1.01481,59.67944
S2P4_C2,C2,pre-drought,sample,1.47472,59.36215
S2P4_C2,C2,drought,sample,0.17788,59.1292
S2P2_C2,C2,drought,sample,0.22976,58.93451
S1P5_C1,C1,pre-drought,sample,-0.15083,58.53762
S1P4_C2,C2,drought,sample,0.8726,57.85527
S2P4_C2,C2,drought,sample,1.38128,57.75524
