S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
-0.62821,-0.00617,-0.6523,0.00318,-1.58571,0.01821,-0.64587,0.01435,-0.60287,0.01085,-0.60692,0.00296,-0.6767,0.00517,-0.65035,0.00764,-0.63999,9.28E-03,-1.58551,-0.0119,-0.59956,0.00426,-0.62365,-0.00929,-0.57134,0.00715,-0.61718,0.00679,-0.58602,-0.00938,-0.6113,-0.0048,-0.59302,-0.00963,-0.62163,0.00254
-0.55352,0.01114,-0.56583,0.00132,-1.57144,0.0116,-0.57106,0.01312,-0.52815,-0.00231,-0.53223,-0.01406,-0.62172,0.00935,-0.5755,1.50E-02,-0.56525,0.00148,-1.57124,-0.03806,-0.52488,-0.01027,-0.53718,-0.00573,-0.49657,-0.00466,-0.54231,0.00246,-0.51125,0.01539,-0.5366,-4.78E-03,-0.51817,0.00237,-0.54682,0.01341
-0.47876,-0.00162,-0.47899,0.00226,-1.55719,-0.00444,-0.49623,0.00486,-0.45328,0.00485,-0.45738,-0.01214,-0.54685,0.00447,-0.50073,-5.58E-04,-0.49064,2.58E-04,-1.55703,3.93E-05,-0.45006,0.00254,-0.45031,-0.00522,-0.42174,0.011,-0.46752,0.01214,-0.43634,-0.00594,-0.46197,1.50E-04,-0.44331,-0.01335,-0.47203,8.28E-04
-0.40397,-0.00693,-0.39222,0.00667,-1.54294,-0.00265,-0.42139,0.01817,-0.37838,-0.00495,-0.38259,-0.00335,-0.47201,-0.0162,-0.42591,-0.0028,-0.41598,-0.00891,-1.54275,-0.01354,-0.37525,-0.00188,-0.36352,-1.63E-02,-0.347,0.00559,-0.39267,0.00391,-0.3615,-0.02135,-0.38734,-0.01879,-0.36851,0.00424,-0.39722,0.00491
-0.32916,-0.00125,-0.30537,-0.00501,-1.52872,0.00234,-0.34657,-0.00876,-0.30354,0.01202,-0.30787,0.00234,-0.3972,0.00118,-0.35117,0.01217,-0.34138,-3.41E-04,-1.52853,0.0143,-0.30044,0.00976,-0.27668,-0.01323,-0.27227,0.00143,-0.31791,0.00744,-0.28663,0.00187,-0.31274,0.00832,-0.29367,-0.00458,-0.32248,-0.00377
-0.25434,-0.00527,-0.21856,-0.01167,-1.51449,-0.02499,-0.27181,0.00562,-0.22868,0.005,-0.23316,-0.00526,-0.32236,-0.00183,-0.27639,-8.70E-04,-0.26672,0.00309,-1.51431,-0.00596,-0.22564,-0.00904,-0.18968,-0.01284,-0.19753,0.00226,-0.24313,-1.38E-02,-0.21178,0.00248,-0.23808,-0.00236,-0.21884,-0.01868,-0.24769,-0.00502
-0.17954,-0.00695,-0.1298,0.00841,-1.49675,-5.19E-03,-0.19699,0.01305,-0.15382,-0.00122,-0.15837,0.01271,-0.24753,0.02139,-0.20163,4.03E-04,-0.19205,0.00385,-1.49659,-0.00439,-0.15082,-0.00907,-0.10104,0.00872,-0.12279,0.00632,-0.16826,0.0025,-0.1369,0.01517,-0.16334,-1.33E-03,-0.14403,-0.00278,-0.17293,-0.00158
-0.10471,0.00738,-0.04495,-1.46E-02,-1.48253,0.00911,-0.12216,-0.0026,-0.07897,0.0202,-0.08367,0.00141,-0.1727,-0.00265,-0.12685,0.00635,-0.11728,-7.70E-03,-1.48236,0.00567,-0.07598,-0.00609,-0.00735,0.00761,-0.04801,0.01461,-0.09343,0.01858,-0.06207,-0.02039,-0.08854,0.00257,-0.06925,-0.01681,-0.09814,1.15E-04
-0.02986,0.0024,-0.00755,-0.00774,-1.46832,0.0053,-0.04726,7.11E-04,-0.02704,-0.00389,-0.00747,0.00738,-0.09791,-0.00167,-0.05207,-0.00449,-0.04241,0.00275,-1.46814,0.00263,-0.00652,0.0125,0.01405,-0.02331,-3.24E-04,-5.12E-03,-0.00723,-0.00219,-0.03867,0.00808,-0.01366,-0.00822,-0.00716,0.00198,-0.02815,0.00541
-0.0067,0.01112,0.01385,-0.0054,-1.45409,-0.01383,-0.00742,-0.00522,-0.00565,-0.00289,0.01391,0.00923,-0.02315,-0.00663,-0.02834,-0.01003,0.01333,-0.01213,-1.45391,-0.00467,0.01488,0.0026,0.03545,-0.00244,0.02105,-2.78E-03,0.01417,-0.00723,-0.01727,-0.04802,0.01354,-0.0071,0.01422,0.00745,-0.00682,0.00146
