KO,module
K00001,turquoise
K00003,yellow
K00004,grey
K00008,black
K00009,red
K00010,grey
K00012,grey
K00013,turquoise
K00014,turquoise
K00015,brown
K00016,green
K00018,yellow
K00019,grey
K00020,brown
K00021,grey
K00023,brown
K00024,grey
K00026,red
K00027,red
K00029,blue
K00030,grey
K00031,grey
K00033,turquoise
K00034,brown
K00036,turquoise
K00038,green
K00042,brown
K00046,turquoise
K00050,grey
K00052,turquoise
K00053,yellow
K00054,yellow
K00055,black
K00057,grey
K00058,brown
K00059,grey
K00060,yellow
K00064,green
K00065,green
K00066,pink
K00067,turquoise
K00074,red
K00075,turquoise
K00076,green
K00077,blue
K00087,brown
K00088,grey
K00090,brown
K00091,turquoise
K00096,red
K00097,turquoise
K00099,grey
K00100,black
K00101,blue
K00102,turquoise
K00104,blue
K00108,blue
K00111,blue
K00113,yellow
K00114,brown
K00116,blue
K00117,brown
K00118,black
K00121,brown
K00122,yellow
K00123,brown
K00124,brown
K00126,yellow
K00127,brown
K00128,pink
K00130,grey
K00131,blue
K00132,blue
K00133,turquoise
K00134,red
K00135,grey
K00137,blue
K00138,grey
K00140,pink
K00141,blue
K00145,turquoise
K00146,brown
K00147,grey
K00148,black
K00150,magenta
K00151,grey
K00153,green
K00154,brown
K00156,black
K00158,black
K00161,green
K00162,green
K00163,grey
K00164,blue
K00166,blue
K00167,blue
K00169,brown
K00170,brown
K00171,brown
K00172,green
K00174,grey
K00175,brown
K00179,turquoise
K00180,yellow
K00184,brown
K00185,brown
K00198,yellow
K00200,yellow
K00201,green
K00202,grey
K00203,brown
K00208,grey
K00215,turquoise
K00217,green
K00219,brown
K00220,red
K00226,yellow
K00227,grey
K00228,yellow
K00230,yellow
K00231,turquoise
K00232,red
K00239,grey
K00240,grey
K00241,blue
K00242,blue
K00243,blue
K00244,brown
K00245,brown
K00246,brown
K00247,brown
K00248,red
K00249,grey
K00252,brown
K00253,blue
K00254,blue
K00256,grey
K00257,blue
K00259,grey
K00260,grey
K00261,turquoise
K00262,blue
K00263,pink
K00265,yellow
K00266,turquoise
K00271,red
K00274,green
K00275,blue
K00276,green
K00278,black
K00281,blue
K00282,turquoise
K00283,turquoise
K00284,grey
K00285,blue
K00286,turquoise
K00287,yellow
K00290,grey
K00294,pink
K00297,turquoise
K00299,red
K00301,green
K00302,blue
K00303,black
K00311,blue
K00313,black
K00315,yellow
K00316,brown
K00318,red
K00320,grey
K00322,blue
K00324,blue
K00325,turquoise
K00330,grey
K00331,grey
K00332,turquoise
K00333,turquoise
K00334,blue
K00335,grey
K00336,pink
K00337,turquoise
K00338,turquoise
K00339,turquoise
K00340,blue
K00341,grey
K00342,turquoise
K00343,turquoise
K00344,green
K00346,yellow
K00347,yellow
K00348,yellow
K00356,green
K00362,yellow
K00363,blue
K00364,grey
K00365,red
K00366,yellow
K00367,yellow
K00368,pink
K00370,pink
K00371,pink
K00372,yellow
K00373,yellow
K00374,yellow
K00375,grey
K00376,yellow
K00380,yellow
K00381,brown
K00382,grey
K00383,blue
K00384,grey
K00389,grey
K00390,yellow
K00392,pink
K00394,turquoise
K00395,turquoise
K00404,blue
K00405,blue
K00406,blue
K00407,blue
K00410,brown
K00411,brown
K00412,grey
K00413,blue
K00425,turquoise
K00426,turquoise
K00428,grey
K00432,grey
K00433,grey
K00435,yellow
K00441,green
K00446,blue
K00448,blue
K00449,brown
K00450,green
K00451,brown
K00452,yellow
K00453,blue
K00456,yellow
K00457,blue
K00459,turquoise
K00463,green
K00466,grey
K00469,grey
K00472,brown
K00479,grey
K00480,black
K00481,yellow
K00483,green
K00486,grey
K00493,red
K00496,red
K00499,green
K00500,brown
K00504,green
K00505,brown
K00507,brown
K00508,black
K00517,grey
K00518,black
K00520,yellow
K00523,blue
K00525,grey
K00526,grey
K00527,magenta
K00528,grey
K00529,turquoise
K00537,blue
K00540,turquoise
K00547,green
K00548,grey
K00549,pink
K00554,turquoise
K00558,blue
K00560,grey
K00563,grey
K00564,grey
K00566,turquoise
