"","KO","Compound"
"1","K18369","Acetone"
"2","K13033","Acetone"
"3","K23259","Acetone"
"4","K01574","Acetone"
"5","K10854","Acetone"
"6","K10855","Acetone"
"7","K10856","Acetone"
"8","K18371","Acetone"
"9","K18382","Acetone"
"10","K10187","Acetone"
"11","K18370","Acetone"
"12","K00128","Acetate"
"13","K00129","Acetate"
"14","K00149","Acetate"
"15","K00512","Acetate"
"16","K01049","Acetate"
"17","K01062","Acetate"
"18","K01067","Acetate"
"19","K01437","Acetate"
"20","K01443","Acetate"
"21","K01512","Acetate"
"22","K01640","Acetate"
"23","K01895","Acetate"
"24","K03434","Acetate"
"25","K14085","Acetate"
"26","K14677","Acetate"
"27","K16794","Acetate"
"28","K16795","Acetate"
"29","K00138","Acetate"
"30","K02535","Acetate"
"31","K18118","Acetate"
"32","K01739","Acetate"
"33","K01738","Acetate"
"34","K01740","Acetate"
"35","K12339","Acetate"
"36","K00467","Acetate"
"37","K19670","Acetate"
"38","K01438","Acetate"
"39","K01913","Acetate"
"40","K13034","Acetate"
"41","K22846","Acetate"
"42","K00925","Acetate"
"43","K17069","Acetate"
"44","K01742","Acetate"
"45","K22097","Acetate"
"46","K01452","Acetate"
"47","K17648","Acetate"
"48","K00156","Acetate"
"49","K01034","Acetate"
"50","K01035","Acetate"
"51","K01643","Acetate"
"52","K01644","Acetate"
"53","K01646","Acetate"
"54","K01910","Acetate"
"55","K19709","Acetate"
"56","K02079","Acetate"
"57","K01026","Acetate"
"58","K13929","Acetate"
"59","K18288","Acetate"
"60","K24012","Acetate"
"61","K15784","Acetate"
"62","K18122","Acetate"
"63","K01039","Acetate"
"64","K01040","Acetate"
"65","K02228","Acetate"
"66","K01060","Acetate"
"67","K10702","Acetate"
"68","K18372","Acetate"
"69","K17078","Acetate"
"70","K22224","Acetate"
"71","K01905","Acetate"
"72","K18614","Acetate"
"73","K17216","Acetate"
"74","K05823","Acetate"
"75","K16363","Acetate"
"76","K10150","Acetate"
"77","K00004","Diacetyl"
"78","K03366","Diacetyl"
"79","K18009","Diacetyl"
"80","K19709","Acetate"
