KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K00001,0.809332136,0.999810126,-0.042303168,-0.243230935,0.452974492,0.284283622,-0.131062951,-0.759450318
KO:K00003,0.440438316,0.849522718,0.134695248,0.780881409,0.067414182,0.074320404,0.312693498,1.891119306
KO:K00004,0.808217648,0.999810126,0.042555108,0.244682139,0.376835236,0.252720801,0.154080682,0.895823816
KO:K00008,0.015826788,0.063160458,0.404917578,2.543956125,0.075380014,0.081397115,0.304437564,1.836011938
KO:K00009,2.84E-05,0.000242698,0.645332936,4.852923833,0.000334317,0.001625498,0.571644677,4.002246807
KO:K00010,0.975673176,0.999810126,-0.005348625,-0.030725953,0.462847443,0.28855678,-0.128240294,-0.742817754
KO:K00012,0.805765427,0.999810126,0.043109751,0.247877108,0.920321286,0.440412171,-0.01754386,-0.100797314
KO:K00013,0.522126332,0.922169342,-0.111915529,-0.646970211,0.175571513,0.147209199,-0.234262126,-1.384252398
KO:K00014,0.979946221,0.999810126,0.004408922,0.025327575,0.591353487,0.337833934,0.093959744,0.542156136
KO:K00015,0.366538409,0.767951405,-0.15739258,-0.915563008,0.359302417,0.244273922,-0.159753186,-0.929651714
KO:K00016,0.815088208,0.999810126,-0.041003271,-0.235744117,0.417799209,0.270649333,-0.141401613,-0.820534901
KO:K00018,0.712750421,0.999810126,-0.064509107,-0.371350085,0.221784609,0.174198538,-0.21186133,-1.245319766
KO:K00019,0.002305151,0.011989878,-0.498495993,-3.303342807,0.0011332,0.003952432,-0.527347781,-3.565449367
KO:K00020,0.004109771,0.019758512,-0.473007148,-3.084039163,0.001194748,0.004103116,-0.525283798,-3.54616239
KO:K00021,0.481758383,0.888958921,0.122921406,0.711525638,0.845461151,0.420122955,0.034177946,0.196452127
KO:K00023,0.003728976,0.018107495,-0.477430379,-3.121342519,0.010679728,0.020328608,-0.42621259,-2.706547194
KO:K00024,0.667532828,0.999810126,0.075234172,0.433415758,0.701818561,0.376534107,-0.067079463,-0.38621207
KO:K00026,4.59E-10,1.80E-08,0.834719968,8.707684497,0.000150931,0.000985608,0.597468461,4.280119079
KO:K00027,5.29E-07,7.00E-06,0.733785062,6.204574404,0.00019572,0.00115865,0.589267286,4.189779637
KO:K00029,0.919609985,0.999810126,-0.017700982,-0.101700332,0.575277436,0.33201912,-0.098039216,-0.5659187
KO:K00030,0.8271124,0.999810126,0.038294683,0.220147684,0.310542154,0.221371725,0.176470588,1.029909843
KO:K00031,0.0312372,0.113231196,0.364699068,2.25000472,0.003531847,0.008850728,0.479876161,3.142100551
KO:K00033,0.845982656,0.999810126,0.034061213,0.195780376,0.316325367,0.224510411,0.174406605,1.01748391
KO:K00034,0.001187585,0.006718091,-0.52551911,-3.548356889,0.004213509,0.010229437,-0.47186377,-3.074445612
KO:K00036,0.01217268,0.05082881,0.41927382,2.652991854,0.000584742,0.002433163,0.552115583,3.804012795
KO:K00038,0.718416109,0.999810126,0.063182196,0.363680713,0.21040456,0.16814206,0.217051371,1.277316183
KO:K00042,0.000297759,0.001972338,-0.575542312,-4.042983695,0.005210361,0.011967561,-0.461964636,-2.992208531
KO:K00046,0.924954345,0.999810126,0.016520769,0.094917547,0.816567405,0.411812553,-0.040669573,-0.233822362
KO:K00050,0.770637156,0.999810126,-0.051103253,-0.293949919,0.215366826,0.170262362,-0.214765129,-1.263207777
KO:K00052,0.986521935,0.999810126,-0.002963056,-0.017021534,0.293594713,0.212507898,0.182662539,1.067272543
KO:K00053,0.980117526,0.999810126,-0.004371252,-0.025111173,0.3462437,0.238277943,0.164086687,0.955557961
KO:K00054,0.765410283,0.999810126,0.052300968,0.30085795,0.49292697,0.301737353,0.119831094,0.693373473
KO:K00055,0.000104202,0.000773533,0.608788206,4.408266012,0.000703064,0.002778246,0.545406222,3.738040357
KO:K00057,0.004509507,0.021440907,0.468730132,3.04825467,0.001066887,0.003795123,0.529685151,3.587396639
KO:K00058,0.112924526,0.325824675,0.272742051,1.628525777,0.004840655,0.011321866,0.465428277,3.0208173
KO:K00059,0.472620994,0.882074138,0.125477423,0.726555263,0.040640512,0.05246519,0.347781218,2.13086896
KO:K00060,0.825590293,0.999810126,0.03863706,0.222118867,0.526865456,0.314223381,0.110651736,0.639573295
KO:K00064,0.506265893,0.909073371,-0.116186735,-0.671993128,0.557797176,0.325946585,-0.102533838,-0.592132883
KO:K00065,0.716647183,0.999810126,-0.063596105,-0.366072845,0.97648246,0.45490117,-0.005170642,-0.029703473
KO:K00066,0.683392004,0.999810126,-0.071443779,-0.411464711,0.106395527,0.103899963,-0.277605779,-1.659968732
KO:K00067,0.700559479,0.999810126,-0.067376383,-0.387929374,0.467219697,0.290113007,-0.127000533,-0.735518269
KO:K00074,0.010854958,0.046478411,0.425357121,2.6999133,0.056721035,0.065646257,0.325077399,1.974677318
KO:K00075,0.940471471,0.999810126,-0.013097927,-0.075248316,0.543151784,0.320441167,-0.10635004,-0.614418989
KO:K00076,0.724307331,0.999810126,0.061806125,0.355729252,0.107757045,0.105014268,0.276573317,1.653282637
KO:K00077,0.297591655,0.670595561,-0.181182147,-1.058327993,0.063687167,0.071444131,-0.316821465,-1.918849943
KO:K00087,0.02114839,0.08081855,-0.388340313,-2.420842584,0.011278844,0.021087639,-0.423335111,-2.684268304
KO:K00088,0.307166368,0.683128367,0.177686573,1.037237068,0.08406,0.087905224,0.296181631,1.781360671
KO:K00090,0.024677105,0.092211939,-0.379179734,-2.354012213,0.005283271,0.012028573,-0.46130669,-2.986793831
KO:K00091,0.009397174,0.041285772,0.432864641,2.758437426,0.000420747,0.001965611,0.563758464,3.921043876
KO:K00096,0.088020753,0.267724031,0.292632132,1.757999893,0.05665762,0.065646257,0.325156158,1.975212292
KO:K00097,0.867095702,0.999810126,0.029346827,0.168657328,0.167866274,0.142959398,0.238390093,1.410100758
KO:K00099,0.974065438,0.999810126,0.005702226,0.032757329,0.397550918,0.261708977,0.147574819,0.857137686
KO:K00100,0.070840327,0.224820859,0.309053879,1.866767864,0.175571513,0.147209199,0.234262126,1.384252398
KO:K00101,0.631069511,0.999810126,0.084081973,0.484730672,0.083389901,0.087614124,0.296794844,1.785404646
