KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K00001,0.054315062,0.179889628,-0.328115829,-1.995349477,0.002053404,0.005278669,-0.503369439,-3.346526245
KO:K00003,0.636408948,0.990232565,0.082773979,0.47713768,0.093480103,0.086304249,0.287935605,1.727211939
KO:K00004,0.899208516,0.999875552,0.022213791,0.127640012,0.820177544,0.372147831,0.039855735,0.229135826
KO:K00008,0.016177124,0.065298288,0.403692821,2.534760544,0.151653562,0.121746644,0.247541761,1.467697989
KO:K00009,0.005269931,0.025056422,0.461426481,2.987779208,0.006839727,0.012680004,0.448845144,2.885397804
KO:K00010,0.98816986,0.999875552,0.002600744,0.014940188,0.909008848,0.393760015,0.02004438,0.115169335
KO:K00012,0.722912733,0.999875552,0.062131543,0.357609456,0.55778026,0.295103922,0.102538219,0.592158451
KO:K00013,0.189118055,0.474938321,-0.227306494,-1.340876151,0.01057598,0.017430267,-0.42672471,-2.710522761
KO:K00014,0.960998114,0.999875552,0.008577154,0.049273814,0.429792296,0.249454992,0.1378245,0.799370132
KO:K00015,0.001432749,0.007897443,-0.518094001,-3.479645773,0.00090024,0.002856822,-0.536179727,-3.648979984
KO:K00016,0.64480532,0.993009208,-0.080726004,-0.465254024,0.798236228,0.367101155,-0.044815306,-0.25770325
KO:K00018,0.749336779,0.999875552,-0.055999059,-0.322195685,0.956055835,0.406759458,-0.009665034,-0.055523984
KO:K00019,0.058663086,0.190704243,-0.322698581,-1.958540643,0.058289941,0.061659088,-0.323150751,-1.961604729
KO:K00020,8.76E-05,0.00064049,-0.613945578,-4.468051159,8.69E-05,0.000520703,-0.614193575,-4.470948873
KO:K00021,0.659856116,0.996988262,0.077080998,0.444117945,0.617547043,0.314790218,0.087414949,0.504090317
KO:K00023,0.000384525,0.002462864,-0.566869649,-3.952887298,0.004080615,0.008644246,-0.473332991,-3.086776827
KO:K00024,0.863139324,0.999875552,0.030228619,0.17372959,0.864001273,0.381848382,-0.030036448,-0.172624145
KO:K00026,5.52E-10,1.85E-08,0.832699244,8.638743675,1.47E-06,2.91E-05,0.713911174,5.856748111
KO:K00027,0.003551815,0.017717703,0.479623111,3.139948448,0.020389769,0.028187612,0.390473824,2.436527437
KO:K00029,0.948075573,0.999875552,-0.01142239,-0.065620916,0.437066213,0.251551453,0.135681886,0.786708213
KO:K00030,0.936464096,0.999875552,0.013981387,0.080324806,0.745152197,0.354283027,0.056965677,0.327775164
KO:K00031,0.272491779,0.611410332,0.19070179,1.115978807,0.036821681,0.043277741,0.354222939,2.175941731
KO:K00033,0.955249487,0.999875552,0.009842557,0.056543923,0.718425007,0.346151604,-0.063180115,-0.363668686
KO:K00034,4.71E-07,6.27E-06,-0.735947101,-6.244387637,6.34E-05,0.000417134,-0.623319074,-4.57908417
KO:K00036,0.275341084,0.615408409,0.189593311,1.109249436,0.013866286,0.021291901,0.412224355,2.599159766
KO:K00038,0.990948106,0.999875552,0.001989944,0.011431382,0.161896147,0.127689172,0.241682771,1.430776744
KO:K00042,1.96E-08,4.23E-07,-0.787709547,-7.345297123,7.22E-05,0.000460091,-0.619585242,-4.53447958
KO:K00046,0.97828305,0.999875552,-0.004774661,-0.027428653,0.38748777,0.233218023,-0.150709924,-0.875765567
KO:K00050,0.187395682,0.473067275,-0.228170927,-1.34625492,0.006301275,0.012083171,-0.452851929,-2.917763445
KO:K00052,0.998730779,0.999875552,0.000279017,0.001602828,0.227736067,0.162511343,0.209219396,1.229074924
KO:K00053,0.449579797,0.846722665,0.13204111,0.765218499,0.015519718,0.023064862,0.406009918,2.552171317
KO:K00054,0.882126922,0.999875552,0.026002947,0.149426086,0.50484029,0.277342341,0.116573894,0.674263149
