KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K00001,0.999593378,0.999829032,-8.94E-05,-0.0005135,0.485204511,0.37452882,-0.121963971,-0.705899544
KO:K00003,4.83E-05,0.000776213,0.630994524,4.67239879,0.008119238,0.031505935,0.440310607,2.817179371
KO:K00004,0.520569848,0.928956891,0.112331824,0.649407459,0.381086611,0.335355374,0.152728827,0.887775578
KO:K00008,0.400509771,0.813553198,-0.146661732,-0.851717377,0.135550766,0.18288182,-0.25736465,-1.529985916
KO:K00009,0.848979002,0.999829032,0.033390795,0.191922536,0.558778641,0.400619492,0.102279779,0.590650161
KO:K00010,0.998303166,0.999829032,-0.00037302,-0.002142838,0.563474887,0.402022668,0.101066967,0.583573638
KO:K00012,0.930557879,0.999829032,-0.015284087,-0.087810654,0.924878615,0.511007205,0.016537488,0.095013627
KO:K00013,0.84533586,0.999829032,0.034205993,0.196613527,0.562601713,0.401539108,-0.101292111,-0.584887113
KO:K00014,0.723404811,0.999829032,0.062016698,0.356945886,0.281619264,0.2812965,0.187176936,1.094595273
KO:K00015,0.890755338,0.999829032,0.024087591,0.138412838,0.737654895,0.456270158,0.058701687,0.337798027
KO:K00016,0.011677135,0.064733762,0.42149298,2.670057655,0.315695009,0.301295157,0.174630419,1.018830681
KO:K00018,4.71E-05,0.000763255,0.631692967,4.681001543,0.00812643,0.031505935,0.44026599,2.816825264
KO:K00019,0.907001129,0.999829032,0.020488562,0.11772254,0.281872178,0.2812965,-0.187080328,-1.094009825
KO:K00020,0.477697859,0.901645983,-0.124054112,-0.718184262,0.035494097,0.078931912,-0.356589576,-2.192589495
KO:K00021,0.517597487,0.928737781,0.113128511,0.654072727,0.231450313,0.2514981,0.207594308,1.219096513
KO:K00023,0.098526101,0.326873837,0.283777792,1.700069026,0.554613852,0.399084291,0.103359297,0.596951179
KO:K00024,0.381423892,0.791653766,0.152621957,0.887139551,0.284587265,0.282906842,0.186046735,1.087748235
KO:K00026,0.341464552,0.740098519,0.16569735,0.965201118,0.176163618,0.214510987,0.233950299,1.382303052
KO:K00027,0.771893226,0.999829032,0.050815771,0.292292008,0.790765249,0.473582147,-0.046511684,-0.267478761
KO:K00029,0.00366853,0.025659845,0.478168171,3.127594409,0.118527233,0.170076219,0.268734173,1.602717238
KO:K00030,0.980383153,0.999829032,0.004312842,0.024775619,0.892175368,0.501706987,-0.023772638,-0.136602015
KO:K00031,0.277043417,0.652016756,0.188934605,1.105252636,0.040946094,0.087550283,0.347287239,2.127426897
KO:K00033,0.987984928,0.999829032,0.002641403,0.015173756,0.850391241,0.491112851,-0.033074975,-0.190105278
KO:K00034,0.638325282,0.994806071,0.082305617,0.474419413,0.76574849,0.465381851,-0.052223399,-0.30041052
KO:K00036,0.872426953,0.999829032,0.028159719,0.161829447,0.250600245,0.263123192,0.199483444,1.169449679
KO:K00038,0.089127295,0.304557556,0.291662497,1.751632184,0.253086184,0.264547782,0.198461317,1.16321123
KO:K00042,0.008802988,0.052245194,0.43621185,2.784756362,0.578836361,0.406768113,0.097131765,0.560630431
KO:K00046,0.765543143,0.999829032,0.052270495,0.300682176,0.331219272,0.308656529,0.169197268,0.986182885
KO:K00050,0.993638112,0.999829032,-0.001398566,-0.008034158,0.572461158,0.405373575,-0.098759101,-0.570114926
KO:K00052,0.38686002,0.797305923,0.15090705,0.876937731,0.055492835,0.105482322,0.32661538,1.985132458
KO:K00053,0.14310687,0.420742885,0.25265474,1.500058117,0.029158352,0.068801811,0.368992692,2.280641248
KO:K00054,0.003663113,0.025659845,0.478234804,3.128159466,0.011760896,0.040261861,0.421112361,2.667126494
KO:K00055,0.725077966,0.999829032,-0.061626392,-0.354690832,0.538596993,0.393853039,0.107546782,0.621413411
KO:K00057,0.014211146,0.075539354,0.410878653,2.588948059,0.003038759,0.017960955,0.48655662,3.199288087
KO:K00058,0.136453418,0.406111365,0.256792013,1.526341073,0.045638368,0.093181735,0.340052088,2.077240334
KO:K00059,0.947239016,0.999829032,-0.011606671,-0.06667974,0.786222154,0.472375794,-0.047545277,-0.273436054
KO:K00060,0.084819353,0.292936715,0.295491282,1.776810898,0.054150652,0.104086511,0.328327336,1.996791045
KO:K00064,0.5249593,0.931243662,0.111159385,0.642544158,0.392731816,0.340286781,-0.149070381,-0.866020544
KO:K00065,0.60583176,0.973299366,0.090327184,0.521020024,0.305896804,0.295651539,0.178146062,1.040007111
KO:K00066,0.575948362,0.953353226,-0.097867951,-0.564920528,0.078064135,0.131371904,-0.301809148,-1.818564182
KO:K00067,0.000198036,0.002413179,0.588890668,4.185679468,0.007063399,0.029290615,0.447259805,2.872652319
KO:K00074,0.560048505,0.94345853,0.101951372,0.588733709,0.345485575,0.317203741,0.164341283,0.957081718
KO:K00075,0.777296669,0.999829032,0.049580541,0.285169243,0.875822143,0.497549022,0.027404358,0.157485198
KO:K00076,0.218578325,0.5583329,0.213304748,1.25420717,0.030169335,0.069732052,0.36687435,2.265505223
KO:K00077,0.529653744,0.931468814,0.109910765,0.635237891,0.795315135,0.47506088,-0.045478091,-0.261522329
KO:K00087,0.830329672,0.999829032,0.037571457,0.215984085,0.168861975,0.209428705,-0.237849145,-1.406708893
KO:K00088,0.551158512,0.94098272,0.104257797,0.602197239,0.076999922,0.13000743,0.302842741,1.825419825
KO:K00090,0.695970098,0.999829032,0.068460238,0.394198978,0.235749515,0.254013038,-0.205735187,-1.207694024
KO:K00091,0.06393398,0.233628098,0.316542307,1.916970831,0.006025919,0.027107604,0.455015755,2.935334391
KO:K00096,0.875548408,0.999829032,0.02746524,0.157835336,0.676074757,0.437541705,-0.073188547,-0.421566786
KO:K00097,0.164035884,0.461782652,0.240492777,1.42329831,0.114174808,0.167266792,0.271834952,1.622676603
KO:K00099,0.282948073,0.661776031,0.186669985,1.091523482,0.02635731,0.064705931,0.375194249,2.325190877
KO:K00100,0.354648758,0.755920757,-0.161286429,-0.938811249,0.615769132,0.417721766,-0.087855403,-0.50664996
