Mass,Soil_Drought_P11_Site1_0,Soil_Drought_P11_Site1_48,Soil_Drought_P11_Site1_6,Soil_Drought_P12_Site1_0_CTRL,Soil_Drought_P12_Site1_48_CTRL,Soil_Drought_P12_Site1_6_CTRL,Soil_Drought_P15_Site1_0,Soil_Drought_P15_Site1_48,Soil_Drought_P15_Site1_6,Soil_Drought_P24_Site2_0,Soil_Drought_P24_Site2_48,Soil_Drought_P24_Site2_6,Soil_Drought_P26_Site2_0,Soil_Drought_P26_Site2_48,Soil_Drought_P26_Site2_6,Soil_Drought_P34_Site3_0,Soil_Drought_P34_Site3_48,Soil_Drought_P34_Site3_6,Soil_Drought_P35_Site3_0,Soil_Drought_P35_Site3_48,Soil_Drought_P35_Site3_6,Soil_PreDrought_P11_Site1_0,Soil_PreDrought_P11_Site1_48,Soil_PreDrought_P11_Site1_6,Soil_PreDrought_P15_Site1_0,Soil_PreDrought_P15_Site1_48,Soil_PreDrought_P15_Site1_6,Soil_PreDrought_P24_Site2_0,Soil_PreDrought_P24_Site2_48,Soil_PreDrought_P24_Site2_6,Soil_PreDrought_P26_Site2_0,Soil_PreDrought_P26_Site2_48,Soil_PreDrought_P26_Site2_6,Soil_PreDrought_P34_Site3_0,Soil_PreDrought_P34_Site3_48,Soil_PreDrought_P34_Site3_6,Soil_PreDrought_P35_Site3_0,Soil_PreDrought_P35_Site3_48,Soil_PreDrought_P35_Site3_6
149.0243854,0,0,0,0,0,0,0,0,0,-0.001936233,0,0,0,-0.00245152,-0.001568282,0,0,0,0,-0.010073029,-0.001698815,-0.002513823,0,-0.001006697,-0.000416037,-0.001703958,-0.000667839,3.44E-05,0.000198183,0.0004274,-0.002225951,-0.004474609,-0.001184682,0.002923045,-0.000896192,0.000469559,0.001056847,0.000442644,9.84E-05
161.0455118,0,0,0,0,0,0,-0.007299935,-0.002696845,-0.001441059,0,0,0,0,0,0,0,0,0,0,0,-0.002088716,0,0,-0.001225809,-0.009354396,0,-0.00074799,0,-0.003014937,-0.007865425,0,0,0,0,-0.005791762,0,0,0,-0.001881957
161.0818863,-0.008394248,-0.003328119,-0.001223237,0,0,0,0,0,0,-0.0019156,0,-0.003394159,0,-0.002426629,0,0,0,0,-0.007550231,0,-0.002027092,-0.003693049,0,-0.001591346,-0.004350067,-0.003299164,-0.001308566,-0.003446642,-0.002493849,-0.005494846,0,-0.006448538,-0.002114058,-0.005401255,-0.005234626,-0.003344242,-0.004589654,-0.004142037,-0.001680255
165.0192912,-0.009425864,0,0,-0.008312409,-0.005283737,-0.003778571,-0.004792225,-0.002469364,-0.001479579,-0.002035752,-0.002191872,-0.003379636,-0.004325749,0,0,-0.006532833,0,-0.001513048,0,0,-0.002122224,-0.005325472,-0.004818078,-0.001610163,-0.008248283,-0.004178403,-0.001251453,-0.003212253,-0.003092461,-0.007105291,-0.002208566,-0.00503519,-0.002269357,-0.003117005,-0.005684175,-0.003432132,-0.005707675,-0.00585437,-0.00178185
167.0349522,0,0,0,-0.006901572,-0.006397427,-0.004702388,-0.005767056,-0.00245896,0,-0.001764397,-0.002343251,-0.002842444,0,-0.002481198,0,0,0,0,0,0,-0.002072882,-0.005995698,0,0,0,-0.004981684,0,-0.003599976,-0.003450982,-0.006942732,0,-0.006491974,0,0,-0.005102943,-0.004517395,0,0,0
168.0302062,0,-0.00117991,-0.000970359,-0.008156424,-0.003582886,-0.004382158,0.009637636,-0.001039067,-0.001361956,0.001034538,0.002184281,0.007423499,-0.000651142,0,0,0.001325317,-0.000537471,-0.000544061,0,-0.005137155,0,0.006440724,0,0,0.00304645,-0.004498689,-0.000790983,0.024973504,0,0.006359704,-0.000607735,0.000120964,0,0.000739866,0.006592601,0.002748033,-0.004456227,-0.004904479,-0.001896289
171.066254,-0.00764655,0,0,-0.00906193,0,-0.003738622,-0.006552286,-0.002363399,0,0,-0.002755747,-0.003330369,-0.004805856,0,0,-0.00707457,0,0,-0.006817314,0,-0.002148717,0,0,0,-0.007050577,0,0,0,-0.003036099,0,0,0,0,-0.006474104,-0.004868708,0,-0.005109605,0,-0.001908446
172.0614913,0,-0.00238091,0,-0.008140143,-0.00634146,-0.00483306,0,-0.001401712,-0.001424431,0,0,0,0,0,0,0,0,0,0,0,-0.002149476,0,0,-0.001575724,0,0,-0.001471768,0,0,0,0,0,0,0,0,0,0,0,0
172.09789,0,0,0,-0.008890232,0,0,-0.005185776,-0.002694402,-0.001479266,0,0,-0.000820133,-0.004053604,0,0,0,0,0,-0.006185338,-0.004569236,-0.001893311,-0.005941292,-0.005093214,0,-0.003774947,-0.001747782,-0.001200002,-0.000664382,-0.000443466,0,-0.002240643,-0.00530034,-0.002251594,-0.003391152,-0.00525634,-0.004589127,-0.003247428,-0.002769004,-0.001594667
173.0455061,0,0,0,-0.007320528,0,-0.004939805,-0.00677157,-0.002667242,0,0,-0.0026326,-0.003871278,-0.00422706,0,0,0,-0.0035744,0,0,0,-0.00212848,-0.005618152,0,-0.00151183,-0.009534311,0,-0.001389928,0,-0.003455055,0,0,0,-0.002322656,0,0,0,0,0,-0.001611502
