Condition,Sample,Time.d,K00004,K00128,K00138,K00156,K00925,K01026,K01034,K01035,K01039,K01040,K01060,K01067,K01438,K01443,K01512,K01574,K01640,K01644,K01738,K01739,K01740,K01895,K02535,K03366,K10854,K10855,K10856,K12339,K13929,K16363,K18118,K18122,K18369,K18371,K18382,K19670,Site.x,flux.acetate,log.flux.acetate,Site.y,flux.acetone,log.flux.acetone,Site,flux.diacetyl,log.flux.diacetyl
drought,S2P4,0,2.463164,8.52485,6.848377,7.667579,6.105759,2.463164,2.463164,2.463164,4.869476,2.463164,2.463164,5.561403,2.463164,4.027869,2.463164,2.463164,6.941862,6.608638,7.898005,6.407624,6.082383,8.296605,6.834511,3.461763,2.463164,2.463164,2.463164,8.377564,2.463164,2.463164,7.801693,4.274573,2.463164,2.463164,3.461763,2.463164,Site2,83.99985333333333,2.291192447484806,Site2,18.214173333333335,1.6797790775753185,Site2,3.353473333333333,1.641244709196037
drought,S2P4,48,2.463164,9.728497,8.175187,9.188609,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,6.945056,3.897846,2.463164,6.270681,5.202901,7.451783,7.269915,8.182555,6.501136,4.868895,9.497019,6.093395,4.311267,2.463164,2.463164,2.463164,8.544588,2.463164,2.463164,6.799027,2.463164,2.463164,2.463164,6.501136,2.463164,Site2,108.98157,2.4049891326036916,Site2,179.679605,2.6241482232796414,Site2,1.3801899999999998,1.6027682248431778
drought,S2P4,6,2.463164,7.981247,6.127977,3.408248,6.22631,4.048542,3.714341,3.714341,3.999405,3.57387,2.463164,3.714341,4.937076,4.38199,5.273811,3.408248,6.168127,5.292355,8.04428,6.187786,6.033274,9.094159,9.572431,3.200337,11.91822,4.452929,4.486963,7.220407,3.494934,5.662319,5.157004,4.306795,5.51331,3.777785,3.646638,4.812102,Site2,105.33962333333334,2.3899271732106766,Site2,85.86459333333333,2.284392569598328,Site2,71.39276333333333,2.2752582751089223
drought,S2P6,0,2.463164,7.198691,5.544254,9.651293,3.641546,3.641546,2.463164,3.641546,4.665755,2.463164,2.463164,2.463164,2.463164,4.586066,2.463164,2.463164,4.088958,8.839448,8.295505,6.186229,6.211822,8.510762,7.947051,2.463164,2.463164,2.463164,2.463164,9.557633,2.463164,2.463164,2.463164,2.463164,4.205749,2.463164,2.463164,2.463164,Site2,-6.092163333333333,1.0176936663249387,Site2,-1.5860499999999995,1.0972911002211951,Site2,-19.040273333333335,0.7232555283042191
drought,S2P6,48,2.463164,8.583027,7.40788,8.644886,3.398401,4.09111,2.463164,2.463164,2.463164,2.463164,3.504447,2.463164,6.601407,2.463164,3.599176,3.398401,7.010919,6.039064,8.544133,4.927214,7.544078,9.981605,8.757176,2.463164,3.971708,3.764502,2.463164,7.855861,2.463164,2.463164,7.257438,2.463164,2.463164,2.463164,6.753953,2.463164,Site2,-12.45366,0.12876089467844506,Site2,67.05872,2.1759191333987373,Site2,-22.28854,0
drought,S2P6,6,2.463164,8.482439,4.129919,6.651831,5.747751,3.84732,4.025157,4.025157,2.463164,2.463164,3.633783,2.463164,2.463164,4.025157,4.476407,2.463164,6.101088,4.438015,7.598532,6.877472,7.174575,8.148184,8.590958,3.241247,2.463164,2.463164,2.463164,8.82331,2.463164,4.438015,5.928863,2.463164,2.463164,3.96897,2.463164,4.31528,Site2,27.37177,1.858236974863516,Site2,29.117780000000003,1.840424649271836,Site2,4.708485,1.6660491272651363
drought,S3P4,0,2.463164,7.823429,6.607948,9.142637,4.036599,2.463164,2.463164,2.463164,4.171845,2.463164,3.88325,4.293318,5.446727,4.687414,4.687414,2.463164,6.215113,8.84864,9.364738,6.215113,7.06397,8.927945,8.530691,5.968967,2.463164,2.463164,2.463164,8.188136,4.847205,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,4.293318,Site3,50.36499666666667,2.080318714505855,Site3,2.3868633333333333,1.2805155892968936,Site3,21.440443333333334,1.9003108441100294
drought,S3P4,48,3.670125,8.828805,6.909042,8.64201,5.766485,2.463164,2.463164,2.463164,4.126595,4.028826,3.670125,5.528444,5.766485,4.652873,3.921928,5.159439,5.970142,8.154524,8.302073,7.850039,6.6092,8.721054,7.894136,3.515676,2.463164,2.463164,2.463164,8.311393,3.515676,2.463164,5.738837,4.978929,4.379535,2.463164,6.209656,2.463164,Site3,103.1649,2.380711955004864,Site3,196.74987,2.6671128624530924,Site3,-10.00328,1.2933275749824715
drought,S3P4,6,2.463164,7.773771,4.732368,8.516255,4.547811,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,4.815781,4.332319,4.208807,2.463164,5.038807,7.411362,8.351667,6.384137,6.060399,8.283,8.498195,4.643341,2.463164,2.463164,2.463164,7.916643,4.071179,4.732368,7.143182,2.463164,2.463164,2.463164,2.463164,2.463164,Site3,-1.0614933333333332,1.270245044719538,Site3,138.90078666666668,2.5035247252071606,Site3,21.51597,1.901154401998474
pre-drought,S2P4,0,2.463164,7.489898,7.065896,2.463164,2.463164,3.799542,2.463164,2.463164,4.074038,4.483373,2.463164,2.463164,4.567743,4.721634,4.721634,2.463164,5.845137,7.540024,12.815549,3.63024,7.626075,8.835095,9.550883,4.18997,2.463164,2.463164,2.463164,6.891346,2.463164,5.042833,2.463164,2.463164,2.463164,2.463164,2.463164,3.799542,Site2,-11.0617075,0.4939655810744583,Site2,-0.6446625000000005,1.1471573688456915,Site2,-2.962305,1.505956208097764
pre-drought,S2P4,48,2.463164,7.72958,6.969432,4.62535,5.521196,2.463164,3.554339,2.463164,3.784941,3.732097,3.333275,2.463164,5.598121,4.769745,6.247093,3.413557,5.018713,5.969012,7.760189,4.746749,5.959383,10.70192,9.17865,3.883275,7.814228,7.402645,5.795691,6.070845,2.463164,5.521196,3.333275,2.463164,4.746749,5.245235,5.018713,3.676359,Site2,-12.74738,0,Site2,5.4507,1.38670044617017,Site2,-14.43137,1.0906136502506059
pre-drought,S2P4,6,3.78709,7.891413,5.921055,3.362449,5.900991,4.137408,3.178332,2.463164,4.344801,2.463164,3.306015,2.463164,5.626857,3.916485,4.446557,3.464718,6.457051,6.562514,7.790425,6.510753,6.15898,9.280124,9.533762,3.975858,5.480469,4.742291,4.52246,7.59773,3.178332,5.810607,5.034853,3.639317,5.533897,4.323418,2.463164,3.5116,Site2,-6.6204125,0.9819429141929311,Site2,4.1791624999999994,1.3453320508246358,Site2,9.386244999999999,1.7433018397672722
pre-drought,S2P6,0,2.463164,7.214998,8.692878,2.463164,6.215452,2.463164,5.472814,2.463164,4.792056,2.463164,6.659314,2.463164,5.567293,2.463164,6.326668,2.463164,6.946598,5.42307,8.11647,3.898622,7.944896,11.624321,9.579107,5.928083,2.463164,2.463164,4.943756,8.21328,2.463164,5.013656,2.463164,2.463164,2.463164,4.423629,4.870046,5.013656,Site2,-6.80728,0.9686580918184016,Site2,-3.312395,0.9904941826662284,Site2,5.099195,1.6729785928444567
pre-drought,S2P6,48,2.463164,9.506319,2.463164,9.43346,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,8.855204,2.463164,6.771319,8.692986,9.414656,2.463164,2.463164,2.463164,2.463164,6.990763,2.463164,2.463164,2.463164,2.463164,2.463164,2.463164,6.771319,2.463164,Site2,-8.59364,0.8198613323511912,Site2,6.5477,1.419831543952051,Site2,-10.58883,1.2707895792790809
pre-drought,S2P6,6,2.463164,8.412133,5.042508,3.706118,6.536922,4.173843,4.351976,2.463164,4.26615,3.706118,2.463164,4.613303,5.443546,5.114108,5.246996,2.463164,6.813777,5.615814,7.420821,5.984664,6.771188,9.119289,9.492767,3.90535,2.463164,2.463164,2.463164,8.058686,3.456728,4.710923,6.02165,3.098885,3.776815,4.392764,3.630065,4.124885,Site2,-5.343215,1.0643637081489363,Site2,5.9693000000000005,1.4026368504285665,Site2,10.355135,1.7579125370422226
pre-drought,S3P4,0,2.463164,8.911638,7.682731,4.888043,6.117229,3.729078,4.439222,4.439222,4.54219,4.203894,5.443415,2.463164,3.910767,4.726401,6.639788,2.463164,5.541544,6.238143,7.180559,6.019293,7.071357,9.559612,9.372007,2.463164,5.676961,5.760509,4.439222,7.282053,4.962105,4.962105,2.463164,2.463164,4.809667,2.463164,2.463164,5.493339,Site3,-2.726015,1.1999178308763878,Site3,-5.4695475,0.8139092253046637,Site3,-2.4133425,1.5192808658850039
pre-drought,S3P4,48,2.463164,7.834868,8.424972,3.714757,7.603073,5.704934,5.137279,5.007579,4.674866,2.463164,4.5846,2.463164,6.283097,3.31169,5.482306,5.137279,5.560501,5.274577,7.787554,5.57563,6.79278,9.595571,9.502968,3.31169,4.30737,4.18516,3.408571,7.123044,3.838034,4.913696,6.413985,3.574244,3.948529,5.605409,3.200592,5.177922,Site3,-11.26166,0.4552811780065513,Site3,-9.5623,0,Site3,19.36027,1.8764996860122003
