Sample_ID,Condition,Site,Time,Condition_time
P11SSC1_190916_c,PreDrought,Site1,0hr,PreDrought_0hr
P11SSC1_190916_f,PreDrought,Site1,6hr,PreDrought_6hr
P11SSC1_190916_i,PreDrought,Site1,48hr,PreDrought_48hr
P11SSC1_191110_c,Drought,Site1,0hr,Drought_0hr
P11SSC1_191119_f,Drought,Site1,6hr,Drought_6hr
P11SSC1_191119_i,Drought,Site1,48hr,Drought_48hr
P15SSC1_190912_c,PreDrought,Site1,0hr,PreDrought_0hr
P15SSC1_190913_f,PreDrought,Site1,6hr,PreDrought_6hr
P15SSC1_190915_i,PreDrought,Site1,48hr,PreDrought_48hr
P15SSC1_191107_f,Drought,Site1,6hr,Drought_6hr
P15SSC1_191107_i,Drought,Site1,48hr,Drought_48hr
P15SSCI_191107_c,Drought,Site1,0hr,Drought_0hr
P24SSC2_190915_c,PreDrought,Site2,0hr,PreDrought_0hr
P24SSC2_190915_f,PreDrought,Site2,6hr,PreDrought_6hr
P24SSC2_190915_i,PreDrought,Site2,48hr,PreDrought_48hr
P24SSC2_191109_c,Drought,Site2,0hr,Drought_0hr
P24SSC2_191109_f,Drought,Site2,6hr,Drought_6hr
P24SSC2_191109_i,Drought,Site2,48hr,Drought_48hr
P26SSC2_190918_f,PreDrought,Site2,6hr,PreDrought_6hr
P26SSC2_190918_i,PreDrought,Site2,48hr,PreDrought_48hr
P26SSC2_191112_c,Drought,Site2,0hr,Drought_0hr
P26SSC2_191112_f,Drought,Site2,6hr,Drought_6hr
P26SSC2_191112_i,Drought,Site2,48hr,Drought_48hr
P34SSC2_190917_c,PreDrought,Site3,0hr,PreDrought_0hr
P34SSC2_190917_f,PreDrought,Site3,6hr,PreDrought_6hr
P34SSC2_190917_i,PreDrought,Site3,48hr,PreDrought_48hr
P34SSC2_191111_c,Drought,Site3,0hr,Drought_0hr
P34SSC2_191111_f,Drought,Site3,6hr,Drought_6hr
P34SSC2_191111_i,Drought,Site3,48hr,Drought_48hr
P35SSC1_190914_c,PreDrought,Site3,0hr,PreDrought_0hr
P35SSC1_190914_f,PreDrought,Site3,6hr,PreDrought_6hr
P35SSC1_190914_i,PreDrought,Site3,48hr,PreDrought_48hr
P35SSC1_191108_c,Drought,Site3,0hr,Drought_0hr
P35SSC1_191108_f,Drought,Site3,6hr,Drought_6hr
P35SSC1_191108_i,Drought,Site3,48hr,Drought_48hr
