SampleID,Condition,Site,Time,Condition_time,Condition_site
X3300045884_Drought_Site1_6hr,Drought,Site1,6hr,Drought_6hr,Drought_Site1
X3300045910_PreDrought_Site1_0hr,PreDrought,Site1,0hr,PreDrought_0hr,PreDrought_Site1
X3300045920_PreDrought_Site1_48hr,PreDrought,Site1,48hr,PreDrought_48hr,PreDrought_Site1
X3300045926_Drought_Site2_48hr,Drought,Site2,48hr,Drought_48hr,Drought_Site2
X3300045927_Drought_Site2_6hr,Drought,Site2,6hr,Drought_6hr,Drought_Site2
X3300045928_PreDrought_Site1_0hr,PreDrought,Site1,0hr,PreDrought_0hr,PreDrought_Site1
X3300045929_PreDrought_Site1_48hr,PreDrought,Site1,48hr,PreDrought_48hr,PreDrought_Site1
X3300045930_PreDrought_Site2_6hr,PreDrought,Site2,6hr,PreDrought_6hr,PreDrought_Site2
X3300045931_Drought_Site2_0hr,Drought,Site2,0hr,Drought_0hr,Drought_Site2
X3300045932_PreDrought_Site2_6hr,PreDrought,Site2,6hr,PreDrought_6hr,PreDrought_Site2
X3300045933_PreDrought_Site2_48hr,PreDrought,Site2,48hr,PreDrought_48hr,PreDrought_Site2
X3300045934_PreDrought_Site3_6hr,PreDrought,Site3,6hr,PreDrought_6hr,PreDrought_Site3
X3300045936_Drought_Site2_0hr,Drought,Site2,0hr,Drought_0hr,Drought_Site2
X3300045940_Drought_Site1_0hr,Drought,Site1,0hr,Drought_0hr,Drought_Site1
X3300045941_PreDrought_Site2_0hr,PreDrought,Site2,0hr,PreDrought_0hr,PreDrought_Site2
X3300045944_PreDrought_Site2_48hr,PreDrought,Site2,48hr,PreDrought_48hr,PreDrought_Site2
X3300045945_PreDrought_Site3_0hr,PreDrought,Site3,0hr,PreDrought_0hr,PreDrought_Site3
X3300045946_Drought_Site3_48hr,Drought,Site3,48hr,Drought_48hr,Drought_Site3
X3300045947_Drought_Site3_6hr,Drought,Site3,6hr,Drought_6hr,Drought_Site3
X3300045952_Drought_Site2_6hr,Drought,Site2,6hr,Drought_6hr,Drought_Site2
X3300045953_Drought_Site3_48hr,Drought,Site3,48hr,Drought_48hr,Drought_Site3
X3300045955_Drought_Site3_0hr,Drought,Site3,0hr,Drought_0hr,Drought_Site3
X3300045964_Drought_Site1_6hr,Drought,Site1,6hr,Drought_6hr,Drought_Site1
X3300045965_PreDrought_Site3_48hr,PreDrought,Site3,48hr,PreDrought_48hr,PreDrought_Site3
X3300045966_PreDrought_Site3_0hr,PreDrought,Site3,0hr,PreDrought_0hr,PreDrought_Site3
X3300045967_PreDrought_Site3_6hr,PreDrought,Site3,6hr,PreDrought_6hr,PreDrought_Site3
X3300045968_PreDrought_Site3_48hr,PreDrought,Site3,48hr,PreDrought_48hr,PreDrought_Site3
X3300045975_PreDrought_Site1_6hr,PreDrought,Site1,6hr,PreDrought_6hr,PreDrought_Site1
X3300045977_Drought_Site1_0hr,Drought,Site1,0hr,Drought_0hr,Drought_Site1
X3300045978_Drought_Site1_48hr,Drought,Site1,48hr,Drought_48hr,Drought_Site1
X3300046482_Drought_Site3_6hr,Drought,Site3,6hr,Drought_6hr,Drought_Site3
X3300049730_PreDrought_Site1_6hr,PreDrought,Site1,6hr,PreDrought_6hr,PreDrought_Site1
X3300049731_Drought_Site1_48hr,Drought,Site1,48hr,Drought_48hr,Drought_Site1
X3300049732_PreDrought_0hr,PreDrought,Site2,0hr,PreDrought_0hr,PreDrought_Site2
X3300049733_Drought_Site2_48hr,Drought,Site2,48hr,Drought_48hr,Drought_Site2
X3300049734_Drought_Site3_0hr,Drought,Site3,0hr,Drought_0hr,Drought_Site3
