Feature,Kingdom,Phylum,Class,Order,Family,Genus
x363,Eukaryota,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus
x723,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Coemansia
x743,Eukaryota,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus
x1625,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Linderina
x1746,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Martensiomyces
x1994,Eukaryota,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Neoconidiobolus
x2487,Eukaryota,Zoopagomycota,unclassified,Ramicandelaberales,Ramicandelaberaceae,Ramicandelaber
x103,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
x598,Bacteria,Verrucomicrobia,Spartobacteria,unclassified,unclassified,Candidatus_Xiphinematobacter
x635,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Cephaloticoccus
x691,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
x754,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita
x1167,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Geminisphaera
x1284,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula
x1556,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera
x1820,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum
x2016,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus
x2105,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
x2223,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobia_subdivision_3,Pedosphaera
x2385,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
x2563,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium
x2584,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
x3127,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium
x43,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Acionnavirus
x71,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Aegirvirus
x1459,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Jilinvirus
x1483,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Kembevirus
x1631,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Lirvirus
x2007,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Nerrivikvirus
x2353,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pontusvirus
x2361,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Poseidonvirus
x3218,Bacteria,unknown,unknown,unknown,unknown,unknown
x649,Viruses,unclassified_phages,Caudoviricetes,Caudovirales,Myoviridae,Charybdisvirus
x1086,Viruses,unclassified_phages,Caudoviricetes,Caudovirales,Podoviridae,Fipvunavirus
x1474,Viruses,unclassified_phages,Caudoviricetes,Caudovirales,Myoviridae,Kanaloavirus
x321,Eukaryota,unclassified,Pelagophyceae,Pelagomonadales,unclassified,Aureococcus
x516,Bacteria,unclassified,Candidatus_Babeliae,Candidatus_Babeliales,Candidatus_Babeliaceae,Candidatus_Babela
x971,Eukaryota,unclassified,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus
x1907,Eukaryota,unclassified,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga
x2645,Eukaryota,unclassified,Choanoflagellata,Craspedida,Salpingoecidae,Salpingoeca
x2946,Eukaryota,unclassified,unclassified,unclassified,Apusomonadidae,Thecamonas
x838,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga
x1073,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium
x1186,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Geotoga
x1515,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga
x1728,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga
x1775,Bacteria,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Mesoaciditoga
x1782,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
x2079,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Oceanotoga
x2256,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga
x2447,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga
x2997,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho
x3005,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga
x486,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium
x2970,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator
x2972,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium
x3001,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfurimonas
x561,Archaea,Thaumarchaeota,Nitrososphaeria,Candidatus_Nitrosocaldales,Candidatus_Nitrosocaldaceae,Candidatus_Nitrosocaldus
x562,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrosocosmicus
x564,Archaea,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus_Nitrosotalea
x565,Archaea,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus_Nitrosotenuis
x2033,Archaea,Thaumarchaeota,unclassified,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus
x2034,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera
x19,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
x212,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma
x534,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus_Hepatoplasma
x537,Bacteria,Tenericutes,unclassified,unclassified,unclassified,Candidatus_Izimaplasma
x574,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma
x1017,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma
x1302,Bacteria,Tenericutes,Mollicutes,Haloplasmatales,Haloplasmataceae,Haloplasma
x1780,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma
x1944,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
x1945,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasmopsis
x2793,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma
x3104,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma
x17,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium
x176,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminiphilus
x177,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminivibrio
x179,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium
x180,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminomonas
x710,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus
x924,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio
x1464,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella
x2468,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter
x2872,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes
x2952,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio
x3007,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermovirga
x258,Eukaryota,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia
x268,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis
