Tax_ID,X3300044942.Pre_drought_6hr,X3300044943.Pre_Drought_48hr,X3300044944.Pre_drought_0hr,X3300044945.Drought_6hr,X3300045458.Pre_Drought_48hr,X3300045459.Drought_6hr,X3300045460.Drought_48_hr,X3300045461.Pre_drought_0hr,X3300045462.Pre_drought_6hr,X3300045463.Pre_Drought_48hr,X3300045464.Drought_0hr,X3300045465.Drought_48_hr,X3300045466.Pre_drought_0hr,X3300045467.Pre_drought_6hr,X3300045468.Pre_Drought_48hr,X3300045469.Drought_0hr,X3300045470.Drought_6hr,X3300045471.Drought_6hr,X3300045472.Drought_48_hr,X3300045473.Drought_48_hr,X3300048051.Drought_0hr,X3300048052.Pre_drought_0hr,X3300048053.Pre_Drought_48hr,X3300048054.Drought_0hr,X3300048092.Pre_drought_0hr,X3300048093.Pre_drought_6hr,X3300048094.Pre_Drought_48hr,X3300048095.Drought_6hr,X3300048096.Drought_48_hr,X3300048099.Pre_drought_0hr,X3300048100.Pre_drought_6hr,X3300049511.Drought_6hr,X3300049512.Drought_0hr,X3300049557.Drought_48_hr,X3300049628.Drought_0hr
x1,0,0,19,0,0,0,16,8,60,11,40,299,0,6,1,12,0,19,21,3,0,0,0,0,5,0,0,0,14,51,0,19,8,191,17
x2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
x3,59,4,4,0,9,0,0,0,24,20,27,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,14,10,15,0,3
x4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
x5,5,8,0,0,0,0,0,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0
x6,39,0,6,11,0,0,0,4,11,0,0,0,0,38,0,3,15,35,4,34,0,0,0,0,0,0,0,24,0,0,0,5,2,14,31
x7,3,0,0,0,0,0,0,18,0,0,6,0,102,70,0,0,0,0,3,23,0,0,0,0,17,5,0,9,28,20,0,21,0,0,0
x8,406,115,92,155,325,114,202,36,235,277,116,66,101,216,19,68,112,264,31,102,13,0,0,2,123,362,280,133,84,43,132,638,78,55,203
x9,31,0,0,4,0,0,0,0,19,10,22,0,0,0,0,0,0,16,0,0,0,0,0,0,29,21,0,3,3,0,11,0,5,0,30
x10,21,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,5,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x11,501,119,115,90,281,43,47,150,463,227,90,65,314,195,13,132,237,125,183,83,0,0,0,0,0,0,0,119,0,20,0,208,45,38,160
x12,19,16,18,18,9,0,11,11,27,0,0,12,0,0,0,0,15,15,17,16,0,0,3,0,9,18,16,11,0,7,17,11,19,5,11
x13,182,70,46,69,223,0,35,1016,280,137,38,17,14,95,0,40,154,66,68,65,0,8,6,0,47,186,99,120,100,147,137,615,46,28,69
x14,83,34,38,0,63,0,38,44,29,10,0,41,20,7,0,8,0,5,0,32,4,0,0,2,49,92,56,38,17,83,47,2,93,42,58
x15,223,75,15,69,171,105,74,38,131,129,44,47,39,20,44,5,126,48,49,73,10,0,0,0,47,93,109,90,53,76,114,87,108,52,87
x16,101,43,57,14,63,0,16,19,38,12,0,9,65,51,0,21,27,96,58,58,0,0,7,0,27,143,50,33,19,19,81,72,43,28,55
x17,232,104,73,87,116,20,48,48,86,7038,116,21,103,118,16,140,58,78,59,111,14,9,0,6,84,152,71,67,87,67,122,86,85,77,80
x18,155,60,37,58,46,0,16,29,232,59,44,0,43,126,0,26,69,79,34,34,7,0,0,7,35,157,78,51,32,67,57,68,58,28,3385
x19,54,27,11,21,7,0,0,0,25,26,0,0,41,18,0,0,0,9,0,0,0,0,0,0,0,7,14,3,12,15,14,15,0,0,4
x20,1012,200,140,88,401,0,23,156,637,265,17,28,142,225,55,90,89,279,119,89,4,29,38,16,442,470,389,214,245,226,412,319,97,101,213
x21,1788,1187,661,384,1027,467,352,520,1770,1334,781,453,474,788,197,360,623,1282,1325,791,18,162,126,484,945,1786,1154,794,486,850,1211,879,506,422,908
x22,60,14,9,6,537,69,97,184,526,215,26,35,711,419,0,181,272,94,24,171,0,8,0,8,52,80,66,52,57,587,18,391,27,39,69
x23,43,13,22,6,42,37,0,7,42,11,0,0,11,36,0,7,25,23,11,15,0,0,0,5,21,53,14,48,25,12,31,50,31,17,3
x24,4,16,22,0,9,0,0,13,5,27,0,0,0,0,0,16,12,7,6,0,0,0,0,0,14,12,50,9,0,10,0,3,0,4,7
x25,167,78,36,28,90,0,0,50,32,134,13,18,15,47,0,22,50,35,19,87,0,0,0,0,10,80,33,67,38,48,67,10,41,61,46
x26,6258,439,94,199,1217,16,80,803,668,1099,132,15,164,493,263,302,328,503,164,742,0,3,11,14,545,881,530,564,230,301,764,812,13844,104,480
x27,49,9,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,5
x28,325,112,51,430,116,401,495,41,231,99,535,187,97,293,148,161,291,298,32,332,22,12,0,56,106,213,91,345,316,24,93,82,190,261,83
x29,242,12807,66,10,7781,28,114,76,391,368,4848,20,66,207,0,31,80,94,69,59,9,17,18,0,123,202,219,99,18,219,363,261,36,17,65
x30,3548,1166,992,298,1226,144,416,1107,4096,3082,627,425,1049,3599,404,675,1372,1261,1375,806,85,66,54,70,741,2033,1313,643,465,829,1230,36328,611,302,857
