SampleID,Condition,Acetate-C2,Acetone-C2
X3300044942_Site3_PreDrought_6hr,-1,0,5
X3300044943_Site3_PreDrought_48hr,-1,-11,-4
X3300044944_Site3_PreDrought_0hr,-1,-2,-5
X3300044945_Site3_Drought_6hr,1,49,118
X3300045458_Site1_PreDrought_48hr,-1,na,na
X3300045459_Site1_Drought_6hr,1,na,na
X3300045460_Site1_Drought_48hr,1,na,na
X3300045461_Site2_PreDrought_0hr,-1,-10,0
X3300045462_Site2_PreDrought_6hr,-1,-1,5
X3300045463_Site2_PreDrought_48hr,-1,-12,5
X3300045464_Site2_Drought_0hr,1,67,7
X3300045465_Site2_Drought_48hr,1,109,180
X3300045466_Site2_Pre_drought_0hr,-1,-5,-6
X3300045467_Site2_PreDrought_6hr,-1,-7,6
X3300045468_Site2_PreDrought_48hr,-1,-8,6
X3300045469_Site2_Drought_0hr,1,2,-5
X3300045470_Site2_Drought_6hr,1,3,29
X3300045471_Site3_Drought_6hr,1,na,na
X3300045472_Site3_Drought_48hr,1,na,na
X3300045473_Site2_Drought_48hr,1,25,52
X3300048051_Site1_Drought_0hr,1,na,na
X3300048052_Site3_PreDrought_0hr,-1,na,na
X3300048053_Site3_PreDrought_48hr,-1,na,na
X3300048054_Site3_Drought_0hr,1,na,na
X3300048092_Site1_PreDrought_0hr,-1,na,na
X3300048093_Site1_PreDrought_6hr,-1,na,na
X3300048094_Site1_PreDrought_48hr,-1,na,na
X3300048095_Site1_Drought_6hr,1,na,na
X3300048096_Site1_Drought_48hr,1,na,na
X3300048099_Site1_PreDrought_0hr,-1,na,na
X3300048100_Site1_PreDrought_6hr,-1,na,na
X3300049511_Site2_Drought_6hr,1,124,89
X3300049512_Site3_Drought_0hr,1,36,7
X3300049557_Site3_Drought_48hr,1,144,178
X3300049628_Site1_Drought_0hr,1,na,na
