,1_drought_0hr_site1_wat,2_drought_0hr_site1_pyru,3_drought_6hr_site2_pyru,4_drought_0hr_site2_pyru,5_drought_0hr_site1_pyru,6_drought_0hr_site3_pyru,7_pre_0hr_site1_pyru,8_pre_0hr_site2_pyru,9_pre_0hr_site2_pyru,10_pre_0hr_site3_pyru,11_pre_0hr_site3_pyru
2.Oxoisocaproate,1,1,1,1,1,4,6,5,4,5,4
3.Hydroxybutyrate,1,1,1,1,1,1,1,1,1,1,4
Acetate,19,35,31,31,24,11,22,38,30,55,26
Acetone,4,1,1,1,1,4,1,4,4,1,1
Alanine,18,9,13,9,7,9,24,21,15,20,17
Benzoate,1,1,1,1,1,1,1,1,1,4,1
Betaine,4,4,1,1,1,1,1,1,1,1,1
Ethanol,28,24,12,22,22,12,12,17,21,19,18
Formate,1,4,6,16,4,11,17,38,40,23,31
Glutamate,11,7,10,10,10,6,12,12,8,6,10
Glycerol,5,6,7,5,8,6,6,8,8,6,7
Glycine,5,4,7,6,4,4,12,9,6,8,7
Isoleucine,4,4,4,4,4,4,7,7,4,4,4
Lactate,4,4,11,4,4,7,6,7,4,12,7
Leucine,7,6,6,6,5,5,12,11,7,7,6
Methanol,508,329,203,370,372,322,150,375,367,222,326
Phenylalanine,1,1,1,1,1,1,4,4,1,4,1
Pyroglutamate,8,5,12,8,5,5,22,19,10,16,9
Pyruvate,4,5,9,5,4,7,11,13,10,11,10
Succinate,1,4,4,1,1,1,1,1,1,1,1
Threonine,4,4,4,4,4,4,6,7,4,4,4
Trehalose,18,4,7,6,13,4,1,1,1,1,1
Uracil,1,1,4,1,1,4,4,5,4,4,4
Valine,8,6,8,6,5,5,15,13,8,9,8
