"","Label","AUC","Pyr","Cond","AUC.a","umol","mol","mass.13C.g","perc.mol","perc.mass"
"S1P1","S1P1",0.656241681599999,"C1","Drought",0.22625539791,0.00710803958074056,7.10803958074056e-09,9.24045145496273e-08,0.000625933949431067,0.000625933949431067
"S1P3","S1P3",1.7902950024,"C1","Drought",1.36030871871,0.0427354587069933,4.27354587069933e-08,5.55560963190913e-07,0.00376328439724722,0.00376328439724722
"S1P5","S1P5",0.3916794312,"C1","Drought",-0.0383068524899996,-0.00120344807782583,-1.20344807782583e-09,-1.56448250117358e-08,-0.000105975635016127,-0.000105975635016127
"S2P1","S2P1",0.19030338432,"C1","Drought",-0.239682899369999,-0.0075298779666079,-7.5298779666079e-09,-9.78884135659027e-08,-0.000663081036738094,-0.000663081036738094
"S2P3","S2P3",1.1741506872,"C1","Drought",0.744164403510001,0.0233786689006702,2.33786689006702e-08,3.03922695708712e-07,0.00205872553060729,0.00205872553060729
"S2P5","S2P5",1.1248723272,"C1","Drought",0.694886043509999,0.0218305399429101,2.18305399429101e-08,2.83797019257832e-07,0.0019223972980824,0.0019223972980824
"S3P1","S3P1",2.19055344,"C1","Drought",1.76056715631,0.0553099777826351,5.53099777826351e-08,7.19029711174256e-07,0.00487059651865675,0.00487059651865675
"S3P3","S3P3",0.191545160795999,"C1","Drought",-0.238441122894,-0.00749086631683791,-7.49086631683791e-09,-9.73812621188928e-08,-0.000659645670947431,-0.000659645670947431
"S3P5","S3P5",-0.0633440238000001,"C1","Drought",-0.49333030749,-0.0154984649401058,-1.54984649401058e-08,-2.01480044221376e-07,-0.00136479478763238,-0.00136479478763238
"S1P11","S1P1",0.0474383431200002,"C1","Pre_Drought",-0.382547940569999,-0.0120181261009471,-1.20181261009471e-08,-1.56235639312312e-07,-0.00105831615731418,-0.00105831615731418
"S1P31","S1P3",0.0966629155200001,"C1","Pre_Drought",-0.333323368169999,-0.0104716869344287,-1.04716869344287e-08,-1.36131930147573e-07,-0.000922136727802206,-0.000922136727802206
"S1P51","S1P5",0.00776407019999989,"C1","Pre_Drought",-0.42222221349,-0.0132645330590018,-1.32645330590018e-08,-1.72438929767024e-07,-0.00116807475122626,-0.00116807475122626
"S2P11","S2P1",-0.0833233616400002,"C1","Pre_Drought",-0.51330964533,-0.0161261358176873,-1.61261358176873e-08,-2.09639765629934e-07,-0.00142006748369501,-0.00142006748369501
