"","Label","AUC","Pyr","Cond","AUC.a","umol","mol","mass.13C.g","perc.mol","perc.mass"
"S1P1","S1P1",0.31951555788,"C1","Drought",0.31951555788,0.0100379007663581,1.00379007663581e-08,1.30492709962655e-07,0.000884794583921021,0.000884794583921021
"S1P3","S1P3",0.765243456,"C1","Drought",0.765243456,0.024040888413696,2.4040888413696e-08,3.12531549378048e-07,0.002119093260254,0.002119093260254
"S1P5","S1P5",0.0484838847600001,"C1","Drought",0.0484838847600001,0.00152316972362016,1.52316972362016e-09,1.98012064070621e-08,0.000134260375074475,0.000134260375074475
"S2P1","S2P1",0.014608782936,"C1","Drought",0.014608782936,0.000458949524717375,4.58949524717375e-10,5.96634382132588e-09,4.04542805527646e-05,4.04542805527646e-05
"S2P3","S2P3",0.2971265019684,"C1","Drought",0.2971265019684,0.00933452618583926,9.33452618583926e-09,1.2134884041591e-07,0.000822795363785617,0.000822795363785617
"S2P5","S2P5",0.2078994702,"C1","Drought",0.2078994702,0.0065313697558032,6.5313697558032e-09,8.49078068254416e-08,0.000575710073254382,0.000575710073254382
"S3P1","S3P1",0.72221307684,"C1","Drought",0.72221307684,0.0226890460220054,2.26890460220054e-08,2.94957598286071e-07,0.00199993459806724,0.00199993459806724
"S3P3","S3P3",-0.2794755794952,"C1","Drought",-0.2794755794952,-0.0087800048054212,-8.7800048054212e-09,-1.14140062470476e-07,-0.000773916865633227,-0.000773916865633227
"S3P5","S3P5",-0.0216516995999999,"C1","Drought",-0.0216516995999999,-0.000680209794633598,-6.80209794633598e-10,-8.84272733023677e-09,-5.99573512660055e-05,-5.99573512660055e-05
"S1P11","S1P1",0.12359865456,"C1","Pre_Drought",0.12359865456,0.00388297533165696,3.88297533165696e-09,5.04786793115405e-08,0.000342266338641592,0.000342266338641592
"S1P31","S1P3",0.0895109629200001,"C1","Pre_Drought",0.0895109629200001,0.00281207641109472,2.81207641109472e-09,3.65569933442314e-08,0.000247871545656991,0.000247871545656991
"S1P51","S1P5",-0.0163244517600002,"C1","Pre_Drought",-0.0163244517600002,-0.000512848976492166,-5.12848976492166e-10,-6.66703669439816e-09,-4.52052682459762e-05,-4.52052682459762e-05
"S2P11","S2P1",0.0733690075200002,"C1","Pre_Drought",0.0733690075200002,0.00230496074024833,2.30496074024833e-09,2.99644896232282e-08,0.000203171641819512,0.000203171641819512
"S2P31","S2P3",-0.07304775264,"C1","Pre_Drought",-0.07304775264,-0.00229486819693824,-2.29486819693824e-09,-2.98332865601971e-08,-0.000202282030747774,-0.000202282030747774
"S2P7","S2P7",-0.01500950412,"C1","Pre_Drought",-0.01500950412,-0.000471538581433919,-4.71538581433919e-10,-6.13000155864094e-09,-4.15639477489978e-05,-4.15639477489978e-05
"S3P11","S3P1",-0.0434390568,"C1","Pre_Drought",-0.0434390568,-0.0013646814084288,-1.3646814084288e-09,-1.77408583095744e-08,-0.000120290362204248,-0.000120290362204248
"S3P31","S3P3",0.0911939004000003,"C1","Pre_Drought",0.0911939004000003,0.00286494757496641,2.86494757496641e-09,3.72443184745633e-08,0.000252531894521572,0.000252531894521572
"S3P51","S3P5",0.036643038,"C1","Pre_Drought",0.036643038,0.001151177681808,1.151177681808e-09,1.4965309863504e-08,0.000101470994952267,0.000101470994952267
"S1P2","S1P2",6.69072574619998,"C2","Drought",6.69072574619998,0.210195840042619,2.10195840042619e-07,2.73254592055404e-06,0.0185277923304192,0.0185277923304192
"S1P4","S1P4",2.89905543504,"C2","Drought",2.89905543504,0.0910767255472166,9.10767255472166e-08,1.18399743211382e-06,0.00802799264120199,0.00802799264120199
"S1P6","S1P6",9.24936994560001,"C2","Drought",9.24936994560001,0.29057820621097,2.9057820621097e-07,3.77751668074261e-06,0.0256131265934234,0.0256131265934234
"S2P2","S2P2",5.14020898872001,"C2","Drought",5.14020898872001,0.161484805589628,1.61484805589628e-07,2.09930247266516e-06,0.0142341396569794,0.0142341396569794
"S2P4","S2P4",15.1433401536,"C2","Drought",15.1433401536,0.475743174265498,4.75743174265498e-07,6.18466126545147e-06,0.0419345631845919,0.0419345631845919
"S2P6","S2P6",1.27711315776,"C2","Drought",1.27711315776,0.0401217869641881,4.01217869641881e-08,5.21583230534446e-07,0.00353655018409058,0.00353655018409058
"S3P2","S3P2",8.4164641812,"C2","Drought",8.4164641812,0.264411638716579,2.64411638716579e-07,3.43735130331553e-06,0.0233066645414738,0.0233066645414738
"S3P4","S3P4",17.93697203028,"C2","Drought",17.93697203028,0.563507913303276,5.63507913303276e-07,7.32560287294259e-06,0.0496706195142305,0.0496706195142305
"S3P6","S3P6",5.86497813,"C2","Drought",5.86497813,0.18425415293208,1.8425415293208e-07,2.39530398811704e-06,0.0162411524455037,0.0162411524455037
"S1P21","S1P2",0.916865649840001,"C2","Pre_Drought",0.916865649840001,0.0288042512553735,2.88042512553735e-08,3.74455266319855e-07,0.00253896169108089,0.00253896169108089
"S1P41","S1P4",0.0882834963600001,"C2","Pre_Drought",0.0882834963600001,0.00277351432164576,2.77351432164576e-09,3.60556861813949e-08,0.00024447247560407,0.00024447247560407
"S1P61","S1P6",0.24222879396,"C2","Pre_Drought",0.24222879396,0.00760985979104736,7.60985979104736e-09,9.89281772836156e-08,0.000670773987932136,0.000670773987932135
"S2P41","S2P4",0.13766106846,"C2","Pre_Drought",0.13766106846,0.00432476012673936,4.32476012673936e-09,5.62218816476117e-08,0.000381207627567024,0.000381207627567024
"S2P61","S2P6",0.20451041244,"C2","Pre_Drought",0.20451041244,0.00642489911721504,6.42489911721504e-09,8.35236885237956e-08,0.00056632517828858,0.00056632517828858
