"","Label","AUC","Pyr","Cond","AUC.a","umol","mol","mass.13C.g","perc.mol","perc.mass"
"S1P1","S1P1",0.811219935419998,"C1","Drought",0.614104200779998,0.0192926975717044,1.92926975717044e-08,2.50805068432158e-07,0.00171820770054682,0.00171820770054682
"S1P3","S1P3",1.7319878796,"C1","Drought",1.53487214496,0.0482195433060634,4.82195433060634e-08,6.26854062978824e-07,0.00429443266383041,0.00429443266383041
"S1P5","S1P5",0.445997804519999,"C1","Drought",0.24888206988,0.00781887910735007,7.81887910735007e-09,1.01645428395551e-07,0.000696349395514142,0.000696349395514142
"S2P1","S2P1",0.457440336000001,"C1","Drought",0.260324601360001,0.00817835767632578,8.17835767632578e-09,1.06318649792235e-07,0.000728364557888403,0.000728364557888403
"S2P3","S2P3",1.336206576,"C1","Drought",1.13909084136,0.0357856778721656,3.57856778721656e-08,4.65213812338153e-07,0.00318707257296269,0.00318707257296269
"S2P5","S2P5",0.626243533199999,"C1","Drought",0.429127798559999,0.0134814789195609,1.34814789195609e-08,1.75259225954292e-07,0.00120066055087717,0.00120066055087717
"S3P1","S3P1",1.23677976,"C1","Drought",1.03966402536,0.0326620850207096,3.26620850207096e-08,4.24607105269225e-07,0.00290888538473784,0.00290888538473784
"S3P3","S3P3",0.37000042728,"C1","Drought",0.17288469264,0.00543134550397824,5.43134550397824e-09,7.06074915517171e-08,0.000483715646014831,0.000483715646014831
"S3P5","S3P5",0.23607670884,"C1","Drought",0.0389609741999999,0.0012239979654672,1.2239979654672e-09,1.59119735510736e-08,0.000109009262281904,0.000109009262281904
"S1P11","S1P1",0.3964044024,"C1","Pre_Drought",0.19928866776,0.00626085278634815,6.26085278634815e-09,8.1391086222526e-08,0.000557591566939338,0.000557591566939338
"S1P31","S1P3",0.36420849768,"C1","Pre_Drought",0.16709276304,0.00524938624366464,5.24938624366464e-09,6.82420211676404e-08,0.000467510353774353,0.000467510353774353
"S1P51","S1P5",0.420236360400002,"C1","Pre_Drought",0.223120625760002,0.00700955757887621,7.00955757887621e-09,9.11242485253908e-08,0.000624271217888967,0.000624271217888967
"S2P11","S2P1",0.316791078,"C1","Pre_Drought",0.11967534336,0.00375972058699776,3.75972058699776e-09,4.88763676309708e-08,0.000334840726159439,0.000334840726159439
"S2P31","S2P3",0.19739365704,"C1","Pre_Drought",0.000277922400000186,8.73121011840583e-06,8.73121011840583e-12,1.13505731539276e-10,7.77601597950714e-07,7.77601597950714e-07
"S2P7","S2P7",0.32141888916,"C1","Pre_Drought",0.12430315452,0.00390510790240032,3.90510790240032e-09,5.07664027312042e-08,0.000347788920882239,0.000347788920882239
"S3P11","S3P1",0.40229162352,"C1","Pre_Drought",0.20517588888,0.00644580572505407,6.44580572505407e-09,8.3795474425703e-08,0.000574063476185941,0.000574063476185941
"S3P31","S3P3",0.32400622224,"C1","Pre_Drought",0.1268904876,0.0039863915584416,3.9863915584416e-09,5.18230902597408e-08,0.000355028043520203,0.000355028043520203
"S3P51","S3P5",0.25228019028,"C1","Pre_Drought",0.0551644556400004,0.00173304653838625,1.73304653838625e-09,2.25296049990213e-08,0.000154345129632289,0.000154345129632289
"S1P2","S1P2",0.270754786799999,"C2","Drought",0.0736390521599989,0.00231344446265853,2.31344446265853e-09,3.00747780145609e-08,0.000206035370416897,0.000206035370416897
"S1P4","S1P4",0.535953199392001,"C2","Drought",0.338837464752001,0.0106449177926489,1.06449177926489e-08,1.38383931304435e-07,0.00094803640885567,0.00094803640885567
"S1P6","S1P6",0.8055694284,"C2","Drought",0.60845369376,0.0191151812431642,1.91151812431642e-08,2.48497356161134e-07,0.0017023980958227,0.0017023980958227
"S2P2","S2P2",1.107088025784,"C2","Drought",0.909972291144001,0.0285876894985799,2.85876894985799e-08,3.71639963481539e-07,0.00254601970796156,0.00254601970796156
"S2P4","S2P4",1.345793478,"C2","Drought",1.14867774336,0.0360868599853978,3.60868599853978e-08,4.69129179810171e-07,0.0032138958528228,0.0032138958528228
"S2P6","S2P6",0.293219676479999,"C2","Drought",0.0961039418399996,0.00301920143684543,3.01920143684543e-09,3.92496186789906e-08,0.000268890088543048,0.000268890088543048
"S3P2","S3P2",0.35587106352,"C2","Drought",0.15875532888,0.00498745741209409,4.98745741209409e-09,6.48369463572232e-08,0.000444182971290537,0.000444182971290537
"S3P4","S3P4",0.755008723128,"C2","Drought",0.557892988488001,0.017526766126339,1.7526766126339e-08,2.27847959642407e-07,0.00156093384100554,0.00156093384100554
"S3P6","S3P6",0.4991944824,"C2","Drought",0.30207874776,0.00949010593962816,9.49010593962816e-09,1.23371377215166e-07,0.000845188861944809,0.000845188861944809
"S1P21","S1P2",0.948708769200001,"C2","Pre_Drought",0.751593034560001,0.023612046773737,2.3612046773737e-08,3.06956608058581e-07,0.00210288895275117,0.00210288895275117
"S1P41","S1P4",0.41045150064,"C2","Pre_Drought",0.213335766,0.00670215642465601,6.70215642465601e-09,8.71280335205281e-08,0.000596894070220785,0.000596894070220785
"S1P61","S1P6",0.443001911759999,"C2","Pre_Drought",0.24588617712,0.00772476014040191,7.72476014040191e-09,1.00421881825225e-07,0.000687967160050346,0.000687967160050346
"S2P41","S2P4",0.25100852196,"C2","Pre_Drought",0.0538927873199997,0.00169309580644511,1.69309580644511e-09,2.20102454837865e-08,0.000150787117332111,0.000150787117332111
"S2P61","S2P6",0.42895717404,"C2","Pre_Drought",0.2318414394,0.00728353066019041,7.28353066019041e-09,9.46858985824754e-08,0.000648671261289171,0.000648671261289171
"S2P8","S2P8",0.36501127884,"C2","Pre_Drought",0.1678955442,0.0052746064165872,5.2746064165872e-09,6.85698834156336e-08,0.000469756462446487,0.000469756462446487
"S3P21","S3P2",0.28446045828,"C2","Pre_Drought",0.0873447236400005,0.00274402183787426,2.74402183787426e-09,3.56722838923653e-08,0.000244382592676886,0.000244382592676886
"S3P41","S3P4",0.719014227600001,"C2","Pre_Drought",0.521898492960001,0.0163959630548314,1.63959630548314e-08,2.13147519712808e-07,0.00146022451624445,0.00146022451624445
"S3P61","S3P6",0.47545380744,"C2","Pre_Drought",0.2783380728,0.00874426889508479,8.74426889508479e-09,1.13675495636102e-07,0.000778764612638843,0.000778764612638843
