"","Label","Pyr","Flux","Condition","Time.h"
"1","S1P6","C2",-0.00655,"Pre-Drought",0.3372
"2","S1P3","C1",0.00894,"Pre-Drought",0.3324
"3","S3P5","C1",-0.00404,"Pre-Drought",0.31992
"4","S1P4","C2",-0.00233,"Pre-Drought",0.35712
"5","S1P6","C2",0.00496,"Pre-Drought",0.8508
"6","S2P8","C2",-0.000414,"Pre-Drought",0.5052
"7","S2P4","C2",-0.00281,"Pre-Drought",0.34008
"8","S3P2","C2",0.0024,"Pre-Drought",0.32496
"9","S3P4","C2",-0.00219,"Pre-Drought",0.34128
"10","S1P1","C1",0.00877,"Pre-Drought",0.35256
"11","S1P3","C1",0.00263,"Pre-Drought",0.846
"12","S2P1","C1",0.00613,"Pre-Drought",0.33552
"13","S2P3","C1",-0.02179,"Pre-Drought",0.37752
"14","S2P7","C1",-0.01544,"Pre-Drought",0.8472
"15","S3P5","C1",0.00501,"Pre-Drought",0.834
"16","S1P4","C2",-0.01056,"Pre-Drought",0.8712
"17","S1P6","C2",0.01505,"Pre-Drought",1.36464
"18","S2P8","C2",-0.00583,"Pre-Drought",1.01856
"19","S2P4","C2",-0.000895,"Pre-Drought",0.85392
"20","S2P6","C2",-0.0124,"Pre-Drought",0.34272
"21","S3P2","C2",-0.00846,"Pre-Drought",0.8388
"22","S3P4","C2",0.000811,"Pre-Drought",0.85464
"23","S3P6","C2",-0.00388,"Pre-Drought",0.3492
"24","S1P1","C1",-0.00181,"Pre-Drought",0.8664
"25","S1P3","C1",-0.01199,"Pre-Drought",1.36008
"26","S2P1","C1",-0.01004,"Pre-Drought",0.84936
"27","S2P3","C1",-0.01456,"Pre-Drought",0.62184
"28","S2P7","C1",-0.00659,"Pre-Drought",1.36008
"29","S3P1","C1",-0.00202,"Pre-Drought",0.3372
"30","S3P3","C1",-0.00604,"Pre-Drought",0.34416
"31","S3P5","C1",0.000678,"Pre-Drought",1.34832
"32","S1P4","C2",-0.01205,"Pre-Drought",1.3848
"33","S1P6","C2",-0.00189,"Pre-Drought",1.96344
"34","S2P8","C2",-0.00935,"Pre-Drought",1.53144
"35","S2P4","C2",-0.01181,"Pre-Drought",1.36728
"36","S2P6","C2",-0.00921,"Pre-Drought",0.85632
"37","S3P2","C2",8.46e-05,"Pre-Drought",1.35312
"38","S3P6","C2",-0.00196,"Pre-Drought",0.8628
"39","S1P1","C1",0.0075,"Pre-Drought",1.38
"40","S1P3","C1",0.0121,"Pre-Drought",1.95864
"41","S2P1","C1",-0.00316,"Pre-Drought",1.36272
"42","S2P3","C1",-0.00058,"Pre-Drought",1.1352
"43","S2P7","C1",0.00199,"Pre-Drought",1.9584
"44","S3P1","C1",-0.01138,"Pre-Drought",0.85056
"45","S3P3","C1",-0.00369,"Pre-Drought",0.85776
"46","S3P5","C1",-0.00104,"Pre-Drought",1.86216
"47","S1P4","C2",0.01725,"Pre-Drought",1.9836
"48","S1P6","C2",0.00576,"Pre-Drought",2.47704
"49","S2P8","C2",0.0022,"Pre-Drought",2.12976
"50","S2P4","C2",-0.0093,"Pre-Drought",1.9656
"51","S2P6","C2",-0.000947,"Pre-Drought",1.36944
"52","S3P2","C2",-0.00425,"Pre-Drought",1.8672
"53","S3P4","C2",-0.03017,"Pre-Drought",1.96632
"54","S3P6","C2",0.00176,"Pre-Drought",1.45992
"55","S1P1","C1",-0.00896,"Pre-Drought",1.9788
"56","S1P3","C1",-0.00128,"Pre-Drought",2.47224
"57","S2P1","C1",-0.00682,"Pre-Drought",1.96104
"58","S2P3","C1",0.00493,"Pre-Drought",1.64832
"59","S2P7","C1",0.00419,"Pre-Drought",2.47104
"60","S3P3","C1",-0.00104,"Pre-Drought",1.45488
"61","S3P5","C1",-0.00252,"Pre-Drought",2.46072
"62","S1P4","C2",-0.000312,"Pre-Drought",2.49696
"63","S1P6","C2",0.014,"Pre-Drought",2.99064
"64","S2P8","C2",0.00576,"Pre-Drought",2.6424
"65","S2P4","C2",-0.01674,"Pre-Drought",2.4792
"66","S2P6","C2",0.00361,"Pre-Drought",1.88304
"67","S3P2","C2",-0.00143,"Pre-Drought",2.46528
"68","S3P4","C2",0.02401,"Pre-Drought",2.48016
"69","S3P6","C2",0.00322,"Pre-Drought",1.97328
"70","S1P1","C1",-0.00967,"Pre-Drought",2.49216
"71","S1P3","C1",0.00166,"Pre-Drought",2.98584
"72","S2P1","C1",0.00892,"Pre-Drought",2.47464
"73","S2P3","C1",0.01316,"Pre-Drought",2.16192
"74","S2P7","C1",-0.00525,"Pre-Drought",2.9856
"75","S3P1","C1",-0.00237,"Pre-Drought",1.96248
"76","S3P3","C1",-0.01531,"Pre-Drought",1.96824
"77","S3P5","C1",0.00289,"Pre-Drought",2.97456
"78","S1P4","C2",0.00167,"Pre-Drought",3.01128
