"","Label","Pyr","Flux","Condition","Time.h"
"1","S1P6","C2",-6.77547,"Pre-Drought",0.3372
"2","S1P3","C1",8.98449,"Pre-Drought",0.3324
"3","S2P7","C1",9.01055,"Pre-Drought",0.33384
"4","S3P5","C1",-5.59176,"Pre-Drought",0.31992
"5","S1P4","C2",-3.2361,"Pre-Drought",0.35712
"6","S1P6","C2",10.0291,"Pre-Drought",0.8508
"7","S2P8","C2",-0.94889,"Pre-Drought",0.5052
"8","S2P4","C2",-3.46163,"Pre-Drought",0.34008
"9","S3P2","C2",-3.18098,"Pre-Drought",0.32496
"10","S3P4","C2",-6.28759,"Pre-Drought",0.34128
"11","S1P1","C1",18.74894,"Pre-Drought",0.35256
"12","S1P3","C1",-0.39821,"Pre-Drought",0.846
"13","S2P1","C1",14.98289,"Pre-Drought",0.33552
"14","S2P3","C1",-18.20123,"Pre-Drought",0.37752
"15","S2P7","C1",-39.67023,"Pre-Drought",0.8472
"16","S3P5","C1",14.47465,"Pre-Drought",0.834
"17","S1P4","C2",-18.58691,"Pre-Drought",0.8712
"18","S1P6","C2",15.9215,"Pre-Drought",1.36464
"19","S2P8","C2",-8.70772,"Pre-Drought",1.01856
"20","S2P4","C2",-0.89297,"Pre-Drought",0.85392
"21","S2P6","C2",-18.87321,"Pre-Drought",0.34272
"22","S3P2","C2",-19.95909,"Pre-Drought",0.8388
"23","S3P4","C2",-1.78251,"Pre-Drought",0.85464
"24","S3P6","C2",-12.53576,"Pre-Drought",0.3492
"25","S1P1","C1",-0.54494,"Pre-Drought",0.8664
"26","S1P3","C1",-17.93115,"Pre-Drought",1.36008
"27","S2P1","C1",-18.04636,"Pre-Drought",0.84936
"28","S2P3","C1",-14.14746,"Pre-Drought",0.62184
"29","S2P7","C1",-15.99136,"Pre-Drought",1.36008
"30","S3P1","C1",-7.44554,"Pre-Drought",0.3372
"31","S3P3","C1",-14.05961,"Pre-Drought",0.34416
"32","S3P5","C1",7.09263,"Pre-Drought",1.34832
"33","S1P4","C2",-26.03587,"Pre-Drought",1.3848
