"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-8.47907,-0.62821,"Pre-Drought"
"2","S1P3","C1",-6.85547,-0.6523,"Pre-Drought"
"3","S1P5","C1",-1.21859,-1.58571,"Pre-Drought"
"4","S2P1","C1",-13.3812,-0.64587,"Pre-Drought"
"5","S2P3","C1",-6.07913,-0.60287,"Pre-Drought"
"6","S2P7","C1",3.41019,-0.60692,"Pre-Drought"
"7","S3P1","C1",-21.5223,-0.6767,"Pre-Drought"
"8","S3P3","C1",2.10969,-0.65035,"Pre-Drought"
"9","S3P5","C1",0.67089,-0.63999,"Pre-Drought"
"10","S1P2","C2",-5.49595,-1.58551,"Pre-Drought"
"11","S1P4","C2",-0.90956,-0.59956,"Pre-Drought"
"12","S1P6","C2",-7.65437,-0.62365,"Pre-Drought"
"13","S2P8","C2",3.32821,-0.57134,"Pre-Drought"
"14","S2P4","C2",3.62092,-0.61718,"Pre-Drought"
"15","S2P6","C2",-1.7022,-0.58602,"Pre-Drought"
"16","S3P2","C2",-17.08111,-0.6113,"Pre-Drought"
"17","S3P4","C2",-14.14559,-0.59302,"Pre-Drought"
"18","S3P6","C2",-10.52239,-0.62163,"Pre-Drought"
"19","S1P1","C1",-3.18408,-0.55352,"Pre-Drought"
"20","S1P3","C1",-5.51453,-0.56583,"Pre-Drought"
"21","S1P5","C1",0.37506,-1.57144,"Pre-Drought"
"22","S2P1","C1",-4.98097,-0.57106,"Pre-Drought"
"23","S2P3","C1",0.46261,-0.52815,"Pre-Drought"
"24","S2P7","C1",0.92605,-0.53223,"Pre-Drought"
"25","S3P1","C1",-16.82014,-0.62172,"Pre-Drought"
"26","S3P3","C1",2.70843,-0.5755,"Pre-Drought"
"27","S3P5","C1",8.1903,-0.56525,"Pre-Drought"
"28","S1P2","C2",-11.45921,-1.57124,"Pre-Drought"
"29","S1P4","C2",-22.97883,-0.52488,"Pre-Drought"
"30","S1P6","C2",17.84798,-0.53718,"Pre-Drought"
"31","S2P8","C2",4.74904,-0.49657,"Pre-Drought"
"32","S2P4","C2",1.17546,-0.54231,"Pre-Drought"
"33","S2P6","C2",-5.83124,-0.51125,"Pre-Drought"
"34","S3P2","C2",1.09537,-0.5366,"Pre-Drought"
"35","S3P4","C2",-2.03774,-0.51817,"Pre-Drought"
"36","S3P6","C2",-4.23496,-0.54682,"Pre-Drought"
"37","S1P1","C1",3.51737,-0.47876,"Pre-Drought"
"38","S1P3","C1",-11.04868,-0.47899,"Pre-Drought"
"39","S1P5","C1",-3.19764,-1.55719,"Pre-Drought"
"40","S2P1","C1",-11.93541,-0.49623,"Pre-Drought"
