"","Label","Pyr","Flux","Condition","Time.h"
"1","S1P6","C2",18.11676,"Pre-Drought",0.3372
"2","S1P3","C1",4.8795,"Pre-Drought",0.3324
"3","S2P7","C1",-11.61356,"Pre-Drought",0.33384
"4","S3P5","C1",-14.98387,"Pre-Drought",0.31992
"5","S1P4","C2",-12.75033,"Pre-Drought",0.35712
"6","S1P6","C2",13.31877,"Pre-Drought",0.8508
"7","S2P8","C2",-11.08485,"Pre-Drought",0.5052
"8","S2P4","C2",-7.85002,"Pre-Drought",0.34008
"9","S3P2","C2",4.73276,"Pre-Drought",0.32496
"10","S3P4","C2",-9.24388,"Pre-Drought",0.34128
"11","S1P1","C1",20.49931,"Pre-Drought",0.35256
"12","S1P3","C1",5.81069,"Pre-Drought",0.846
"13","S2P1","C1",28.51324,"Pre-Drought",0.33552
"14","S2P3","C1",0.07602,"Pre-Drought",0.37752
"15","S2P7","C1",-1.73004,"Pre-Drought",0.8472
"16","S3P5","C1",20.05367,"Pre-Drought",0.834
"17","S1P4","C2",-17.28771,"Pre-Drought",0.8712
"18","S1P6","C2",3.79057,"Pre-Drought",1.36464
"19","S2P8","C2",1.00925,"Pre-Drought",1.01856
"20","S2P4","C2",-10.32394,"Pre-Drought",0.85392
"21","S2P6","C2",-3.19236,"Pre-Drought",0.34272
"22","S3P2","C2",6.26315,"Pre-Drought",0.8388
"23","S3P4","C2",-9.81034,"Pre-Drought",0.85464
"24","S3P6","C2",26.15111,"Pre-Drought",0.3492
"25","S1P1","C1",28.26342,"Pre-Drought",0.8664
"26","S1P3","C1",-6.0519,"Pre-Drought",1.36008
"27","S2P1","C1",2.8587,"Pre-Drought",0.84936
"28","S2P3","C1",-2.85749,"Pre-Drought",0.62184
"29","S2P7","C1",-26.76092,"Pre-Drought",1.36008
"30","S3P1","C1",4.87893,"Pre-Drought",0.3372
"31","S3P3","C1",-27.5921,"Pre-Drought",0.34416
"32","S3P5","C1",4.61966,"Pre-Drought",1.34832
"33","S1P4","C2",22.87829,"Pre-Drought",1.3848
"34","S1P6","C2",25.6724,"Pre-Drought",1.96344
"35","S2P8","C2",1.22074,"Pre-Drought",1.53144
"36","S2P4","C2",-2.3336,"Pre-Drought",1.36728
"37","S2P6","C2",-0.25392,"Pre-Drought",0.85632
"38","S3P2","C2",8.62425,"Pre-Drought",1.35312
"39","S3P4","C2",-1.73842,"Pre-Drought",1.36824
"40","S3P6","C2",1.05169,"Pre-Drought",0.8628
"41","S1P1","C1",-8.92871,"Pre-Drought",1.38
"42","S1P3","C1",-1.07438,"Pre-Drought",1.95864
"43","S2P1","C1",-1.26514,"Pre-Drought",1.36272
"44","S2P3","C1",0.78522,"Pre-Drought",1.1352
"45","S2P7","C1",0.33836,"Pre-Drought",1.9584
"46","S3P1","C1",-2.90818,"Pre-Drought",0.85056
"47","S3P3","C1",-19.53768,"Pre-Drought",0.85776
"48","S3P5","C1",-15.9667,"Pre-Drought",1.86216
"49","S1P4","C2",-18.80983,"Pre-Drought",1.9836
"50","S1P6","C2",9.28156,"Pre-Drought",2.47704
"51","S2P8","C2",4.66773,"Pre-Drought",2.12976
"52","S2P4","C2",17.92891,"Pre-Drought",1.9656
"53","S2P6","C2",-11.41777,"Pre-Drought",1.36944
