"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-7.1478,-0.62821,"Pre-Drought"
"2","S1P3","C1",8.79489,-0.6523,"Pre-Drought"
"3","S1P5","C1",12.77606,-1.58571,"Pre-Drought"
"4","S2P1","C1",-5.99935,-0.64587,"Pre-Drought"
"5","S2P3","C1",-9.0337,-0.60287,"Pre-Drought"
"6","S2P7","C1",-7.734,-0.60692,"Pre-Drought"
"7","S3P1","C1",-0.70418,-0.6767,"Pre-Drought"
"8","S3P3","C1",6.14209,-0.65035,"Pre-Drought"
"9","S3P5","C1",-3.04747,-0.63999,"Pre-Drought"
"10","S1P2","C2",2.00991,-1.58551,"Pre-Drought"
"11","S1P4","C2",0.47018,-0.59956,"Pre-Drought"
"12","S1P6","C2",0.28526,-0.62365,"Pre-Drought"
"13","S2P8","C2",-1.63525,-0.57134,"Pre-Drought"
"14","S2P4","C2",7.41,-0.61718,"Pre-Drought"
"15","S2P6","C2",8.77832,-0.58602,"Pre-Drought"
"16","S3P2","C2",-7.95494,-0.6113,"Pre-Drought"
"17","S3P4","C2",-4.09619,-0.59302,"Pre-Drought"
"18","S3P6","C2",0.08538,-0.62163,"Pre-Drought"
"19","S1P1","C1",4.96021,-0.55352,"Pre-Drought"
"20","S1P3","C1",4.92496,-0.56583,"Pre-Drought"
"21","S1P5","C1",10.26347,-1.57144,"Pre-Drought"
"22","S2P1","C1",-4.92172,-0.57106,"Pre-Drought"
"23","S2P3","C1",-3.56993,-0.52815,"Pre-Drought"
"24","S2P7","C1",-6.06539,-0.53223,"Pre-Drought"
"25","S3P1","C1",0.92344,-0.62172,"Pre-Drought"
"26","S3P3","C1",2.07976,-0.5755,"Pre-Drought"
"27","S3P5","C1",0.74369,-0.56525,"Pre-Drought"
"28","S1P2","C2",-8.36138,-1.57124,"Pre-Drought"
"29","S1P4","C2",-0.54219,-0.52488,"Pre-Drought"
"30","S1P6","C2",3.19355,-0.53718,"Pre-Drought"
