"","Label","Time","Time_Flux"
"1","S1P1.C1","time",-0.68939
"2","S1P1.C1","Flux",-0.00719
"3","S1P3.C1","time",-0.67097
"4","S1P3.C1","Flux",-0.00526
"5","S1P5.C1","time",-0.67546
"6","S1P5.C1","Flux",0.00105
"7","S2P1.C1","time",-0.68491
"8","S2P1.C1","Flux",0.00341
"9","S2P3.C1","time",-0.69624
"10","S2P3.C1","Flux",-0.00194
"11","S2P5.C1","time",-0.69888
"12","S2P5.C1","Flux",-0.00115
"13","S3P1.C1","time",-0.68292
"14","S3P1.C1","Flux",0.01052
"15","S3P3.C1","time",-0.69786
"16","S3P3.C1","Flux",-0.01692
"17","S3P5.C1","time",-0.59498
"18","S3P5.C1","Flux",-0.00107
"19","S1P2.C2","time",-0.67541
"20","S1P2.C2","Flux",0.01406
"21","S1P4.C2","time",-1.70606
"22","S1P4.C2","Flux",0.00631
"23","S1P6.C2","time",-0.64223
"24","S1P6.C2","Flux",-0.00684
"25","S2P2.C2","time",-0.67022
"26","S2P2.C2","Flux",-0.01774
"27","S2P4.C2","time",-0.65623
"28","S2P4.C2","Flux",0.00562
"29","S2P6.C2","time",-0.67307
"30","S3P2.C2","time",-0.56631
"31","S3P2.C2","Flux",-0.000254
"32","S3P4.C2","time",-0.65424
"33","S3P4.C2","Flux",0.01042
"34","S3P6.C2","time",-0.66917
"35","S3P6.C2","Flux",-0.01268
"36","S1P2.W","time",-0.69708
"37","S1P2.W","Flux",-0.00184
"38","S1P4.W","time",-0.66147
"39","S1P4.W","Flux",-0.00165
"40","S1P1.C1","time",-0.61112
"41","S1P1.C1","Flux",0.00426
"42","S1P3.C1","time",-0.59259
"43","S1P3.C1","Flux",-0.01224
"44","S1P5.C1","time",-0.66133
"45","S1P5.C1","Flux",-0.000324
"46","S2P1.C1","time",-0.6066
"47","S2P1.C1","Flux",-0.000351
"48","S2P3.C1","time",-0.61992
"49","S2P3.C1","Flux",-0.00652
"50","S2P5.C1","time",-0.62067
"51","S2P5.C1","Flux",-0.01572
"52","S3P1.C1","time",-0.60461
"53","S3P1.C1","Flux",0.00627
"54","S3P3.C1","time",-0.61959
"55","S3P3.C1","Flux",-0.02678
"56","S3P5.C1","time",-0.51679
"57","S3P5.C1","Flux",-0.00995
