"","Label","Time","Time_Flux"
"1","S1P1.C1","time",-0.62821
"2","S1P1.C1","Flux",-0.00617
"3","S1P3.C1","time",-0.6523
"4","S1P3.C1","Flux",0.00318
"5","S1P5.C1","time",-1.58571
"6","S1P5.C1","Flux",0.01821
"7","S2P1.C1","time",-0.64587
"8","S2P1.C1","Flux",0.01435
"9","S2P3.C1","time",-0.60287
"10","S2P3.C1","Flux",0.01085
"11","S2P7.C1","time",-0.60692
"12","S2P7.C1","Flux",0.00296
"13","S3P1.C1","time",-0.6767
"14","S3P1.C1","Flux",0.00517
"15","S3P3.C1","time",-0.65035
"16","S3P3.C1","Flux",0.00764
"17","S3P5.C1","time",-0.63999
"18","S3P5.C1","Flux",0.00928
"19","S1P2.C2","time",-1.58551
"20","S1P2.C2","Flux",-0.0119
"21","S1P4.C2","time",-0.59956
"22","S1P4.C2","Flux",0.00426
"23","S1P6.C2","time",-0.62365
"24","S1P6.C2","Flux",-0.00929
"25","S2P8.C2","time",-0.57134
"26","S2P8.C2","Flux",0.00715
"27","S2P4.C2","time",-0.61718
"28","S2P4.C2","Flux",0.00679
"29","S2P6.C2","time",-0.58602
"30","S2P6.C2","Flux",-0.00938
"31","S3P2.C2","time",-0.6113
"32","S3P2.C2","Flux",-0.0048
"33","S3P4.C2","time",-0.59302
"34","S3P4.C2","Flux",-0.00963
"35","S3P6.C2","time",-0.62163
"36","S3P6.C2","Flux",0.00254
"37","S1P1.C1","time",-0.55352
"38","S1P1.C1","Flux",0.01114
"39","S1P3.C1","time",-0.56583
"40","S1P3.C1","Flux",0.00132
"41","S1P5.C1","time",-1.57144
"42","S1P5.C1","Flux",0.0116
"43","S2P1.C1","time",-0.57106
"44","S2P1.C1","Flux",0.01312
"45","S2P3.C1","time",-0.52815
"46","S2P3.C1","Flux",-0.00231
"47","S2P7.C1","time",-0.53223
"48","S2P7.C1","Flux",-0.01406
"49","S3P1.C1","time",-0.62172
"50","S3P1.C1","Flux",0.00935
"51","S3P3.C1","time",-0.5755
"52","S3P3.C1","Flux",0.015
"53","S3P5.C1","time",-0.56525
"54","S3P5.C1","Flux",0.00148
"55","S1P2.C2","time",-1.57124
"56","S1P2.C2","Flux",-0.03806
"57","S1P4.C2","time",-0.52488
"58","S1P4.C2","Flux",-0.01027
"59","S1P6.C2","time",-0.53718
"60","S1P6.C2","Flux",-0.00573
"61","S2P8.C2","time",-0.49657
"62","S2P8.C2","Flux",-0.00466
"63","S2P4.C2","time",-0.54231
"64","S2P4.C2","Flux",0.00246
"65","S2P6.C2","time",-0.51125
"66","S2P6.C2","Flux",0.01539
"67","S3P2.C2","time",-0.5366
"68","S3P2.C2","Flux",-0.00478
"69","S3P4.C2","time",-0.51817
"70","S3P4.C2","Flux",0.00237
"71","S3P6.C2","time",-0.54682
"72","S3P6.C2","Flux",0.01341
"73","S1P1.C1","time",-0.47876
"74","S1P1.C1","Flux",-0.00162
"75","S1P3.C1","time",-0.47899
"76","S1P3.C1","Flux",0.00226
"77","S1P5.C1","time",-1.55719
