"","X1","X2","X3"
"1","S1P1.C1",-0.00755,-0.62821
"2",NA,NA,NA
"3","S1P3.C1",0.00812,-0.6523
"4",NA,NA,NA
"5","S1P5.C1",0.02228,-1.58571
"6",NA,NA,NA
"7","S2P1.C1",-0.01168,-0.64587
"8",NA,NA,NA
"9","S2P3.C1",-0.01883,-0.60287
"10",NA,NA,NA
"11","S2P7.C1",-0.01185,-0.60692
"12",NA,NA,NA
"13","S3P1.C1",-0.000553,-0.6767
"14",NA,NA,NA
"15","S3P3.C1",0.0072,-0.65035
"16",NA,NA,NA
"17","S3P5.C1",-0.00145,-0.63999
"18",NA,NA,NA
"19","S1P2.C2",0.00828,-1.58551
"20",NA,NA,NA
"21","S1P4.C2",-0.000403,-0.59956
"22",NA,NA,NA
"23","S1P6.C2",-0.00795,-0.62365
"24",NA,NA,NA
"25","S2P8.C2",-0.01017,-0.57134
"26",NA,NA,NA
"27","S2P4.C2",0.00742,-0.61718
"28",NA,NA,NA
"29","S2P6.C2",0.01338,-0.58602
"30",NA,NA,NA
"31","S3P2.C2",-0.00702,-0.6113
"32",NA,NA,NA
"33","S3P4.C2",-0.004,-0.59302
"34",NA,NA,NA
"35","S3P6.C2",0.00371,-0.62163
"36",NA,NA,NA
"37","S1P1.C1",0.00378,-0.55352
"38",NA,NA,NA
"39","S1P3.C1",0.00679,-0.56583
"40",NA,NA,NA
"41","S1P5.C1",0.0392,-1.57144
"42",NA,NA,NA
"43","S2P1.C1",-0.00762,-0.57106
"44",NA,NA,NA
"45","S2P3.C1",-0.01465,-0.52815
"46",NA,NA,NA
"47","S2P7.C1",-0.00802,-0.53223
"48",NA,NA,NA
"49","S3P1.C1",0.00258,-0.62172
"50",NA,NA,NA
"51","S3P3.C1",0.00101,-0.5755
"52",NA,NA,NA
"53","S3P5.C1",0.0054,-0.56525
"54",NA,NA,NA
"55","S1P2.C2",-0.03636,-1.57124
"56",NA,NA,NA
"57","S1P4.C2",-0.002,-0.52488
"58",NA,NA,NA
"59","S1P6.C2",-0.01576,-0.53718
"60",NA,NA,NA
"61","S2P8.C2",-0.00795,-0.49657
"62",NA,NA,NA
"63","S2P4.C2",-0.02784,-0.54231
"64",NA,NA,NA
"65","S2P6.C2",-0.00651,-0.51125
"66",NA,NA,NA
"67","S3P2.C2",-0.00229,-0.5366
"68",NA,NA,NA
"69","S3P4.C2",-0.000677,-0.51817
"70",NA,NA,NA
"71","S3P6.C2",0.00421,-0.54682
"72",NA,NA,NA
"73","S1P1.C1",0.000737,-0.47876
"74",NA,NA,NA
"75","S1P3.C1",0.00718,-0.47899
"76",NA,NA,NA
"77","S1P5.C1",-0.00184,-1.55719
"78",NA,NA,NA
"79","S2P1.C1",-0.00367,-0.49623
"80",NA,NA,NA
"81",NA,NA,NA
"82","S2P7.C1",-0.00163,-0.45738
"83",NA,NA,NA
"84","S3P1.C1",0.00759,-0.54685
"85",NA,NA,NA
"86","S3P3.C1",-0.00116,-0.50073
"87",NA,NA,NA
"88","S3P5.C1",0.00247,-0.49064
"89",NA,NA,NA
"90","S1P2.C2",-0.02429,-1.55703
"91",NA,NA,NA
"92",NA,NA,NA
"93",NA,NA,NA
"94",NA,NA,NA
"95","S2P4.C2",-0.02011,-0.46752
"96",NA,NA,NA
"97",NA,NA,NA
"98",NA,NA,NA
"99",NA,NA,NA
"100",NA,NA,NA
"101",NA,NA,NA
"102",NA,NA,NA
"103","S1P5.C1",0.0174,-1.54294
"104",NA,NA,NA
"105",NA,NA,NA
"106",NA,NA,NA
"107",NA,NA,NA
"108","S3P1.C1",0.00481,-0.47201
"109",NA,NA,NA
"110",NA,NA,NA
"111",NA,NA,NA
"112","S1P2.C2",0.0032,-1.54275
"113",NA,NA,NA
"114",NA,NA,NA
"115",NA,NA,NA
"116",NA,NA,NA
"117",NA,NA,NA
"118",NA,NA,NA
"119",NA,NA,NA
"120",NA,NA,NA
"121",NA,NA,NA
"122",NA,NA,NA
"123",NA,NA,NA
"124","S1P5.C1",0.09321,-1.52872
"125",NA,NA,NA
"126",NA,NA,NA
"127",NA,NA,NA
"128",NA,NA,NA
"129",NA,NA,NA
"130",NA,NA,NA
"131",NA,NA,NA
"132","S1P2.C2",-0.02758,-1.52853
"133",NA,NA,NA
"134",NA,NA,NA
"135","S1P6.C2",0.00264,-0.27668
"136",NA,NA,NA
"137","S2P8.C2",0.00101,-0.27227
"138",NA,NA,NA
"139",NA,NA,NA
"140","S2P6.C2",0.00495,-0.28663
"141",NA,NA,NA
"142",NA,NA,NA
"143","S3P4.C2",-0.02749,-0.29367
"144",NA,NA,NA
"145",NA,NA,NA
"146","S1P1.C1",0.0081,-0.25434
"147",NA,NA,NA
"148","S1P3.C1",0.00817,-0.21856
"149",NA,NA,NA
"150","S1P5.C1",-0.03828,-1.51449
"151",NA,NA,NA
