"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-0.00755,-0.62821,"Pre-Drought"
"2","S1P3","C1",0.00812,-0.6523,"Pre-Drought"
"3","S1P5","C1",0.02228,-1.58571,"Pre-Drought"
"4","S2P1","C1",-0.01168,-0.64587,"Pre-Drought"
"5","S2P3","C1",-0.01883,-0.60287,"Pre-Drought"
"6","S2P7","C1",-0.01185,-0.60692,"Pre-Drought"
"7","S3P1","C1",-0.000553,-0.6767,"Pre-Drought"
"8","S3P3","C1",0.0072,-0.65035,"Pre-Drought"
"9","S3P5","C1",-0.00145,-0.63999,"Pre-Drought"
"10","S1P2","C2",0.00828,-1.58551,"Pre-Drought"
"11","S1P4","C2",-0.000403,-0.59956,"Pre-Drought"
"12","S1P6","C2",-0.00795,-0.62365,"Pre-Drought"
"13","S2P8","C2",-0.01017,-0.57134,"Pre-Drought"
"14","S2P4","C2",0.00742,-0.61718,"Pre-Drought"
"15","S2P6","C2",0.01338,-0.58602,"Pre-Drought"
"16","S3P2","C2",-0.00702,-0.6113,"Pre-Drought"
"17","S3P4","C2",-0.004,-0.59302,"Pre-Drought"
"18","S3P6","C2",0.00371,-0.62163,"Pre-Drought"
"19","S1P1","C1",0.00378,-0.55352,"Pre-Drought"
"20","S1P3","C1",0.00679,-0.56583,"Pre-Drought"
"21","S1P5","C1",0.0392,-1.57144,"Pre-Drought"
"22","S2P1","C1",-0.00762,-0.57106,"Pre-Drought"
"23","S2P3","C1",-0.01465,-0.52815,"Pre-Drought"
"24","S2P7","C1",-0.00802,-0.53223,"Pre-Drought"
"25","S3P1","C1",0.00258,-0.62172,"Pre-Drought"
"26","S3P3","C1",0.00101,-0.5755,"Pre-Drought"
"27","S3P5","C1",0.0054,-0.56525,"Pre-Drought"
"28","S1P2","C2",-0.03636,-1.57124,"Pre-Drought"
"29","S1P4","C2",-0.002,-0.52488,"Pre-Drought"
"30","S1P6","C2",-0.01576,-0.53718,"Pre-Drought"
"31","S2P8","C2",-0.00795,-0.49657,"Pre-Drought"
"32","S2P4","C2",-0.02784,-0.54231,"Pre-Drought"
"33","S2P6","C2",-0.00651,-0.51125,"Pre-Drought"
"34","S3P2","C2",-0.00229,-0.5366,"Pre-Drought"
"35","S3P4","C2",-0.000677,-0.51817,"Pre-Drought"
"36","S3P6","C2",0.00421,-0.54682,"Pre-Drought"
"37","S1P1","C1",0.000737,-0.47876,"Pre-Drought"
"38","S1P3","C1",0.00718,-0.47899,"Pre-Drought"
"39","S1P5","C1",-0.00184,-1.55719,"Pre-Drought"
"40","S2P1","C1",-0.00367,-0.49623,"Pre-Drought"
"41","S2P7","C1",-0.00163,-0.45738,"Pre-Drought"
"42","S3P1","C1",0.00759,-0.54685,"Pre-Drought"
"43","S3P3","C1",-0.00116,-0.50073,"Pre-Drought"
"44","S3P5","C1",0.00247,-0.49064,"Pre-Drought"
"45","S1P2","C2",-0.02429,-1.55703,"Pre-Drought"
"46","S2P4","C2",-0.02011,-0.46752,"Pre-Drought"
"47","S1P5","C1",0.0174,-1.54294,"Pre-Drought"
"48","S3P1","C1",0.00481,-0.47201,"Pre-Drought"
"49","S1P2","C2",0.0032,-1.54275,"Pre-Drought"
"50","S1P5","C1",0.09321,-1.52872,"Pre-Drought"
"51","S1P2","C2",-0.02758,-1.52853,"Pre-Drought"
"52","S1P6","C2",0.00264,-0.27668,"Pre-Drought"
"53","S2P8","C2",0.00101,-0.27227,"Pre-Drought"
"54","S2P6","C2",0.00495,-0.28663,"Pre-Drought"
"55","S3P4","C2",-0.02749,-0.29367,"Pre-Drought"
"56","S1P1","C1",0.0081,-0.25434,"Pre-Drought"
"57","S1P3","C1",0.00817,-0.21856,"Pre-Drought"
"58","S1P5","C1",-0.03828,-1.51449,"Pre-Drought"
"59","S2P1","C1",-0.00526,-0.27181,"Pre-Drought"
"60","S2P3","C1",-0.00778,-0.22868,"Pre-Drought"
"61","S2P7","C1",0.00239,-0.23316,"Pre-Drought"
