"","Label","Pyr","Flux","Condition","Time.h"
"1","S1P6","C2",-47.65216,"Pre-Drought",0.3372
"2","S1P3","C1",-12.20324,"Pre-Drought",0.3324
"3","S2P7","C1",22.97469,"Pre-Drought",0.33384
"4","S3P5","C1",-34.01768,"Pre-Drought",0.31992
"5","S1P4","C2",-0.10566,"Pre-Drought",0.35712
"6","S1P6","C2",-6.52424,"Pre-Drought",0.8508
"7","S2P8","C2",13.15893,"Pre-Drought",0.5052
"8","S2P4","C2",-20.37885,"Pre-Drought",0.34008
"9","S3P2","C2",-20.11462,"Pre-Drought",0.32496
"10","S3P4","C2",0.46145,"Pre-Drought",0.34128
"11","S1P3","C1",13.21586,"Pre-Drought",0.846
"12","S2P1","C1",21.27361,"Pre-Drought",0.33552
"13","S2P3","C1",41.57871,"Pre-Drought",0.37752
"14","S2P7","C1",16.29992,"Pre-Drought",0.8472
"15","S3P5","C1",-35.93875,"Pre-Drought",0.834
"16","S1P4","C2",3.29178,"Pre-Drought",0.8712
"17","S1P6","C2",-7.00685,"Pre-Drought",1.36464
"18","S2P8","C2",-10.23217,"Pre-Drought",1.01856
"19","S2P4","C2",5.77426,"Pre-Drought",0.85392
"20","S2P6","C2",13.50385,"Pre-Drought",0.34272
"21","S3P2","C2",-15.53948,"Pre-Drought",0.8388
"22","S3P4","C2",-13.98422,"Pre-Drought",0.85464
"23","S3P6","C2",-23.39996,"Pre-Drought",0.3492
"24","S1P1","C1",1.28095,"Pre-Drought",0.8664
"25","S1P3","C1",26.24183,"Pre-Drought",1.36008
"26","S2P1","C1",30.11104,"Pre-Drought",0.84936
"27","S2P3","C1",-5.82273,"Pre-Drought",0.62184
"28","S2P7","C1",-9.89987,"Pre-Drought",1.36008
"29","S3P1","C1",-14.47507,"Pre-Drought",0.3372
"30","S3P3","C1",26.59652,"Pre-Drought",0.34416
"31","S3P5","C1",5.99334,"Pre-Drought",1.34832
"32","S1P4","C2",1.21163,"Pre-Drought",1.3848
"33","S1P6","C2",25.89873,"Pre-Drought",1.96344
"34","S2P8","C2",-7.25482,"Pre-Drought",1.53144
"35","S2P4","C2",-1.37531,"Pre-Drought",1.36728
"36","S2P6","C2",6.06226,"Pre-Drought",0.85632
"37","S3P2","C2",-9.56095,"Pre-Drought",1.35312
"38","S3P4","C2",6.78768,"Pre-Drought",1.36824
"39","S3P6","C2",26.11207,"Pre-Drought",0.8628
"40","S1P1","C1",-22.99501,"Pre-Drought",1.38
"41","S1P3","C1",12.53053,"Pre-Drought",1.95864
"42","S2P1","C1",5.75637,"Pre-Drought",1.36272
"43","S2P3","C1",7.79276,"Pre-Drought",1.1352
"44","S2P7","C1",-28.65948,"Pre-Drought",1.9584
"45","S3P1","C1",41.59511,"Pre-Drought",0.85056
"46","S3P3","C1",-1.75991,"Pre-Drought",0.85776
"47","S3P5","C1",14.43213,"Pre-Drought",1.86216
"48","S1P4","C2",-6.4112,"Pre-Drought",1.9836
"49","S1P6","C2",-16.66623,"Pre-Drought",2.47704
"50","S2P8","C2",-20.19546,"Pre-Drought",2.12976
"51","S2P4","C2",4.13068,"Pre-Drought",1.9656
"52","S2P6","C2",-10.24838,"Pre-Drought",1.36944
"53","S3P2","C2",0.85673,"Pre-Drought",1.8672
"54","S3P4","C2",-2.91828,"Pre-Drought",1.96632
"55","S3P6","C2",-31.26853,"Pre-Drought",1.45992
"56","S1P1","C1",11.59993,"Pre-Drought",1.9788
"57","S1P3","C1",21.39041,"Pre-Drought",2.47224
"58","S2P1","C1",13.90864,"Pre-Drought",1.96104
"59","S2P3","C1",-11.69341,"Pre-Drought",1.64832
"60","S2P7","C1",3.24147,"Pre-Drought",2.47104
"61","S3P1","C1",-12.09755,"Pre-Drought",1.36416
"62","S3P3","C1",19.94857,"Pre-Drought",1.45488
"63","S3P5","C1",16.5049,"Pre-Drought",2.46072
"64","S1P4","C2",23.89806,"Pre-Drought",2.49696
"65","S1P6","C2",-15.36859,"Pre-Drought",2.99064
"66","S2P8","C2",19.78908,"Pre-Drought",2.6424
"67","S2P4","C2",13.10895,"Pre-Drought",2.4792
"68","S2P6","C2",11.07905,"Pre-Drought",1.88304
"69","S3P2","C2",32.74755,"Pre-Drought",2.46528
"70","S3P4","C2",-4.17643,"Pre-Drought",2.48016
"71","S3P6","C2",12.02329,"Pre-Drought",1.97328
"72","S1P1","C1",-21.70532,"Pre-Drought",2.49216
"73","S1P3","C1",1.91757,"Pre-Drought",2.98584
"74","S2P1","C1",19.97572,"Pre-Drought",2.47464
"75","S2P3","C1",-13.95622,"Pre-Drought",2.16192
"76","S2P7","C1",-10.9595,"Pre-Drought",2.9856
