"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-15.85131,-0.62821,"Pre-Drought"
"2","S1P3","C1",4.28609,-0.6523,"Pre-Drought"
"3","S1P5","C1",6.49927,-1.58571,"Pre-Drought"
"4","S2P1","C1",12.09052,-0.64587,"Pre-Drought"
"5","S2P3","C1",11.46111,-0.60287,"Pre-Drought"
"6","S2P7","C1",5.06056,-0.60692,"Pre-Drought"
"7","S3P1","C1",3.32889,-0.6767,"Pre-Drought"
"8","S3P3","C1",11.21706,-0.65035,"Pre-Drought"
"9","S3P5","C1",23.21388,-0.63999,"Pre-Drought"
"10","S1P2","C2",-5.73241,-1.58551,"Pre-Drought"
"11","S1P4","C2",-0.03726,-0.59956,"Pre-Drought"
"12","S1P6","C2",-22.2393,-0.62365,"Pre-Drought"
"13","S2P8","C2",4.59653,-0.57134,"Pre-Drought"
"14","S2P4","C2",4.11482,-0.61718,"Pre-Drought"
"15","S2P6","C2",-6.7562,-0.58602,"Pre-Drought"
"16","S3P2","C2",-10.39383,-0.6113,"Pre-Drought"
"17","S3P4","C2",-20.07521,-0.59302,"Pre-Drought"
"18","S3P6","C2",-0.59171,-0.62163,"Pre-Drought"
"19","S1P1","C1",24.8981,-0.55352,"Pre-Drought"
"20","S1P3","C1",6.37052,-0.56583,"Pre-Drought"
"21","S1P5","C1",4.36979,-1.57144,"Pre-Drought"
"22","S2P1","C1",18.49969,-0.57106,"Pre-Drought"
"23","S2P3","C1",1.58848,-0.52815,"Pre-Drought"
"24","S2P7","C1",-22.1672,-0.53223,"Pre-Drought"
"25","S3P1","C1",10.45113,-0.62172,"Pre-Drought"
"26","S3P3","C1",22.7973,-0.5755,"Pre-Drought"
"27","S3P5","C1",-0.39078,-0.56525,"Pre-Drought"
"28","S1P2","C2",-16.38299,-1.57124,"Pre-Drought"
"29","S1P4","C2",-11.93283,-0.52488,"Pre-Drought"
"30","S1P6","C2",-16.8431,-0.53718,"Pre-Drought"
"31","S2P8","C2",-9.42633,-0.49657,"Pre-Drought"
"32","S2P4","C2",6.51494,-0.54231,"Pre-Drought"
"33","S2P6","C2",22.27708,-0.51125,"Pre-Drought"
"34","S3P2","C2",-11.81358,-0.5366,"Pre-Drought"
"35","S3P4","C2",0.46562,-0.51817,"Pre-Drought"
"36","S3P6","C2",14.56135,-0.54682,"Pre-Drought"
"37","S1P1","C1",-1.30976,-0.47876,"Pre-Drought"
"38","S1P3","C1",-2.03346,-0.47899,"Pre-Drought"
"39","S1P5","C1",-3.9009,-1.55719,"Pre-Drought"
"40","S2P1","C1",-0.33064,-0.49623,"Pre-Drought"
"41","S2P3","C1",-1.40895,-0.45328,"Pre-Drought"
"42","S2P7","C1",-18.25531,-0.45738,"Pre-Drought"
"43","S3P1","C1",12.32773,-0.54685,"Pre-Drought"
"44","S3P3","C1",-16.38738,-0.50073,"Pre-Drought"
"45","S3P5","C1",-8.53805,-0.49064,"Pre-Drought"
"46","S1P2","C2",2.26118,-1.55703,"Pre-Drought"
"47","S1P4","C2",2.66623,-0.45006,"Pre-Drought"
"48","S1P6","C2",-7.87192,-0.45031,"Pre-Drought"
"49","S2P8","C2",21.1269,-0.42174,"Pre-Drought"
"50","S2P4","C2",15.00645,-0.46752,"Pre-Drought"
"51","S2P6","C2",-13.0603,-0.43634,"Pre-Drought"
"52","S3P2","C2",1.44259,-0.46197,"Pre-Drought"
"53","S3P4","C2",-28.95397,-0.44331,"Pre-Drought"
"54","S3P6","C2",3.5179,-0.47203,"Pre-Drought"
"55","S1P1","C1",-6.11435,-0.40397,"Pre-Drought"
"56","S1P3","C1",17.0947,-0.39222,"Pre-Drought"
"57","S1P5","C1",-3.77037,-1.54294,"Pre-Drought"
"58","S2P1","C1",19.44646,-0.42139,"Pre-Drought"
"59","S2P3","C1",-48.46569,-0.37838,"Pre-Drought"
"60","S2P7","C1",-52.41377,-0.38259,"Pre-Drought"
"61","S3P1","C1",-30.33732,-0.47201,"Pre-Drought"
"62","S3P3","C1",7.87619,-0.42591,"Pre-Drought"
"63","S3P5","C1",-7.88179,-0.41598,"Pre-Drought"
"64","S1P2","C2",-3.14975,-1.54275,"Pre-Drought"
"65","S1P6","C2",-35.50885,-0.36352,"Pre-Drought"
"66","S2P8","C2",8.6133,-0.347,"Pre-Drought"
"67","S2P6","C2",-32.32019,-0.3615,"Pre-Drought"
"68","S3P4","C2",8.74966,-0.36851,"Pre-Drought"
"69","S1P1","C1",-6.35697,-0.32916,"Pre-Drought"
"70","S1P3","C1",-5.45806,-0.30537,"Pre-Drought"
"71","S1P5","C1",-0.17,-1.52872,"Pre-Drought"
"72","S2P1","C1",-20.36621,-0.34657,"Pre-Drought"
"73","S2P3","C1",17.68804,-0.30354,"Pre-Drought"
"74","S2P7","C1",4.02765,-0.30787,"Pre-Drought"
"75","S3P1","C1",-11.711,-0.3972,"Pre-Drought"
"76","S3P3","C1",40.6769,-0.35117,"Pre-Drought"
"77","S3P5","C1",-5.68756,-0.34138,"Pre-Drought"
"78","S1P2","C2",11.98291,-1.52853,"Pre-Drought"
"79","S1P4","C2",19.52664,-0.30044,"Pre-Drought"
"80","S1P6","C2",-19.70383,-0.27668,"Pre-Drought"
"81","S2P8","C2",-0.02664,-0.27227,"Pre-Drought"
"82","S2P4","C2",8.89824,-0.31791,"Pre-Drought"
"83","S2P6","C2",8.11262,-0.28663,"Pre-Drought"
"84","S3P2","C2",11.94216,-0.31274,"Pre-Drought"
"85","S3P4","C2",-16.18814,-0.29367,"Pre-Drought"
"86","S3P6","C2",-12.81208,-0.32248,"Pre-Drought"
"87","S1P1","C1",-10.90456,-0.25434,"Pre-Drought"
"88","S1P3","C1",-26.923,-0.21856,"Pre-Drought"
"89","S1P5","C1",-9.01968,-1.51449,"Pre-Drought"
"90","S2P1","C1",14.16773,-0.27181,"Pre-Drought"
"91","S2P3","C1",15.00834,-0.22868,"Pre-Drought"
"92","S2P7","C1",-9.33663,-0.23316,"Pre-Drought"
"93","S3P1","C1",-5.25339,-0.32236,"Pre-Drought"
"94","S3P3","C1",-11.42245,-0.27639,"Pre-Drought"
"95","S3P5","C1",-1.16369,-0.26672,"Pre-Drought"
"96","S1P2","C2",-10.17345,-1.51431,"Pre-Drought"
"97","S1P4","C2",-11.53623,-0.22564,"Pre-Drought"
"98","S1P6","C2",-25.94031,-0.18968,"Pre-Drought"
"99","S2P8","C2",-3.12902,-0.19753,"Pre-Drought"
"100","S2P4","C2",-25.64595,-0.24313,"Pre-Drought"
"101","S2P6","C2",12.7446,-0.21178,"Pre-Drought"
"102","S3P2","C2",-4.53334,-0.23808,"Pre-Drought"
"103","S3P4","C2",-26.8891,-0.21884,"Pre-Drought"
"104","S3P6","C2",-13.94598,-0.24769,"Pre-Drought"
"105","S1P1","C1",-16.00716,-0.17954,"Pre-Drought"
