"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-0.00582,-0.62821,"Pre-Drought"
"2","S1P3","C1",0.00918,-0.6523,"Pre-Drought"
"3","S1P5","C1",0.0288,-1.58571,"Pre-Drought"
"4","S2P1","C1",-0.01015,-0.64587,"Pre-Drought"
"5","S2P3","C1",-0.01642,-0.60287,"Pre-Drought"
"6","S2P7","C1",-0.01003,-0.60692,"Pre-Drought"
"7","S3P1","C1",0.000284,-0.6767,"Pre-Drought"
"8","S3P3","C1",0.00882,-0.65035,"Pre-Drought"
"9","S3P5","C1",-0.000276,-0.63999,"Pre-Drought"
"10","S1P2","C2",0.0153,-1.58551,"Pre-Drought"
"11","S1P4","C2",0.0013,-0.59956,"Pre-Drought"
"12","S1P6","C2",-0.00602,-0.62365,"Pre-Drought"
"13","S2P8","C2",-0.00821,-0.57134,"Pre-Drought"
"14","S2P4","C2",0.00916,-0.61718,"Pre-Drought"
"15","S2P6","C2",0.01549,-0.58602,"Pre-Drought"
"16","S3P2","C2",-0.0058,-0.6113,"Pre-Drought"
"17","S3P4","C2",-0.00237,-0.59302,"Pre-Drought"
"18","S3P6","C2",0.00534,-0.62163,"Pre-Drought"
"19","S1P1","C1",0.00545,-0.55352,"Pre-Drought"
"20","S1P3","C1",0.00878,-0.56583,"Pre-Drought"
"21","S1P5","C1",0.047,-1.57144,"Pre-Drought"
"22","S2P1","C1",-0.00563,-0.57106,"Pre-Drought"
"23","S2P3","C1",-0.01192,-0.52815,"Pre-Drought"
"24","S2P7","C1",-0.00638,-0.53223,"Pre-Drought"
"25","S3P1","C1",0.00398,-0.62172,"Pre-Drought"
"26","S3P3","C1",0.0026,-0.5755,"Pre-Drought"
"27","S3P5","C1",0.00721,-0.56525,"Pre-Drought"
"28","S1P2","C2",-0.0311,-1.57124,"Pre-Drought"
"29","S1P4","C2",-0.000202,-0.52488,"Pre-Drought"
"30","S1P6","C2",-0.01374,-0.53718,"Pre-Drought"
"31","S2P8","C2",-0.00647,-0.49657,"Pre-Drought"
"32","S2P4","C2",-0.02581,-0.54231,"Pre-Drought"
"33","S2P6","C2",-0.00458,-0.51125,"Pre-Drought"
"34","S3P2","C2",-0.000165,-0.5366,"Pre-Drought"
"35","S3P4","C2",0.000899,-0.51817,"Pre-Drought"
"36","S3P6","C2",0.00552,-0.54682,"Pre-Drought"
"37","S1P1","C1",0.00204,-0.47876,"Pre-Drought"
"38","S1P3","C1",0.00869,-0.47899,"Pre-Drought"
"39","S1P5","C1",0.00544,-1.55719,"Pre-Drought"
"40","S2P1","C1",-0.00199,-0.49623,"Pre-Drought"
"41","S2P3","C1",0.00877,-0.45328,"Pre-Drought"
"42","S2P7","C1",-0.000303,-0.45738,"Pre-Drought"
"43","S3P1","C1",0.00931,-0.54685,"Pre-Drought"
"44","S3P3","C1",0.000277,-0.50073,"Pre-Drought"
"45","S3P5","C1",0.0042,-0.49064,"Pre-Drought"
"46","S1P2","C2",-0.0175,-1.55703,"Pre-Drought"
"47","S1P4","C2",0.00408,-0.45006,"Pre-Drought"
"48","S1P6","C2",-0.00667,-0.45031,"Pre-Drought"
"49","S2P8","C2",-0.000114,-0.42174,"Pre-Drought"
"50","S2P4","C2",-0.01798,-0.46752,"Pre-Drought"
"51","S2P6","C2",0.00576,-0.43634,"Pre-Drought"
"52","S3P2","C2",0.0118,-0.46197,"Pre-Drought"
"53","S3P4","C2",-0.00909,-0.44331,"Pre-Drought"
"54","S3P6","C2",0.00474,-0.47203,"Pre-Drought"
"55","S1P1","C1",-0.00175,-0.40397,"Pre-Drought"
"56","S1P3","C1",0.01699,-0.39222,"Pre-Drought"
"57","S1P5","C1",0.0246,-1.54294,"Pre-Drought"
"58","S2P1","C1",0.00876,-0.42139,"Pre-Drought"
"59","S2P3","C1",-0.00195,-0.37838,"Pre-Drought"
"60","S2P7","C1",0.00374,-0.38259,"Pre-Drought"
"61","S3P1","C1",0.00665,-0.47201,"Pre-Drought"
"62","S3P3","C1",0.01217,-0.42591,"Pre-Drought"
"63","S3P5","C1",0.00861,-0.41598,"Pre-Drought"
"64","S1P2","C2",0.00912,-1.54275,"Pre-Drought"
"65","S1P4","C2",0.00165,-0.37525,"Pre-Drought"
"66","S1P6","C2",-0.00156,-0.36352,"Pre-Drought"
"67","S2P8","C2",0.01081,-0.347,"Pre-Drought"
"68","S2P4","C2",-0.00276,-0.39267,"Pre-Drought"
"69","S2P6","C2",3.55e-06,-0.3615,"Pre-Drought"
"70","S3P2","C2",-0.00356,-0.38734,"Pre-Drought"
"71","S3P4","C2",0.00468,-0.36851,"Pre-Drought"
"72","S3P6","C2",0.0034,-0.39722,"Pre-Drought"
"73","S1P1","C1",0.00179,-0.32916,"Pre-Drought"
"74","S1P3","C1",-0.00735,-0.30537,"Pre-Drought"
"75","S1P5","C1",0.10104,-1.52872,"Pre-Drought"
"76","S2P1","C1",0.0204,-0.34657,"Pre-Drought"
