"","Label","Time","Time_Flux"
"1","S1P1.C1","time",-0.68939
"2","S1P1.C1","Flux",-0.00803
"3","S1P3.C1","time",-0.67097
"4","S1P3.C1","Flux",-0.00475
"5","S1P5.C1","time",-0.67546
"6","S1P5.C1","Flux",-0.00151
"7","S2P1.C1","time",-0.68491
"8","S2P1.C1","Flux",0.00188
"9","S2P3.C1","time",-0.69624
"10","S2P3.C1","Flux",-0.000339
"11","S2P5.C1","time",-0.69888
"12","S2P5.C1","Flux",-0.00487
"13","S3P1.C1","time",-0.68292
"14","S3P1.C1","Flux",-0.00511
"15","S3P3.C1","time",-0.69786
"16","S3P3.C1","Flux",0.00784
"17","S3P5.C1","time",-0.59498
"18","S3P5.C1","Flux",0.00344
"19","S1P2.C2","time",-0.67541
"20","S1P2.C2","Flux",-0.00558
"21","S1P4.C2","time",-1.70606
"22","S1P4.C2","Flux",0.01003
"23","S1P6.C2","time",-0.64223
"24","S1P6.C2","Flux",-0.01251
"25","S2P2.C2","time",-0.67022
"26","S2P2.C2","Flux",0.02158
"27","S2P4.C2","time",-0.65623
"28","S2P4.C2","Flux",0.000221
"29","S2P6.C2","time",-0.67307
"30","S3P2.C2","time",-0.56631
"31","S3P2.C2","Flux",0.000682
"32","S3P4.C2","time",-0.65424
"33","S3P4.C2","Flux",-0.00212
"34","S3P6.C2","time",-0.66917
"35","S3P6.C2","Flux",-0.00718
"36","S1P2.W","time",-0.69708
"37","S1P2.W","Flux",-0.01375
"38","S1P4.W","time",-0.66147
"39","S1P4.W","Flux",-0.00135
"40","S1P1.C1","time",-0.61112
"41","S1P1.C1","Flux",-0.00825
"42","S1P3.C1","time",-0.59259
"43","S1P3.C1","Flux",0.00416
"44","S1P5.C1","time",-0.66133
"45","S1P5.C1","Flux",-0.00154
"46","S2P1.C1","time",-0.6066
"47","S2P1.C1","Flux",-0.00246
"48","S2P3.C1","time",-0.61992
"49","S2P3.C1","Flux",-0.00498
"50","S2P5.C1","time",-0.62067
"51","S2P5.C1","Flux",-0.00191
"52","S3P1.C1","time",-0.60461
"53","S3P1.C1","Flux",-0.00592
"54","S3P3.C1","time",-0.61959
"55","S3P3.C1","Flux",0.00234
"56","S3P5.C1","time",-0.51679
"57","S3P5.C1","Flux",-0.00243
"58","S1P2.C2","time",-0.66125
"59","S1P2.C2","Flux",-0.00511
"60","S1P4.C2","time",-1.67046
"61","S1P4.C2","Flux",0.02364
"62","S1P6.C2","time",-0.56388
"63","S1P6.C2","Flux",-0.00609
"64","S2P2.C2","time",-0.59204
"65","S2P2.C2","Flux",0.00118
"66","S2P4.C2","time",-0.57789
"67","S2P4.C2","Flux",0.00245
"68","S2P6.C2","time",-0.59674
"69","S3P2.C2","time",-0.48812
"70","S3P2.C2","Flux",-0.00155
"71","S3P4.C2","time",-0.57593
"72","S3P4.C2","Flux",0.00256
"73","S3P6.C2","time",-0.59091
"74","S3P6.C2","Flux",0.00243
"75","S1P2.W","time",-0.61883
"76","S1P2.W","Flux",-0.00358
"77","S1P4.W","time",-0.58319
"78","S1P4.W","Flux",-0.00458
"79","S1P1.C1","time",-0.53278
"80","S1P1.C1","Flux",-0.00286
"81","S1P3.C1","time",-0.51421
"82","S1P3.C1","Flux",0.00227
"83","S1P5.C1","time",-0.64718
"84","S1P5.C1","Flux",0.0091
"85","S2P1.C1","time",-0.52832
"86","S2P1.C1","Flux",0.00669
"87","S2P3.C1","time",-0.54355
"88","S2P3.C1","Flux",-0.00566
"89","S2P5.C1","time",-0.54251
"90","S2P5.C1","Flux",0.00167
"91","S3P1.C1","time",-0.52626
"92","S3P1.C1","Flux",-0.00314
"93","S3P3.C1","time",-0.54131
"94","S3P3.C1","Flux",-0.00398
"95","S3P5.C1","time",-0.43859
"96","S3P5.C1","Flux",0.01598
"97","S1P2.C2","time",-0.647
"98","S1P2.C2","Flux",-0.00368
"99","S1P4.C2","time",-1.62777
"100","S1P4.C2","Flux",0.00138
"101","S1P6.C2","time",-0.4855
"102","S1P6.C2","Flux",-0.00324
"103","S2P2.C2","time",-0.51387
"104","S2P2.C2","Flux",0.00716
"105","S2P4.C2","time",-0.49961
"106","S2P4.C2","Flux",0.00528
"107","S2P6.C2","time",-0.52038
"108","S3P2.C2","time",-0.40994
"109","S3P2.C2","Flux",0.00112
"110","S3P4.C2","time",-0.49757
"111","S3P4.C2","Flux",-0.00277
"112","S3P6.C2","time",-0.51259
"113","S3P6.C2","Flux",0.00822
"114","S1P2.W","time",-0.54053
"115","S1P2.W","Flux",-0.00288
"116","S1P4.W","time",-0.5049
"117","S1P4.W","Flux",0.00659
"118","S1P1.C1","time",-0.45441
"119","S1P1.C1","Flux",-0.0034
"120","S1P3.C1","time",-0.43583
"121","S1P3.C1","Flux",0.00748
"122","S1P5.C1","time",-0.63293
"123","S1P5.C1","Flux",-0.00663
"124","S2P1.C1","time",-0.45002
"125","S2P1.C1","Flux",0.0067
"126","S2P3.C1","time",-0.46718
"127","S2P3.C1","Flux",-0.00106
"128","S2P5.C1","time",-0.46431
"129","S2P5.C1","Flux",0.01275
"130","S3P1.C1","time",-0.44789
"131","S3P1.C1","Flux",-0.00128
"132","S3P3.C1","time",-0.46295
"133","S3P3.C1","Flux",-0.00735
"134","S3P5.C1","time",-0.36041
"135","S3P5.C1","Flux",0.00172
"136","S1P2.C2","time",-0.63275
"137","S1P2.C2","Flux",0.00932
"138","S1P4.C2","time",-1.59213
"139","S1P4.C2","Flux",0.00775
"140","S1P6.C2","time",-0.40711
"141","S2P2.C2","time",-0.43566
"142","S2P2.C2","Flux",-0.00263
"143","S2P4.C2","time",-0.42131
"144","S2P4.C2","Flux",0.000465
"145","S2P6.C2","time",-0.444
"146","S3P2.C2","time",-0.33175
"147","S3P2.C2","Flux",-0.00163
"148","S3P4.C2","time",-0.41921
"149","S3P6.C2","time",-0.43422
"150","S3P6.C2","Flux",0.0039
