"","Label","Time","Time_Flux"
"1","S1P1.C1","time",-0.62821
"2","S1P1.C1","Flux",-0.00755
"3","S1P3.C1","time",-0.6523
"4","S1P3.C1","Flux",0.00812
"5","S1P5.C1","time",-1.58571
"6","S1P5.C1","Flux",0.02228
"7","S2P1.C1","time",-0.64587
"8","S2P1.C1","Flux",-0.01168
"9","S2P3.C1","time",-0.60287
"10","S2P3.C1","Flux",-0.01883
"11","S2P7.C1","time",-0.60692
"12","S2P7.C1","Flux",-0.01185
"13","S3P1.C1","time",-0.6767
"14","S3P1.C1","Flux",-0.000553
"15","S3P3.C1","time",-0.65035
"16","S3P3.C1","Flux",0.0072
"17","S3P5.C1","time",-0.63999
"18","S3P5.C1","Flux",-0.00145
"19","S1P2.C2","time",-1.58551
"20","S1P2.C2","Flux",0.00828
"21","S1P4.C2","time",-0.59956
"22","S1P4.C2","Flux",-0.000403
"23","S1P6.C2","time",-0.62365
"24","S1P6.C2","Flux",-0.00795
"25","S2P8.C2","time",-0.57134
"26","S2P8.C2","Flux",-0.01017
"27","S2P4.C2","time",-0.61718
"28","S2P4.C2","Flux",0.00742
"29","S2P6.C2","time",-0.58602
"30","S2P6.C2","Flux",0.01338
"31","S3P2.C2","time",-0.6113
"32","S3P2.C2","Flux",-0.00702
"33","S3P4.C2","time",-0.59302
"34","S3P4.C2","Flux",-0.004
"35","S3P6.C2","time",-0.62163
"36","S3P6.C2","Flux",0.00371
"37","S1P1.C1","time",-0.55352
"38","S1P1.C1","Flux",0.00378
"39","S1P3.C1","time",-0.56583
"40","S1P3.C1","Flux",0.00679
"41","S1P5.C1","time",-1.57144
"42","S1P5.C1","Flux",0.0392
"43","S2P1.C1","time",-0.57106
"44","S2P1.C1","Flux",-0.00762
"45","S2P3.C1","time",-0.52815
"46","S2P3.C1","Flux",-0.01465
"47","S2P7.C1","time",-0.53223
"48","S2P7.C1","Flux",-0.00802
"49","S3P1.C1","time",-0.62172
"50","S3P1.C1","Flux",0.00258
"51","S3P3.C1","time",-0.5755
"52","S3P3.C1","Flux",0.00101
"53","S3P5.C1","time",-0.56525
"54","S3P5.C1","Flux",0.0054
"55","S1P2.C2","time",-1.57124
"56","S1P2.C2","Flux",-0.03636
"57","S1P4.C2","time",-0.52488
"58","S1P4.C2","Flux",-0.002
"59","S1P6.C2","time",-0.53718
"60","S1P6.C2","Flux",-0.01576
"61","S2P8.C2","time",-0.49657
"62","S2P8.C2","Flux",-0.00795
"63","S2P4.C2","time",-0.54231
"64","S2P4.C2","Flux",-0.02784
"65","S2P6.C2","time",-0.51125
"66","S2P6.C2","Flux",-0.00651
"67","S3P2.C2","time",-0.5366
"68","S3P2.C2","Flux",-0.00229
"69","S3P4.C2","time",-0.51817
"70","S3P4.C2","Flux",-0.000677
"71","S3P6.C2","time",-0.54682
"72","S3P6.C2","Flux",0.00421
"73","S1P1.C1","time",-0.47876
"74","S1P1.C1","Flux",0.000737
"75","S1P3.C1","time",-0.47899
"76","S1P3.C1","Flux",0.00718
"77","S1P5.C1","time",-1.55719
"78","S1P5.C1","Flux",-0.00184
"79","S2P1.C1","time",-0.49623
"80","S2P1.C1","Flux",-0.00367
"81","S2P3.C1","time",-0.45328
"82","S2P7.C1","time",-0.45738
"83","S2P7.C1","Flux",-0.00163
"84","S3P1.C1","time",-0.54685
