"","X1","X2","X3"
"1","S1P1.C1",-0.00719,-0.68939
"2",NA,NA,NA
"3","S1P3.C1",-0.00526,-0.67097
"4",NA,NA,NA
"5","S1P5.C1",0.00105,-0.67546
"6",NA,NA,NA
"7","S2P1.C1",0.00341,-0.68491
"8",NA,NA,NA
"9","S2P3.C1",-0.00194,-0.69624
"10",NA,NA,NA
"11","S2P5.C1",-0.00115,-0.69888
"12",NA,NA,NA
"13","S3P1.C1",0.01052,-0.68292
"14",NA,NA,NA
"15","S3P3.C1",-0.01692,-0.69786
"16",NA,NA,NA
"17","S3P5.C1",-0.00107,-0.59498
"18",NA,NA,NA
"19","S1P2.C2",0.01406,-0.67541
"20",NA,NA,NA
"21","S1P4.C2",0.00631,-1.70606
"22",NA,NA,NA
"23","S1P6.C2",-0.00684,-0.64223
"24",NA,NA,NA
"25","S2P2.C2",-0.01774,-0.67022
"26",NA,NA,NA
"27","S2P4.C2",0.00562,-0.65623
"28",NA,NA,NA
"29",NA,NA,NA
"30","S3P2.C2",-0.000254,-0.56631
"31",NA,NA,NA
"32","S3P4.C2",0.01042,-0.65424
"33",NA,NA,NA
"34","S3P6.C2",-0.01268,-0.66917
"35",NA,NA,NA
"36","S1P2.W",-0.00184,-0.69708
"37",NA,NA,NA
"38","S1P4.W",-0.00165,-0.66147
"39",NA,NA,NA
"40","S1P1.C1",0.00426,-0.61112
"41",NA,NA,NA
"42","S1P3.C1",-0.01224,-0.59259
"43",NA,NA,NA
"44","S1P5.C1",-0.000324,-0.66133
"45",NA,NA,NA
"46","S2P1.C1",-0.000351,-0.6066
"47",NA,NA,NA
"48","S2P3.C1",-0.00652,-0.61992
"49",NA,NA,NA
"50","S2P5.C1",-0.01572,-0.62067
"51",NA,NA,NA
"52","S3P1.C1",0.00627,-0.60461
"53",NA,NA,NA
"54","S3P3.C1",-0.02678,-0.61959
"55",NA,NA,NA
"56","S3P5.C1",-0.00995,-0.51679
"57",NA,NA,NA
"58","S1P2.C2",-0.0037,-0.66125
"59",NA,NA,NA
"60","S1P4.C2",0.00461,-1.67046
"61",NA,NA,NA
"62","S1P6.C2",-0.000955,-0.56388
"63",NA,NA,NA
"64","S2P2.C2",0.0046,-0.59204
"65",NA,NA,NA
"66","S2P4.C2",0.00391,-0.57789
"67",NA,NA,NA
"68",NA,NA,NA
"69","S3P2.C2",0.05806,-0.48812
"70",NA,NA,NA
"71","S3P4.C2",-0.00128,-0.57593
"72",NA,NA,NA
"73","S3P6.C2",-0.00496,-0.59091
"74",NA,NA,NA
"75","S1P2.W",-0.0028,-0.61883
"76",NA,NA,NA
"77","S1P4.W",-0.00192,-0.58319
"78",NA,NA,NA
"79","S1P1.C1",0.00605,-0.53278
"80",NA,NA,NA
"81","S1P3.C1",0.00407,-0.51421
"82",NA,NA,NA
"83","S1P5.C1",-0.000738,-0.64718
"84",NA,NA,NA
"85","S2P1.C1",-0.00376,-0.52832
"86",NA,NA,NA
"87","S2P3.C1",0.00288,-0.54355
"88",NA,NA,NA
"89","S2P5.C1",0.00342,-0.54251
"90",NA,NA,NA
"91","S3P1.C1",0.00483,-0.52626
"92",NA,NA,NA
"93","S3P3.C1",-0.00415,-0.54131
"94",NA,NA,NA
"95",NA,NA,NA
"96","S1P2.C2",0.00162,-0.647
"97",NA,NA,NA
"98","S1P4.C2",0.00714,-1.62777
"99",NA,NA,NA
"100","S1P6.C2",-0.0039,-0.4855
"101",NA,NA,NA
"102","S2P2.C2",-0.02154,-0.51387
"103",NA,NA,NA
"104","S2P4.C2",0.01833,-0.49961
"105",NA,NA,NA
"106",NA,NA,NA
"107",NA,NA,NA
"108","S3P4.C2",0.00485,-0.49757
"109",NA,NA,NA
"110","S3P6.C2",-0.00331,-0.51259
"111",NA,NA,NA
"112","S1P2.W",-0.00714,-0.54053
"113",NA,NA,NA
"114","S1P4.W",-0.01018,-0.5049
"115",NA,NA,NA
"116",NA,NA,NA
"117",NA,NA,NA
"118","S1P5.C1",-0.0014,-0.63293
"119",NA,NA,NA
"120",NA,NA,NA
"121","S2P3.C1",-0.000765,-0.46718
"122",NA,NA,NA
"123","S2P5.C1",-0.00333,-0.46431
"124",NA,NA,NA
"125",NA,NA,NA
"126",NA,NA,NA
"127",NA,NA,NA
"128","S1P2.C2",0.01527,-0.63275
"129",NA,NA,NA
"130","S1P4.C2",-0.00406,-1.59213
"131",NA,NA,NA
"132",NA,NA,NA
"133",NA,NA,NA
"134",NA,NA,NA
"135",NA,NA,NA
"136",NA,NA,NA
"137",NA,NA,NA
"138",NA,NA,NA
"139","S1P2.W",0.00292,-0.46223
"140",NA,NA,NA
"141","S1P4.W",0.00216,-0.42664
"142",NA,NA,NA
"143",NA,NA,NA
"144",NA,NA,NA
"145","S1P5.C1",0.00731,-0.61868
"146",NA,NA,NA
"147",NA,NA,NA
"148",NA,NA,NA
"149",NA,NA,NA
"150",NA,NA,NA
"151",NA,NA,NA
"152","S3P5.C1",-0.00619,-0.28222
"153",NA,NA,NA
"154","S1P2.C2",0.00149,-0.61851
"155",NA,NA,NA
"156","S1P4.C2",0.00274,-1.54949
"157",NA,NA,NA
"158",NA,NA,NA
"159",NA,NA,NA
"160",NA,NA,NA
"161",NA,NA,NA
"162","S3P2.C2",0.000768,-0.25355
"163",NA,NA,NA
"164",NA,NA,NA
"165",NA,NA,NA
"166","S1P2.W",-0.0379,-0.38407
"167",NA,NA,NA
"168","S1P4.W",0.000887,-0.34841
"169",NA,NA,NA
"170",NA,NA,NA
"171","S1P3.C1",0.0018,-0.2792
"172",NA,NA,NA
"173","S1P5.C1",-0.00364,-0.60443
"174",NA,NA,NA
"175",NA,NA,NA
"176",NA,NA,NA
"177",NA,NA,NA
"178",NA,NA,NA
"179",NA,NA,NA
"180",NA,NA,NA
"181","S1P2.C2",0.00504,-0.60426
"182",NA,NA,NA
"183","S1P4.C2",-0.00456,-1.51385
"184",NA,NA,NA
