"","X1","X2","X3"
"1","S1P1.C1",-0.00803,-0.68939
"2",NA,NA,NA
"3","S1P3.C1",-0.00475,-0.67097
"4",NA,NA,NA
"5","S1P5.C1",-0.00151,-0.67546
"6",NA,NA,NA
"7","S2P1.C1",0.00188,-0.68491
"8",NA,NA,NA
"9","S2P3.C1",-0.000339,-0.69624
"10",NA,NA,NA
"11","S2P5.C1",-0.00487,-0.69888
"12",NA,NA,NA
"13","S3P1.C1",-0.00511,-0.68292
"14",NA,NA,NA
"15","S3P3.C1",0.00784,-0.69786
"16",NA,NA,NA
"17","S3P5.C1",0.00344,-0.59498
"18",NA,NA,NA
"19","S1P2.C2",-0.00558,-0.67541
"20",NA,NA,NA
"21","S1P4.C2",0.01003,-1.70606
"22",NA,NA,NA
"23","S1P6.C2",-0.01251,-0.64223
"24",NA,NA,NA
"25","S2P2.C2",0.02158,-0.67022
"26",NA,NA,NA
"27","S2P4.C2",0.000221,-0.65623
"28",NA,NA,NA
"29",NA,NA,NA
"30","S3P2.C2",0.000682,-0.56631
"31",NA,NA,NA
"32","S3P4.C2",-0.00212,-0.65424
"33",NA,NA,NA
"34","S3P6.C2",-0.00718,-0.66917
"35",NA,NA,NA
"36","S1P2.W",-0.01375,-0.69708
"37",NA,NA,NA
"38","S1P4.W",-0.00135,-0.66147
"39",NA,NA,NA
"40","S1P1.C1",-0.00825,-0.61112
"41",NA,NA,NA
"42","S1P3.C1",0.00416,-0.59259
"43",NA,NA,NA
"44","S1P5.C1",-0.00154,-0.66133
"45",NA,NA,NA
"46","S2P1.C1",-0.00246,-0.6066
"47",NA,NA,NA
"48","S2P3.C1",-0.00498,-0.61992
"49",NA,NA,NA
"50","S2P5.C1",-0.00191,-0.62067
"51",NA,NA,NA
"52","S3P1.C1",-0.00592,-0.60461
"53",NA,NA,NA
"54","S3P3.C1",0.00234,-0.61959
"55",NA,NA,NA
"56","S3P5.C1",-0.00243,-0.51679
"57",NA,NA,NA
"58","S1P2.C2",-0.00511,-0.66125
"59",NA,NA,NA
"60","S1P4.C2",0.02364,-1.67046
"61",NA,NA,NA
"62","S1P6.C2",-0.00609,-0.56388
"63",NA,NA,NA
"64","S2P2.C2",0.00118,-0.59204
"65",NA,NA,NA
"66","S2P4.C2",0.00245,-0.57789
"67",NA,NA,NA
"68",NA,NA,NA
"69","S3P2.C2",-0.00155,-0.48812
"70",NA,NA,NA
"71","S3P4.C2",0.00256,-0.57593
"72",NA,NA,NA
"73","S3P6.C2",0.00243,-0.59091
"74",NA,NA,NA
"75","S1P2.W",-0.00358,-0.61883
"76",NA,NA,NA
"77","S1P4.W",-0.00458,-0.58319
"78",NA,NA,NA
"79","S1P1.C1",-0.00286,-0.53278
"80",NA,NA,NA
"81","S1P3.C1",0.00227,-0.51421
"82",NA,NA,NA
"83","S1P5.C1",0.0091,-0.64718
"84",NA,NA,NA
"85","S2P1.C1",0.00669,-0.52832
"86",NA,NA,NA
"87","S2P3.C1",-0.00566,-0.54355
"88",NA,NA,NA
"89","S2P5.C1",0.00167,-0.54251
"90",NA,NA,NA
"91","S3P1.C1",-0.00314,-0.52626
"92",NA,NA,NA
"93","S3P3.C1",-0.00398,-0.54131
"94",NA,NA,NA
"95","S3P5.C1",0.01598,-0.43859
"96",NA,NA,NA
"97","S1P2.C2",-0.00368,-0.647
"98",NA,NA,NA
"99","S1P4.C2",0.00138,-1.62777
"100",NA,NA,NA
"101","S1P6.C2",-0.00324,-0.4855
"102",NA,NA,NA
"103","S2P2.C2",0.00716,-0.51387
"104",NA,NA,NA
"105","S2P4.C2",0.00528,-0.49961
"106",NA,NA,NA
"107",NA,NA,NA
"108","S3P2.C2",0.00112,-0.40994
"109",NA,NA,NA
"110","S3P4.C2",-0.00277,-0.49757
"111",NA,NA,NA
"112","S3P6.C2",0.00822,-0.51259
"113",NA,NA,NA
"114","S1P2.W",-0.00288,-0.54053
"115",NA,NA,NA
"116","S1P4.W",0.00659,-0.5049
"117",NA,NA,NA
"118","S1P1.C1",-0.0034,-0.45441
"119",NA,NA,NA
"120","S1P3.C1",0.00748,-0.43583
"121",NA,NA,NA
"122","S1P5.C1",-0.00663,-0.63293
"123",NA,NA,NA
"124","S2P1.C1",0.0067,-0.45002
"125",NA,NA,NA
"126","S2P3.C1",-0.00106,-0.46718
"127",NA,NA,NA
"128","S2P5.C1",0.01275,-0.46431
"129",NA,NA,NA
"130","S3P1.C1",-0.00128,-0.44789
"131",NA,NA,NA
"132","S3P3.C1",-0.00735,-0.46295
"133",NA,NA,NA
"134","S3P5.C1",0.00172,-0.36041
"135",NA,NA,NA
"136","S1P2.C2",0.00932,-0.63275
"137",NA,NA,NA
"138","S1P4.C2",0.00775,-1.59213
"139",NA,NA,NA
"140",NA,NA,NA
"141","S2P2.C2",-0.00263,-0.43566
"142",NA,NA,NA
"143","S2P4.C2",0.000465,-0.42131
"144",NA,NA,NA
"145",NA,NA,NA
"146","S3P2.C2",-0.00163,-0.33175
"147",NA,NA,NA
"148",NA,NA,NA
"149","S3P6.C2",0.0039,-0.43422
"150",NA,NA,NA
"151","S1P2.W",0.00861,-0.46223
"152",NA,NA,NA
"153","S1P4.W",0.00564,-0.42664
"154",NA,NA,NA
"155",NA,NA,NA
"156","S1P3.C1",-0.00014,-0.35755
"157",NA,NA,NA
"158","S1P5.C1",-0.00723,-0.61868
"159",NA,NA,NA
"160",NA,NA,NA
"161",NA,NA,NA
"162",NA,NA,NA
"163","S3P1.C1",-0.00418,-0.36956
"164",NA,NA,NA
"165",NA,NA,NA
"166","S3P5.C1",0.00932,-0.28222
"167",NA,NA,NA
"168","S1P2.C2",-0.00934,-0.61851
"169",NA,NA,NA
"170","S1P4.C2",0.01524,-1.54949
"171",NA,NA,NA
"172","S1P6.C2",0.00833,-0.32885
"173",NA,NA,NA
"174","S2P2.C2",-0.00099,-0.35742
"175",NA,NA,NA
"176","S2P4.C2",-0.01005,-0.343
"177",NA,NA,NA
"178",NA,NA,NA
"179","S3P2.C2",0.00869,-0.25355
"180",NA,NA,NA
"181","S3P4.C2",-0.00888,-0.34088
"182",NA,NA,NA
"183",NA,NA,NA
"184",NA,NA,NA
"185","S1P4.W",0.00333,-0.34841
"186",NA,NA,NA
"187",NA,NA,NA
"188","S1P3.C1",0.00576,-0.2792
"189",NA,NA,NA
"190","S1P5.C1",0.00508,-0.60443
"191",NA,NA,NA
"192","S2P1.C1",0.00363,-0.29344
"193",NA,NA,NA
"194","S2P3.C1",0.00233,-0.31437
"195",NA,NA,NA
"196","S2P5.C1",-0.00352,-0.30775
"197",NA,NA,NA
"198","S3P1.C1",-0.00324,-0.29128
"199",NA,NA,NA
"200","S3P3.C1",-0.00574,-0.30627
"201",NA,NA,NA
"202",NA,NA,NA
"203","S1P2.C2",-0.0083,-0.60426
"204",NA,NA,NA
"205","S1P4.C2",-0.0101,-1.51385
"206",NA,NA,NA
"207","S1P6.C2",-0.013,-0.25047
"208",NA,NA,NA
"209",NA,NA,NA
"210","S2P4.C2",0.00368,-0.26473
"211",NA,NA,NA
"212",NA,NA,NA
"213",NA,NA,NA
"214","S3P4.C2",-0.00744,-0.26264
"215",NA,NA,NA
"216","S3P6.C2",-0.00133,-0.27758
"217",NA,NA,NA
"218","S1P2.W",0.000252,-0.30575
"219",NA,NA,NA
"220","S1P4.W",-0.00342,-0.27012
"221",NA,NA,NA
"222",NA,NA,NA
"223","S1P3.C1",-0.00965,-0.20083
"224",NA,NA,NA
"225","S1P5.C1",-0.00623,-0.58317
"226",NA,NA,NA
"227","S2P1.C1",-0.00198,-0.21517
"228",NA,NA,NA
"229","S2P3.C1",-0.000905,-0.238
"230",NA,NA,NA
"231","S2P5.C1",-0.00901,-0.22941
"232",NA,NA,NA
"233","S3P1.C1",-0.0112,-0.21302
"234",NA,NA,NA
"235","S3P3.C1",0.00368,-0.22802
"236",NA,NA,NA
"237",NA,NA,NA
"238","S1P2.C2",-0.000471,-0.583
"239",NA,NA,NA
"240","S1P4.C2",-0.00988,-1.47118
"241",NA,NA,NA
"242","S1P6.C2",-0.00547,-0.17212
"243",NA,NA,NA
"244","S2P2.C2",-0.00415,-0.20068
"245",NA,NA,NA
"246","S2P4.C2",0.00428,-0.18646
"247",NA,NA,NA
"248",NA,NA,NA
"249",NA,NA,NA
"250","S3P4.C2",0.00753,-0.18434
"251",NA,NA,NA
"252","S3P6.C2",-0.00624,-0.19936
"253",NA,NA,NA
"254","S1P2.W",0.03961,-0.22748
"255",NA,NA,NA
"256","S1P4.W",0.01197,-0.19185
"257",NA,NA,NA
"258",NA,NA,NA
"259","S1P3.C1",-0.0099,-0.12244
"260",NA,NA,NA
"261","S1P5.C1",-0.00429,-0.56892
"262",NA,NA,NA
"263","S2P1.C1",-0.00681,-0.13689
"264",NA,NA,NA
"265","S2P3.C1",-0.00379,-0.1616
"266",NA,NA,NA
"267","S2P5.C1",0.0117,-0.15111
"268",NA,NA,NA
"269","S3P1.C1",-0.00777,-0.13472
"270",NA,NA,NA
"271","S3P3.C1",-0.00621,-0.14976
"272",NA,NA,NA
"273",NA,NA,NA
"274","S1P2.C2",0.00844,-0.56874
"275",NA,NA,NA
"276","S1P4.C2",0.00669,-1.43554
"277",NA,NA,NA
"278","S1P6.C2",-0.00359,-0.09373
"279",NA,NA,NA
"280",NA,NA,NA
"281","S2P4.C2",-0.00348,-0.10818
"282",NA,NA,NA
"283",NA,NA,NA
"284",NA,NA,NA
"285","S3P4.C2",0.00713,-0.10604
"286",NA,NA,NA
"287","S3P6.C2",0.00768,-0.12104
"288",NA,NA,NA
"289","S1P2.W",-0.00327,-0.14918
"290",NA,NA,NA
"291",NA,NA,NA
"292",NA,NA,NA
"293","S1P3.C1",-0.01461,-0.04409
"294",NA,NA,NA
"295","S1P5.C1",0.00612,-0.55466
"296",NA,NA,NA
"297","S2P1.C1",-0.0084,-0.05856
"298",NA,NA,NA
"299","S2P3.C1",-0.00331,-0.08523
"300",NA,NA,NA
"301",NA,NA,NA
"302","S3P1.C1",0.00693,-0.05639
"303",NA,NA,NA
"304","S3P3.C1",0.00163,-0.07152
"305",NA,NA,NA
"306","S3P5.C1",-0.00282,0.01455
"307",NA,NA,NA
"308","S1P2.C2",-0.00525,-0.55449
"309",NA,NA,NA
"310",NA,NA,NA
"311","S1P6.C2",-0.00421,-0.00727
"312",NA,NA,NA
"313",NA,NA,NA
"314","S2P4.C2",-0.00723,-0.02988
"315",NA,NA,NA
"316",NA,NA,NA
"317","S3P2.C2",-0.00458,0.01473
"318",NA,NA,NA
"319","S3P4.C2",-1.04e-05,-0.02773
"320",NA,NA,NA
"321","S3P6.C2",0.00867,-0.04285
"322",NA,NA,NA
"323",NA,NA,NA
"324","S1P4.W",0.00296,-0.03534
"325",NA,NA,NA
"326","S1P1.C1",0.00185,0.000313
"327",NA,NA,NA
"328","S1P3.C1",-0.00863,-0.00744
"329",NA,NA,NA
