"","Label","Flux","Time"
"1","S1P1.C1",-0.00719,-0.68939
"2","S1P3.C1",-0.00526,-0.67097
"3","S1P5.C1",0.00105,-0.67546
"4","S2P1.C1",0.00341,-0.68491
"5","S2P3.C1",-0.00194,-0.69624
"6","S2P5.C1",-0.00115,-0.69888
"7","S3P1.C1",0.01052,-0.68292
"8","S3P3.C1",-0.01692,-0.69786
"9","S3P5.C1",-0.00107,-0.59498
"10","S1P2.C2",0.01406,-0.67541
"11","S1P4.C2",0.00631,-1.70606
"12","S1P6.C2",-0.00684,-0.64223
"13","S2P2.C2",-0.01774,-0.67022
"14","S2P4.C2",0.00562,-0.65623
"15","S3P2.C2",-0.000254,-0.56631
"16","S3P4.C2",0.01042,-0.65424
"17","S3P6.C2",-0.01268,-0.66917
"18","S1P2.W",-0.00184,-0.69708
"19","S1P4.W",-0.00165,-0.66147
"20","S1P1.C1",0.00426,-0.61112
"21","S1P3.C1",-0.01224,-0.59259
"22","S1P5.C1",-0.000324,-0.66133
"23","S2P1.C1",-0.000351,-0.6066
"24","S2P3.C1",-0.00652,-0.61992
"25","S2P5.C1",-0.01572,-0.62067
"26","S3P1.C1",0.00627,-0.60461
"27","S3P3.C1",-0.02678,-0.61959
"28","S3P5.C1",-0.00995,-0.51679
"29","S1P2.C2",-0.0037,-0.66125
"30","S1P4.C2",0.00461,-1.67046
"31","S1P6.C2",-0.000955,-0.56388
"32","S2P2.C2",0.0046,-0.59204
"33","S2P4.C2",0.00391,-0.57789
"34","S3P2.C2",0.05806,-0.48812
"35","S3P4.C2",-0.00128,-0.57593
"36","S3P6.C2",-0.00496,-0.59091
"37","S1P2.W",-0.0028,-0.61883
"38","S1P4.W",-0.00192,-0.58319
"39","S1P1.C1",0.00605,-0.53278
"40","S1P3.C1",0.00407,-0.51421
"41","S1P5.C1",-0.000738,-0.64718
"42","S2P1.C1",-0.00376,-0.52832
"43","S2P3.C1",0.00288,-0.54355
"44","S2P5.C1",0.00342,-0.54251
"45","S3P1.C1",0.00483,-0.52626
"46","S3P3.C1",-0.00415,-0.54131
"47","S1P2.C2",0.00162,-0.647
"48","S1P4.C2",0.00714,-1.62777
"49","S1P6.C2",-0.0039,-0.4855
"50","S2P2.C2",-0.02154,-0.51387
"51","S2P4.C2",0.01833,-0.49961
"52","S3P4.C2",0.00485,-0.49757
"53","S3P6.C2",-0.00331,-0.51259
"54","S1P2.W",-0.00714,-0.54053
"55","S1P4.W",-0.01018,-0.5049
"56","S1P5.C1",-0.0014,-0.63293
"57","S2P3.C1",-0.000765,-0.46718
"58","S2P5.C1",-0.00333,-0.46431
"59","S1P2.C2",0.01527,-0.63275
"60","S1P4.C2",-0.00406,-1.59213
"61","S1P2.W",0.00292,-0.46223
"62","S1P4.W",0.00216,-0.42664
"63","S1P5.C1",0.00731,-0.61868
"64","S3P5.C1",-0.00619,-0.28222
"65","S1P2.C2",0.00149,-0.61851
"66","S1P4.C2",0.00274,-1.54949
"67","S3P2.C2",0.000768,-0.25355
"68","S1P2.W",-0.0379,-0.38407
"69","S1P4.W",0.000887,-0.34841
"70","S1P3.C1",0.0018,-0.2792
"71","S1P5.C1",-0.00364,-0.60443
"72","S1P2.C2",0.00504,-0.60426
"73","S1P4.C2",-0.00456,-1.51385
"74","S1P6.C2",-0.00598,-0.25047
"75","S2P2.C2",-0.01355,-0.27904
"76","S3P4.C2",-0.00498,-0.26264
"77","S3P6.C2",0.00318,-0.27758
"78","S1P2.W",-0.00441,-0.30575
"79","S1P4.W",-0.00269,-0.27012
"80","S1P3.C1",-0.000577,-0.20083
"81","S1P5.C1",-0.00763,-0.58317
"82","S2P3.C1",-0.00434,-0.238
"83","S2P5.C1",0.000967,-0.22941
"84","S3P1.C1",-0.01526,-0.21302
"85","S3P3.C1",-0.00881,-0.22802
"86","S1P2.C2",0.00985,-0.583
"87","S1P4.C2",-0.0053,-1.47118
"88","S1P6.C2",-0.00169,-0.17212
"89","S2P2.C2",-0.00627,-0.20068
"90","S3P4.C2",-0.00711,-0.18434
"91","S1P2.W",7.88e-05,-0.22748
"92","S1P4.W",0.00595,-0.19185
"93","S1P3.C1",-0.00649,-0.12244
"94","S1P5.C1",-0.00528,-0.56892
"95","S2P3.C1",-0.000166,-0.1616
"96","S2P5.C1",0.000103,-0.15111
