"","Label","Flux","Time"
"1","S1P1.C1",-0.00803,-0.68939
"2","S1P3.C1",-0.00475,-0.67097
"3","S1P5.C1",-0.00151,-0.67546
"4","S2P1.C1",0.00188,-0.68491
"5","S2P3.C1",-0.000339,-0.69624
"6","S2P5.C1",-0.00487,-0.69888
"7","S3P1.C1",-0.00511,-0.68292
"8","S3P3.C1",0.00784,-0.69786
"9","S3P5.C1",0.00344,-0.59498
"10","S1P2.C2",-0.00558,-0.67541
"11","S1P4.C2",0.01003,-1.70606
"12","S1P6.C2",-0.01251,-0.64223
"13","S2P2.C2",0.02158,-0.67022
"14","S2P4.C2",0.000221,-0.65623
"15","S3P2.C2",0.000682,-0.56631
"16","S3P4.C2",-0.00212,-0.65424
"17","S3P6.C2",-0.00718,-0.66917
"18","S1P2.W",-0.01375,-0.69708
"19","S1P4.W",-0.00135,-0.66147
"20","S1P1.C1",-0.00825,-0.61112
"21","S1P3.C1",0.00416,-0.59259
"22","S1P5.C1",-0.00154,-0.66133
"23","S2P1.C1",-0.00246,-0.6066
"24","S2P3.C1",-0.00498,-0.61992
"25","S2P5.C1",-0.00191,-0.62067
"26","S3P1.C1",-0.00592,-0.60461
"27","S3P3.C1",0.00234,-0.61959
"28","S3P5.C1",-0.00243,-0.51679
"29","S1P2.C2",-0.00511,-0.66125
"30","S1P4.C2",0.02364,-1.67046
"31","S1P6.C2",-0.00609,-0.56388
"32","S2P2.C2",0.00118,-0.59204
"33","S2P4.C2",0.00245,-0.57789
"34","S3P2.C2",-0.00155,-0.48812
"35","S3P4.C2",0.00256,-0.57593
"36","S3P6.C2",0.00243,-0.59091
"37","S1P2.W",-0.00358,-0.61883
"38","S1P4.W",-0.00458,-0.58319
"39","S1P1.C1",-0.00286,-0.53278
"40","S1P3.C1",0.00227,-0.51421
"41","S1P5.C1",0.0091,-0.64718
"42","S2P1.C1",0.00669,-0.52832
"43","S2P3.C1",-0.00566,-0.54355
"44","S2P5.C1",0.00167,-0.54251
"45","S3P1.C1",-0.00314,-0.52626
"46","S3P3.C1",-0.00398,-0.54131
"47","S3P5.C1",0.01598,-0.43859
"48","S1P2.C2",-0.00368,-0.647
