"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-0.00719,-0.68939,"Drought"
"2","S1P3","C1",-0.00526,-0.67097,"Drought"
"3","S1P5","C1",0.00105,-0.67546,"Drought"
"4","S2P1","C1",0.00341,-0.68491,"Drought"
"5","S2P3","C1",-0.00194,-0.69624,"Drought"
"6","S2P5","C1",-0.00115,-0.69888,"Drought"
"7","S3P1","C1",0.01052,-0.68292,"Drought"
"8","S3P3","C1",-0.01692,-0.69786,"Drought"
"9","S3P5","C1",-0.00107,-0.59498,"Drought"
"10","S1P2","C2",0.01406,-0.67541,"Drought"
"11","S1P4","C2",0.00631,-1.70606,"Drought"
"12","S1P6","C2",-0.00684,-0.64223,"Drought"
"13","S2P2","C2",-0.01774,-0.67022,"Drought"
"14","S2P4","C2",0.00562,-0.65623,"Drought"
"15","S3P2","C2",-0.000254,-0.56631,"Drought"
"16","S3P4","C2",0.01042,-0.65424,"Drought"
"17","S3P6","C2",-0.01268,-0.66917,"Drought"
"18","S1P2","W",-0.00184,-0.69708,"Drought"
"19","S1P4","W",-0.00165,-0.66147,"Drought"
"20","S1P1","C1",0.00426,-0.61112,"Drought"
"21","S1P3","C1",-0.01224,-0.59259,"Drought"
"22","S1P5","C1",-0.000324,-0.66133,"Drought"
"23","S2P1","C1",-0.000351,-0.6066,"Drought"
"24","S2P3","C1",-0.00652,-0.61992,"Drought"
"25","S2P5","C1",-0.01572,-0.62067,"Drought"
"26","S3P1","C1",0.00627,-0.60461,"Drought"
"27","S3P3","C1",-0.02678,-0.61959,"Drought"
"28","S3P5","C1",-0.00995,-0.51679,"Drought"
"29","S1P2","C2",-0.0037,-0.66125,"Drought"
"30","S1P4","C2",0.00461,-1.67046,"Drought"
"31","S1P6","C2",-0.000955,-0.56388,"Drought"
"32","S2P2","C2",0.0046,-0.59204,"Drought"
"33","S2P4","C2",0.00391,-0.57789,"Drought"
"34","S3P2","C2",0.05806,-0.48812,"Drought"
"35","S3P4","C2",-0.00128,-0.57593,"Drought"
"36","S3P6","C2",-0.00496,-0.59091,"Drought"
"37","S1P2","W",-0.0028,-0.61883,"Drought"
"38","S1P4","W",-0.00192,-0.58319,"Drought"
"39","S1P1","C1",0.00605,-0.53278,"Drought"
"40","S1P3","C1",0.00407,-0.51421,"Drought"
"41","S1P5","C1",-0.000738,-0.64718,"Drought"
"42","S2P1","C1",-0.00376,-0.52832,"Drought"
"43","S2P3","C1",0.00288,-0.54355,"Drought"
"44","S2P5","C1",0.00342,-0.54251,"Drought"
"45","S3P1","C1",0.00483,-0.52626,"Drought"
"46","S3P3","C1",-0.00415,-0.54131,"Drought"
"47","S1P2","C2",0.00162,-0.647,"Drought"
"48","S1P4","C2",0.00714,-1.62777,"Drought"
"49","S1P6","C2",-0.0039,-0.4855,"Drought"
"50","S2P2","C2",-0.02154,-0.51387,"Drought"
"51","S2P4","C2",0.01833,-0.49961,"Drought"
"52","S3P4","C2",0.00485,-0.49757,"Drought"
"53","S3P6","C2",-0.00331,-0.51259,"Drought"
"54","S1P2","W",-0.00714,-0.54053,"Drought"
"55","S1P4","W",-0.01018,-0.5049,"Drought"
"56","S1P5","C1",-0.0014,-0.63293,"Drought"
"57","S2P3","C1",-0.000765,-0.46718,"Drought"
"58","S2P5","C1",-0.00333,-0.46431,"Drought"
"59","S1P2","C2",0.01527,-0.63275,"Drought"
"60","S1P4","C2",-0.00406,-1.59213,"Drought"
"61","S1P2","W",0.00292,-0.46223,"Drought"
"62","S1P4","W",0.00216,-0.42664,"Drought"
"63","S1P5","C1",0.00731,-0.61868,"Drought"
"64","S3P5","C1",-0.00619,-0.28222,"Drought"
"65","S1P2","C2",0.00149,-0.61851,"Drought"
"66","S1P4","C2",0.00274,-1.54949,"Drought"
"67","S3P2","C2",0.000768,-0.25355,"Drought"
"68","S1P2","W",-0.0379,-0.38407,"Drought"
"69","S1P4","W",0.000887,-0.34841,"Drought"
"70","S1P3","C1",0.0018,-0.2792,"Drought"
"71","S1P5","C1",-0.00364,-0.60443,"Drought"
"72","S1P2","C2",0.00504,-0.60426,"Drought"
"73","S1P4","C2",-0.00456,-1.51385,"Drought"
"74","S1P6","C2",-0.00598,-0.25047,"Drought"
"75","S2P2","C2",-0.01355,-0.27904,"Drought"
"76","S3P4","C2",-0.00498,-0.26264,"Drought"
"77","S3P6","C2",0.00318,-0.27758,"Drought"
"78","S1P2","W",-0.00441,-0.30575,"Drought"
"79","S1P4","W",-0.00269,-0.27012,"Drought"
"80","S1P3","C1",-0.000577,-0.20083,"Drought"
"81","S1P5","C1",-0.00763,-0.58317,"Drought"
"82","S2P3","C1",-0.00434,-0.238,"Drought"
"83","S2P5","C1",0.000967,-0.22941,"Drought"
"84","S3P1","C1",-0.01526,-0.21302,"Drought"
"85","S3P3","C1",-0.00881,-0.22802,"Drought"
"86","S1P2","C2",0.00985,-0.583,"Drought"
"87","S1P4","C2",-0.0053,-1.47118,"Drought"
"88","S1P6","C2",-0.00169,-0.17212,"Drought"
"89","S2P2","C2",-0.00627,-0.20068,"Drought"
"90","S3P4","C2",-0.00711,-0.18434,"Drought"
"91","S1P2","W",7.88e-05,-0.22748,"Drought"
"92","S1P4","W",0.00595,-0.19185,"Drought"
"93","S1P3","C1",-0.00649,-0.12244,"Drought"
"94","S1P5","C1",-0.00528,-0.56892,"Drought"
"95","S2P3","C1",-0.000166,-0.1616,"Drought"
"96","S2P5","C1",0.000103,-0.15111,"Drought"
"97","S3P1","C1",-0.000883,-0.13472,"Drought"
"98","S3P3","C1",-0.003,-0.14976,"Drought"
"99","S1P2","C2",-0.0026,-0.56874,"Drought"
"100","S1P6","C2",-0.000388,-0.09373,"Drought"
"101","S3P4","C2",0.000594,-0.10604,"Drought"
"102","S1P2","W",-0.0017,-0.14918,"Drought"
"103","S1P4","W",-0.00432,-0.11354,"Drought"
"104","S1P3","C1",-0.00237,-0.04409,"Drought"
"105","S1P5","C1",0.00297,-0.55466,"Drought"
"106","S2P3","C1",0.00714,-0.08523,"Drought"
"107","S3P1","C1",0.00657,-0.05639,"Drought"
"108","S3P3","C1",0.00374,-0.07152,"Drought"
"109","S1P2","C2",0.03106,-0.55449,"Drought"
"110","S1P6","C2",-0.00513,-0.00727,"Drought"
"111","S2P4","C2",0.00159,-0.02988,"Drought"
"112","S3P4","C2",-0.00339,-0.02773,"Drought"
"113","S3P6","C2",0.00454,-0.04285,"Drought"
"114","S1P2","W",0.00286,-0.07093,"Drought"
"115","S1P4","W",-0.00353,-0.03534,"Drought"
"116","S1P1","C1",-0.0042,0.000313,"Drought"
"117","S1P3","C1",0.00138,-0.00744,"Drought"
"118","S1P5","C1",0.01224,-0.54042,"Drought"
"119","S2P3","C1",-0.00459,-0.00734,"Drought"
"120","S3P1","C1",-0.00317,-0.00745,"Drought"
"121","S3P3","C1",-0.0048,-0.00747,"Drought"
"122","S3P5","C1",0.03428,0.03589,"Drought"
"123","S1P2","C2",0.00371,-0.54024,"Drought"
"124","S1P6","C2",0.00958,0.01411,"Drought"
"125","S2P4","C2",-0.02489,-0.00728,"Drought"
"126","S2P6","C2",-0.00692,-0.00716,"Drought"
"127","S3P2","C2",-0.00197,0.03609,"Drought"
"128","S3P4","C2",0.00771,-0.00729,"Drought"
"129","S3P6","C2",0.00678,-0.00729,"Drought"
"130","S1P2","W",0.000333,-0.00985,"Drought"
"131","S1P4","W",0.00231,-0.00274,"Drought"
"132","S1P1","C1",-0.0051,0.02169,"Drought"
"133","S1P3","C1",0.00341,0.01394,"Drought"
"134","S1P5","C1",0.00222,-0.52617,"Drought"
"135","S2P1","C1",-0.00262,0.01392,"Drought"
"136","S2P3","C1",0.01482,0.01406,"Drought"
"137","S3P1","C1",0.0015,0.01392,"Drought"
"138","S3P3","C1",-0.00854,0.01389,"Drought"
"139","S1P2","C2",-0.00313,-0.526,"Drought"
"140","S1P6","C2",0.00613,0.03546,"Drought"
"141","S2P4","C2",-0.00693,0.0141,"Drought"
"142","S2P6","C2",0.00816,0.01427,"Drought"
"143","S3P2","C2",-0.01187,0.05745,"Drought"
"144","S3P4","C2",0.00799,0.01409,"Drought"
"145","S3P6","C2",-0.00715,0.01407,"Drought"
"146","S1P2","W",-0.00899,0.0115,"Drought"
"147","S1P4","W",-0.00234,0.01862,"Drought"
"148","S1P1","C1",0.00149,0.04309,"Drought"
"149","S1P3","C1",-0.00921,0.03529,"Drought"
"150","S1P5","C1",-0.00242,-0.51193,"Drought"
"151","S2P1","C1",0.00694,0.0353,"Drought"
"152","S2P3","C1",-0.00436,0.03544,"Drought"
"153","S3P1","C1",0.00118,0.03528,"Drought"
"154","S3P3","C1",-0.01289,0.03523,"Drought"
"155","S3P5","C1",-0.00832,0.08562,"Drought"
"156","S1P4","C2",-0.01347,-1.27897,"Drought"
"157","S1P6","C2",-0.00168,0.05681,"Drought"
"158","S2P4","C2",0.01703,0.03547,"Drought"
"159","S2P6","C2",-0.00679,0.03564,"Drought"
