"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-0.00803,-0.68939,"Drought"
"2","S1P3","C1",-0.00475,-0.67097,"Drought"
"3","S1P5","C1",-0.00151,-0.67546,"Drought"
"4","S2P1","C1",0.00188,-0.68491,"Drought"
"5","S2P3","C1",-0.000339,-0.69624,"Drought"
"6","S2P5","C1",-0.00487,-0.69888,"Drought"
"7","S3P1","C1",-0.00511,-0.68292,"Drought"
"8","S3P3","C1",0.00784,-0.69786,"Drought"
"9","S3P5","C1",0.00344,-0.59498,"Drought"
"10","S1P2","C2",-0.00558,-0.67541,"Drought"
"11","S1P4","C2",0.01003,-1.70606,"Drought"
"12","S1P6","C2",-0.01251,-0.64223,"Drought"
"13","S2P2","C2",0.02158,-0.67022,"Drought"
"14","S2P4","C2",0.000221,-0.65623,"Drought"
"15","S3P2","C2",0.000682,-0.56631,"Drought"
"16","S3P4","C2",-0.00212,-0.65424,"Drought"
"17","S3P6","C2",-0.00718,-0.66917,"Drought"
"18","S1P2","W",-0.01375,-0.69708,"Drought"
"19","S1P4","W",-0.00135,-0.66147,"Drought"
"20","S1P1","C1",-0.00825,-0.61112,"Drought"
"21","S1P3","C1",0.00416,-0.59259,"Drought"
"22","S1P5","C1",-0.00154,-0.66133,"Drought"
"23","S2P1","C1",-0.00246,-0.6066,"Drought"
"24","S2P3","C1",-0.00498,-0.61992,"Drought"
"25","S2P5","C1",-0.00191,-0.62067,"Drought"
"26","S3P1","C1",-0.00592,-0.60461,"Drought"
"27","S3P3","C1",0.00234,-0.61959,"Drought"
"28","S3P5","C1",-0.00243,-0.51679,"Drought"
"29","S1P2","C2",-0.00511,-0.66125,"Drought"
"30","S1P4","C2",0.02364,-1.67046,"Drought"
"31","S1P6","C2",-0.00609,-0.56388,"Drought"
"32","S2P2","C2",0.00118,-0.59204,"Drought"
"33","S2P4","C2",0.00245,-0.57789,"Drought"
"34","S3P2","C2",-0.00155,-0.48812,"Drought"
"35","S3P4","C2",0.00256,-0.57593,"Drought"
"36","S3P6","C2",0.00243,-0.59091,"Drought"
"37","S1P2","W",-0.00358,-0.61883,"Drought"
"38","S1P4","W",-0.00458,-0.58319,"Drought"
"39","S1P1","C1",-0.00286,-0.53278,"Drought"
