"","X1","X2","X3"
"1","S1P1.C1",-0.00617,-0.62821
"2",NA,NA,NA
"3","S1P3.C1",0.00318,-0.6523
"4",NA,NA,NA
"5","S1P5.C1",0.01821,-1.58571
"6",NA,NA,NA
"7","S2P1.C1",0.01435,-0.64587
"8",NA,NA,NA
"9","S2P3.C1",0.01085,-0.60287
"10",NA,NA,NA
"11","S2P7.C1",0.00296,-0.60692
"12",NA,NA,NA
"13","S3P1.C1",0.00517,-0.6767
"14",NA,NA,NA
"15","S3P3.C1",0.00764,-0.65035
"16",NA,NA,NA
"17","S3P5.C1",0.00928,-0.63999
"18",NA,NA,NA
"19","S1P2.C2",-0.0119,-1.58551
"20",NA,NA,NA
"21","S1P4.C2",0.00426,-0.59956
"22",NA,NA,NA
"23","S1P6.C2",-0.00929,-0.62365
"24",NA,NA,NA
"25","S2P8.C2",0.00715,-0.57134
"26",NA,NA,NA
"27","S2P4.C2",0.00679,-0.61718
"28",NA,NA,NA
"29","S2P6.C2",-0.00938,-0.58602
"30",NA,NA,NA
"31","S3P2.C2",-0.0048,-0.6113
"32",NA,NA,NA
"33","S3P4.C2",-0.00963,-0.59302
"34",NA,NA,NA
"35","S3P6.C2",0.00254,-0.62163
"36",NA,NA,NA
"37","S1P1.C1",0.01114,-0.55352
"38",NA,NA,NA
"39","S1P3.C1",0.00132,-0.56583
"40",NA,NA,NA
"41","S1P5.C1",0.0116,-1.57144
"42",NA,NA,NA
"43","S2P1.C1",0.01312,-0.57106
"44",NA,NA,NA
"45","S2P3.C1",-0.00231,-0.52815
"46",NA,NA,NA
"47","S2P7.C1",-0.01406,-0.53223
"48",NA,NA,NA
"49","S3P1.C1",0.00935,-0.62172
"50",NA,NA,NA
"51","S3P3.C1",0.015,-0.5755
"52",NA,NA,NA
"53","S3P5.C1",0.00148,-0.56525
"54",NA,NA,NA
"55","S1P2.C2",-0.03806,-1.57124
"56",NA,NA,NA
"57","S1P4.C2",-0.01027,-0.52488
"58",NA,NA,NA
"59","S1P6.C2",-0.00573,-0.53718
"60",NA,NA,NA
"61","S2P8.C2",-0.00466,-0.49657
"62",NA,NA,NA
"63","S2P4.C2",0.00246,-0.54231
"64",NA,NA,NA
"65","S2P6.C2",0.01539,-0.51125
"66",NA,NA,NA
"67","S3P2.C2",-0.00478,-0.5366
"68",NA,NA,NA
"69","S3P4.C2",0.00237,-0.51817
"70",NA,NA,NA
"71","S3P6.C2",0.01341,-0.54682
"72",NA,NA,NA
"73","S1P1.C1",-0.00162,-0.47876
"74",NA,NA,NA
"75","S1P3.C1",0.00226,-0.47899
"76",NA,NA,NA
"77","S1P5.C1",-0.00444,-1.55719
"78",NA,NA,NA
"79","S2P1.C1",0.00486,-0.49623
"80",NA,NA,NA
"81","S2P3.C1",0.00485,-0.45328
"82",NA,NA,NA
"83","S2P7.C1",-0.01214,-0.45738
"84",NA,NA,NA
"85","S3P1.C1",0.00447,-0.54685
"86",NA,NA,NA
"87","S3P3.C1",-0.000558,-0.50073
"88",NA,NA,NA
"89","S3P5.C1",0.000258,-0.49064
"90",NA,NA,NA
"91","S1P2.C2",3.93e-05,-1.55703
"92",NA,NA,NA
"93","S1P4.C2",0.00254,-0.45006
"94",NA,NA,NA
"95","S1P6.C2",-0.00522,-0.45031
"96",NA,NA,NA
"97","S2P8.C2",0.011,-0.42174
"98",NA,NA,NA
"99","S2P4.C2",0.01214,-0.46752
"100",NA,NA,NA
"101","S2P6.C2",-0.00594,-0.43634
"102",NA,NA,NA
"103","S3P2.C2",0.00015,-0.46197
"104",NA,NA,NA
"105","S3P4.C2",-0.01335,-0.44331
"106",NA,NA,NA
"107","S3P6.C2",0.000828,-0.47203
"108",NA,NA,NA
"109","S1P1.C1",-0.00693,-0.40397
"110",NA,NA,NA
"111","S1P3.C1",0.00667,-0.39222
"112",NA,NA,NA
"113","S1P5.C1",-0.00265,-1.54294
"114",NA,NA,NA
"115","S2P1.C1",0.01817,-0.42139
"116",NA,NA,NA
"117","S2P3.C1",-0.00495,-0.37838
"118",NA,NA,NA
"119","S2P7.C1",-0.00335,-0.38259
"120",NA,NA,NA
"121","S3P1.C1",-0.0162,-0.47201
"122",NA,NA,NA
"123","S3P3.C1",-0.0028,-0.42591
"124",NA,NA,NA
"125","S3P5.C1",-0.00891,-0.41598
"126",NA,NA,NA
"127","S1P2.C2",-0.01354,-1.54275
"128",NA,NA,NA
"129","S1P4.C2",-0.00188,-0.37525
"130",NA,NA,NA
"131","S1P6.C2",-0.0163,-0.36352
"132",NA,NA,NA
"133","S2P8.C2",0.00559,-0.347
"134",NA,NA,NA
"135","S2P4.C2",0.00391,-0.39267
"136",NA,NA,NA
