"","Label","Flux","Time"
"1","S1P1.C1",-0.00617,-0.62821
"2","S1P3.C1",0.00318,-0.6523
"3","S1P5.C1",0.01821,-1.58571
"4","S2P1.C1",0.01435,-0.64587
"5","S2P3.C1",0.01085,-0.60287
"6","S2P7.C1",0.00296,-0.60692
"7","S3P1.C1",0.00517,-0.6767
"8","S3P3.C1",0.00764,-0.65035
"9","S3P5.C1",0.00928,-0.63999
"10","S1P2.C2",-0.0119,-1.58551
"11","S1P4.C2",0.00426,-0.59956
"12","S1P6.C2",-0.00929,-0.62365
"13","S2P8.C2",0.00715,-0.57134
"14","S2P4.C2",0.00679,-0.61718
"15","S2P6.C2",-0.00938,-0.58602
"16","S3P2.C2",-0.0048,-0.6113
"17","S3P4.C2",-0.00963,-0.59302
"18","S3P6.C2",0.00254,-0.62163
"19","S1P1.C1",0.01114,-0.55352
"20","S1P3.C1",0.00132,-0.56583
"21","S1P5.C1",0.0116,-1.57144
"22","S2P1.C1",0.01312,-0.57106
"23","S2P3.C1",-0.00231,-0.52815
"24","S2P7.C1",-0.01406,-0.53223
"25","S3P1.C1",0.00935,-0.62172
"26","S3P3.C1",0.015,-0.5755
"27","S3P5.C1",0.00148,-0.56525
"28","S1P2.C2",-0.03806,-1.57124
"29","S1P4.C2",-0.01027,-0.52488
"30","S1P6.C2",-0.00573,-0.53718
"31","S2P8.C2",-0.00466,-0.49657
"32","S2P4.C2",0.00246,-0.54231
"33","S2P6.C2",0.01539,-0.51125
"34","S3P2.C2",-0.00478,-0.5366
"35","S3P4.C2",0.00237,-0.51817
"36","S3P6.C2",0.01341,-0.54682
"37","S1P1.C1",-0.00162,-0.47876
"38","S1P3.C1",0.00226,-0.47899
"39","S1P5.C1",-0.00444,-1.55719
"40","S2P1.C1",0.00486,-0.49623
"41","S2P3.C1",0.00485,-0.45328
"42","S2P7.C1",-0.01214,-0.45738
"43","S3P1.C1",0.00447,-0.54685
"44","S3P3.C1",-0.000558,-0.50073
"45","S3P5.C1",0.000258,-0.49064
"46","S1P2.C2",3.93e-05,-1.55703
"47","S1P4.C2",0.00254,-0.45006
"48","S1P6.C2",-0.00522,-0.45031
"49","S2P8.C2",0.011,-0.42174
"50","S2P4.C2",0.01214,-0.46752
"51","S2P6.C2",-0.00594,-0.43634
"52","S3P2.C2",0.00015,-0.46197
"53","S3P4.C2",-0.01335,-0.44331
"54","S3P6.C2",0.000828,-0.47203
"55","S1P1.C1",-0.00693,-0.40397
"56","S1P3.C1",0.00667,-0.39222
"57","S1P5.C1",-0.00265,-1.54294
"58","S2P1.C1",0.01817,-0.42139
"59","S2P3.C1",-0.00495,-0.37838
"60","S2P7.C1",-0.00335,-0.38259
"61","S3P1.C1",-0.0162,-0.47201
"62","S3P3.C1",-0.0028,-0.42591
"63","S3P5.C1",-0.00891,-0.41598
"64","S1P2.C2",-0.01354,-1.54275
"65","S1P4.C2",-0.00188,-0.37525
"66","S1P6.C2",-0.0163,-0.36352
"67","S2P8.C2",0.00559,-0.347
"68","S2P4.C2",0.00391,-0.39267
"69","S2P6.C2",-0.02135,-0.3615
"70","S3P2.C2",-0.01879,-0.38734
"71","S3P4.C2",0.00424,-0.36851
"72","S3P6.C2",0.00491,-0.39722
"73","S1P1.C1",-0.00125,-0.32916
"74","S1P3.C1",-0.00501,-0.30537
"75","S1P5.C1",0.00234,-1.52872
"76","S2P1.C1",-0.00876,-0.34657
"77","S2P3.C1",0.01202,-0.30354
"78","S2P7.C1",0.00234,-0.30787
"79","S3P1.C1",0.00118,-0.3972
"80","S3P3.C1",0.01217,-0.35117
"81","S3P5.C1",-0.000341,-0.34138
"82","S1P2.C2",0.0143,-1.52853
"83","S1P4.C2",0.00976,-0.30044
"84","S1P6.C2",-0.01323,-0.27668
"85","S2P8.C2",0.00143,-0.27227
"86","S2P4.C2",0.00744,-0.31791
"87","S2P6.C2",0.00187,-0.28663
"88","S3P2.C2",0.00832,-0.31274
"89","S3P4.C2",-0.00458,-0.29367
"90","S3P6.C2",-0.00377,-0.32248
"91","S1P1.C1",-0.00527,-0.25434
"92","S1P3.C1",-0.01167,-0.21856
"93","S1P5.C1",-0.02499,-1.51449
"94","S2P1.C1",0.00562,-0.27181
"95","S2P3.C1",0.005,-0.22868
"96","S2P7.C1",-0.00526,-0.23316
"97","S3P1.C1",-0.00183,-0.32236
"98","S3P3.C1",-0.00087,-0.27639
"99","S3P5.C1",0.00309,-0.26672
"100","S1P2.C2",-0.00596,-1.51431
"101","S1P4.C2",-0.00904,-0.22564
"102","S1P6.C2",-0.01284,-0.18968
"103","S2P8.C2",0.00226,-0.19753
"104","S2P4.C2",-0.0138,-0.24313
"105","S2P6.C2",0.00248,-0.21178
"106","S3P2.C2",-0.00236,-0.23808
"107","S3P4.C2",-0.01868,-0.21884
"108","S3P6.C2",-0.00502,-0.24769
"109","S1P1.C1",-0.00695,-0.17954
"110","S1P3.C1",0.00841,-0.1298
"111","S1P5.C1",-0.00519,-1.49675
"112","S2P1.C1",0.01305,-0.19699
"113","S2P3.C1",-0.00122,-0.15382
"114","S2P7.C1",0.01271,-0.15837
"115","S3P1.C1",0.02139,-0.24753
"116","S3P3.C1",0.000403,-0.20163
"117","S3P5.C1",0.00385,-0.19205
"118","S1P2.C2",-0.00439,-1.49659
"119","S1P4.C2",-0.00907,-0.15082
"120","S1P6.C2",0.00872,-0.10104
"121","S2P8.C2",0.00632,-0.12279
"122","S2P4.C2",0.0025,-0.16826
"123","S2P6.C2",0.01517,-0.1369
"124","S3P2.C2",-0.00133,-0.16334
"125","S3P4.C2",-0.00278,-0.14403
"126","S3P6.C2",-0.00158,-0.17293
"127","S1P1.C1",0.00738,-0.10471
"128","S1P3.C1",-0.0146,-0.04495
"129","S1P5.C1",0.00911,-1.48253
"130","S2P1.C1",-0.0026,-0.12216
"131","S2P3.C1",0.0202,-0.07897
"132","S2P7.C1",0.00141,-0.08367
"133","S3P1.C1",-0.00265,-0.1727
"134","S3P3.C1",0.00635,-0.12685
"135","S3P5.C1",-0.0077,-0.11728
"136","S1P2.C2",0.00567,-1.48236
"137","S1P4.C2",-0.00609,-0.07598
"138","S1P6.C2",0.00761,-0.00735
"139","S2P8.C2",0.01461,-0.04801
"140","S2P4.C2",0.01858,-0.09343
"141","S2P6.C2",-0.02039,-0.06207
"142","S3P2.C2",0.00257,-0.08854
"143","S3P4.C2",-0.01681,-0.06925
"144","S3P6.C2",0.000115,-0.09814
"145","S1P1.C1",0.0024,-0.02986
"146","S1P3.C1",-0.00774,-0.00755
"147","S1P5.C1",0.0053,-1.46832
"148","S2P1.C1",0.000711,-0.04726
"149","S2P3.C1",-0.00389,-0.02704
"150","S2P7.C1",0.00738,-0.00747
"151","S3P1.C1",-0.00167,-0.09791
"152","S3P3.C1",-0.00449,-0.05207
"153","S3P5.C1",0.00275,-0.04241
"154","S1P2.C2",0.00263,-1.46814
"155","S1P4.C2",0.0125,-0.00652
"156","S1P6.C2",-0.02331,0.01405
"157","S2P8.C2",-0.00512,-0.000324
"158","S2P4.C2",-0.00219,-0.00723
"159","S2P6.C2",0.00808,-0.03867
"160","S3P2.C2",-0.00822,-0.01366
"161","S3P4.C2",0.00198,-0.00716
"162","S3P6.C2",0.00541,-0.02815
"163","S1P1.C1",0.01112,-0.0067
"164","S1P3.C1",-0.0054,0.01385
"165","S1P5.C1",-0.01383,-1.45409
"166","S2P1.C1",-0.00522,-0.00742
"167","S2P3.C1",-0.00289,-0.00565
"168","S2P7.C1",0.00923,0.01391
"169","S3P1.C1",-0.00663,-0.02315
"170","S3P3.C1",-0.01003,-0.02834
"171","S3P5.C1",-0.01213,0.01333
"172","S1P2.C2",-0.00467,-1.45391
"173","S1P4.C2",0.0026,0.01488
"174","S1P6.C2",-0.00244,0.03545
"175","S2P8.C2",-0.00278,0.02105
"176","S2P4.C2",-0.00723,0.01417
"177","S2P6.C2",-0.04802,-0.01727
"178","S3P2.C2",-0.0071,0.01354
"179","S3P4.C2",0.00745,0.01422
"180","S3P6.C2",0.00146,-0.00682
"181","S1P1.C1",0.02394,0.01469
"182","S1P3.C1",0.00981,0.03525
"183","S1P5.C1",0.017,-1.43986
"184","S2P1.C1",0.0052,0.01398
"185","S2P3.C1",0.01794,0.01573
"186","S2P7.C1",0.00619,0.0353
"187","S3P1.C1",0.00852,-0.00731
"188","S3P3.C1",0.00243,-0.00703
"189","S3P5.C1",-0.00816,0.03475
"190","S1P2.C2",-0.00145,-1.43969
"191","S1P4.C2",0.00902,0.0363
"192","S1P6.C2",0.00354,0.05686
"193","S2P8.C2",-0.00486,0.04244
"194","S2P4.C2",0.00382,0.03558
"195","S2P6.C2",0.00769,0.01428
"196","S3P2.C2",-0.0054,0.03495
"197","S3P4.C2",-0.00363,0.03561
"198","S3P6.C2",-0.00492,0.01455
"199","S1P1.C1",0.00419,0.0361
"200","S1P3.C1",0.01181,0.05667
"201","S1P5.C1",0.03036,-1.42565
"202","S2P1.C1",0.01074,0.03539
"203","S2P3.C1",0.00232,0.02591
"204","S2P7.C1",-0.00194,0.05667
"205","S3P1.C1",-0.01675,0.01405
"206","S3P3.C1",0.00855,0.01434
"207","S3P5.C1",0.00922,0.05618
"208","S1P2.C2",0.01496,-1.42546
"209","S1P4.C2",0.00151,0.0577
"210","S1P6.C2",0.00643,0.08181
"211","S2P8.C2",-0.00584,0.06381
"212","S2P4.C2",0.00309,0.05697
"213","S2P6.C2",0.00496,0.03568
"214","S3P2.C2",-0.00786,0.05638
"215","S3P4.C2",-0.01952,0.05701
"216","S3P6.C2",0.00991,0.03595
"217","S1P1.C1",-0.0086,0.0575
"218","S1P3.C1",0.00747,0.08161
"219","S1P5.C1",0.02368,-1.40788
"220","S2P1.C1",0.00312,0.05678
"221","S2P3.C1",0.01014,0.0473
"222","S2P7.C1",-0.01321,0.0816
"223","S3P1.C1",0.02388,0.03544
"224","S3P3.C1",0.00326,0.03574
"225","S3P5.C1",0.00479,0.07759
"226","S1P2.C2",-0.01641,-1.40769
"227","S1P4.C2",0.011,0.08265
"228","S1P6.C2",-0.00679,0.10321
"229","S2P8.C2",-0.00636,0.08874
"230","S2P4.C2",0.00102,0.0819
"231","S2P6.C2",-0.00648,0.05706
"232","S3P2.C2",-0.00416,0.0778
"233","S3P4.C2",-0.00808,0.08193
"234","S3P6.C2",-0.00866,0.06083
"235","S1P1.C1",0.00523,0.08245
"236","S1P3.C1",0.00878,0.10301
"237","S1P5.C1",0.01562,-1.39363
"238","S2P1.C1",0.00573,0.08171
"239","S2P3.C1",0.00341,0.06868
"240","S2P7.C1",0.00355,0.10296
"241","S3P1.C1",0.000851,0.05684
"242","S3P3.C1",0.01166,0.06062
"243","S3P5.C1",0.00766,0.10253
"244","S1P2.C2",0.00814,-1.39345
"245","S1P4.C2",0.00859,0.10404
"246","S1P6.C2",-0.00434,0.12461
"247","S2P8.C2",0.01007,0.1101
"248","S2P4.C2",0.00716,0.1033
"249","S2P6.C2",0.00802,0.07846
"250","S3P2.C2",0.0127,0.10272
"251","S3P4.C2",0.000307,0.10334
"252","S3P6.C2",0.00996,0.08222
"253","S1P1.C1",-0.00742,0.10384
"254","S1P3.C1",0.00407,0.12441
"255","S1P5.C1",0.02062,-1.37941
"256","S2P1.C1",0.01024,0.10311
"257","S2P3.C1",0.00341,0.09008
"258","S2P7.C1",-0.00134,0.1244
"259","S3P1.C1",0.0051,0.08177
"260","S3P3.C1",0.01409,0.08201
"261","S3P5.C1",0.00671,0.12394
"262","S1P2.C2",-0.00522,-1.37922
"263","S1P4.C2",0.00587,0.12547
"264","S1P6.C2",0.00421,0.14601
"265","S2P8.C2",0.00621,0.13154
