"","Condition","Site","Set","Time","fCO2_13_C1","fCO2_13_C2","fCO2_13_py_C1","fCO2_13_py_C2","C1_C2_diff_fCO2_13_py","C1_C2_ratio_sum_fCO2_13_py"
"1","drought","Site1","Set1","3",656.728443279163,156.295512184102,524.056114100597,85.4822292655833,438.573884835013,0.859759061598148
"2","drought","Site1","Set1","6",836.083609169566,250.544236132707,701.420235140066,181.781611381416,519.63862375865,0.794178859456229
"3","drought","Site1","Set1","12",523.147762455389,290.032526233809,432.737553503,230.583525415705,202.154028087296,0.652380223177011
"4","drought","Site1","Set1","18",297.980863306242,288.286179794903,235.244550396677,242.571665182692,-7.32711478601442,0.492332706020525
"5","drought","Site1","Set1","24",256.957112177639,256.109994212158,180.113257927616,189.9399888015,-9.82673087388378,0.486722544713846
"6","drought","Site1","Set1","30",367.868946038041,317.967490159303,240.978000751048,242.584667415843,-1.60666666479534,0.498338719290629
"7","drought","Site1","Set1","36",264.157427089776,208.600618354046,170.989455425672,158.364381504597,12.6250739210753,0.519166429088464
"8","drought","Site1","Set1","42",176.194294062305,141.629731728043,107.721350092106,100.727662274787,6.99368781731951,0.516775535988172
"9","drought","Site1","Set1","48",143.733531460863,117.80166405031,69.4729316385273,79.6630438739585,-10.1901122354313,0.465836169977048
"10","drought","Site1","Set2","3",341.305794452169,169.270679226509,259.989143846725,80.5435676694102,179.445576177315,0.7634777366591
"11","drought","Site1","Set2","6",339.018329474071,247.604958683678,256.17252325458,157.632665215292,98.539858039288,0.619065517766535
"12","drought","Site1","Set2","12",213.204251304858,251.451593228086,156.365343862995,176.925755972249,-20.5604121092544,0.469155473819406
"13","drought","Site1","Set2","18",153.326755916307,262.710380100129,103.75889040496,192.979573335345,-89.2206829303854,0.349664445576445
"14","drought","Site1","Set2","24",128.420392547782,252.46484008401,78.641575341493,169.698947802094,-91.0573724606008,0.316668316334437
"15","drought","Site1","Set2","30",165.050773896457,318.078474722867,93.728061006179,217.547679000703,-123.819617994524,0.301109431156141
"16","drought","Site1","Set2","36",125.620863188198,215.059223416261,74.1575783061365,138.710814057392,-64.5532357512553,0.348372895960491
"17","drought","Site1","Set2","42",99.8196987255016,151.005814262905,50.8464151638755,83.9058504597126,-33.0594352958371,0.377332543750381
"18","drought","Site1","Set2","48",82.1748275926623,123.56081971731,36.0370273703591,58.3287477462271,-22.291720375868,0.381886624953129
"19","drought","Site1","Set3","3",347.734301843727,96.9511129228245,260.592489499723,23.6088870516185,236.983602448105,0.916929019352046
"20","drought","Site1","Set3","6",398.985233432552,125.143331080135,302.551024234035,43.8966852608144,258.654338973221,0.87329491851795
"21","drought","Site1","Set3","12",289.382453961403,106.101653732711,213.965804529408,40.2881325911144,173.677671938293,0.841543721810621
"22","drought","Site1","Set3","18",209.807858642385,89.1589312597094,146.451822878887,30.0773140520156,116.374508826871,0.829618415549222
"23","drought","Site1","Set3","24",178.978433528661,80.5596586117213,98.8741712439486,22.6009975918553,76.2731736520933,0.813945534643342
"24","drought","Site1","Set3","30",207.600023617685,113.377599242707,123.320567787252,26.270058122177,97.0505096650751,0.824387003112866
"25","drought","Site1","Set3","36",NA,101.161535130258,NA,23.9990373272939,NA,NA
"26","drought","Site1","Set3","42",NA,86.6977470566821,NA,17.8164414029381,NA,NA
"27","drought","Site1","Set3","48",NA,70.967662466181,NA,11.9638554396838,NA,NA
"28","drought","Site2","Set1","3",921.451342410179,NA,584.413645993691,NA,NA,NA
"29","drought","Site2","Set1","6",1005.07131244066,NA,655.378043825227,NA,NA,NA
