"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"KO:K00001",85.7202706351212,-0.541255284660332,0.661153080830683,0.147845582551659,0.503752310076948
"KO:K00002",1.28814899271557,-0.0258543147878352,0.659903832451941,0.280601708793623,NA
"KO:K00003",356.903898973736,4.81930438176374,1.26804231075456,3.71669611506115e-07,5.46651664603194e-05
"KO:K00004",2.05202084985564,0.0867562201841888,0.662872067913177,0.54474641212995,NA
"KO:K00005",0.2951152538905,-0.00521225579400286,0.659281690965023,0.750034567583152,NA
"KO:K00006",2.12346025441502,-0.0190983592143568,0.659835821835702,0.597233394962998,NA
"KO:K00007",0.0826935429112074,-0.0065683304282927,0.659211342117253,0.741926033790872,NA
"KO:K00008",100.071109463848,-0.93611318814419,0.740697945254759,0.0317875772211519,0.238050756501376
"KO:K00009",20.7478337333586,-0.412161377038236,0.866986816147065,0.00192751848012209,0.0383939751647822
"KO:K00010",14.9474212622912,-0.180192873735516,0.642464735560523,0.419136233992648,0.746326359511365
"KO:K00011",0.267800681574491,0.0357314945410945,0.659443142438718,0.945087942246086,NA
"KO:K00012",297.513590234236,-1.21015487873487,0.410059530330296,0.000491487502462394,0.0135879665154453
"KO:K00013",78.3177608320549,-0.231255833477823,0.580114085140001,0.42804499196017,0.753432951382262
"KO:K00014",58.9234561496719,-1.41058357408956,1.87250104002326,0.00731834177361725,0.0989163936854539
"KO:K00015",39.8856381141648,-0.364495924821921,0.68900959132347,0.221498752816127,0.578445251494956
"KO:K00016",9.60812191046227,-0.00224762903011712,0.579824483540435,0.836905818719644,0.955980955399854
"KO:K00018",5.13578447411498,0.510169442692574,0.887930520430445,0.0937307428107016,0.404991705422973
"KO:K00019",81.6784980249159,1.5249616240311,0.696162136902129,0.00340059507398147,0.0587606634623254
"KO:K00020",77.7217140515227,-0.446280302949659,0.567462071099753,0.228533707032574,0.583629212682118
"KO:K00021",11.9941253812768,-0.141355529567089,0.667895552059146,0.132285792193686,0.481772803802583
"KO:K00022",0.482493481129889,-0.0102399606292971,0.65902160647987,0.75036907111512,NA
"KO:K00023",200.889167966096,0.989364411785899,0.684981320966977,0.0266295310479496,0.215967444538943
"KO:K00024",887.060286824719,0.191153882398667,0.525714633022873,0.56410354934504,0.835700544295613
"KO:K00025",0.831590040695327,-0.0509648134454081,0.662511327608644,2.75449236760743e-06,NA
"KO:K00026",31.082102649265,0.05977582169361,0.648732371184831,0.786171096946455,0.939160154937963
"KO:K00027",212.452804566618,-0.0429186263578722,0.527518691122248,0.878440876187598,0.973542660029593
"KO:K00029",163.562028164057,0.0659255005065635,0.479738051950247,0.8396800589326,0.957839573588974
"KO:K00030",59.761988786761,0.0486143978680388,0.510107761199411,0.882892359875684,0.973694275398596
"KO:K00031",707.017193731905,-0.0952235722801679,0.34099996630949,0.733450569043287,0.924228150230351
"KO:K00032",0.429913699604996,-0.0311372533998789,0.660021549598469,0.553094916143325,NA
"KO:K00033",133.529266237548,-0.872576048016543,0.645410441095458,0.0389886763936276,0.272097803474321
"KO:K00034",88.6746892274455,0.0649133794244467,0.57071237142596,0.801117048048326,0.94398461684783
"KO:K00035",1.26200159482356,0.0306834194688712,0.659173747659771,0.944958420902931,NA
