"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"KO:K00001",85.7202706351212,-0.0124546952915599,0.346028978592452,0.940965207789759,0.999105408904069
"KO:K00002",1.28814899271557,-0.00232461988610234,0.378484448863131,0.836068519757738,0.999105408904069
"KO:K00003",356.903898973736,0.302422232032771,0.570818411761204,0.00224017159357847,0.0938400688874882
"KO:K00004",2.05202084985564,-0.0367444727369351,0.379666929800143,0.537100701681815,0.999105408904069
"KO:K00005",0.2951152538905,-0.00132191134890846,0.378504534311264,0.839354432462197,NA
"KO:K00006",2.12346025441502,-0.00444871265519027,0.378540413944419,0.766412444767416,0.999105408904069
"KO:K00007",0.0826935429112074,-0.00186310125407747,0.37848814657271,0.844919555017805,NA
"KO:K00008",100.071109463848,0.158286279304398,0.375734458577159,0.313961539783721,0.999105408904069
"KO:K00009",20.7478337333586,-0.0318426438945719,0.378726071759091,0.980935836593402,0.999105408904069
"KO:K00010",14.9474212622912,-0.0154227598808186,0.368662934531373,0.857008726554572,0.999105408904069
"KO:K00011",0.267800681574491,0.0108360759497218,0.378572868619822,0.630752722544252,NA
"KO:K00012",297.513590234236,-0.0508619761777958,0.282589596018959,0.784333364559902,0.999105408904069
"KO:K00013",78.3177608320549,-0.0217236648475373,0.351029198162061,0.848256182447561,0.999105408904069
"KO:K00014",58.9234561496719,-0.0687753359854851,0.369112473194782,0.52636447656361,0.999105408904069
"KO:K00015",39.8856381141648,-0.114188806853989,0.385826101634945,0.296840910302761,0.999105408904069
"KO:K00016",9.60812191046227,-2.04108624849979,1.45806057865905,0.00336129307567958,0.130338252480023
"KO:K00018",5.13578447411498,-0.05830335221256,0.371550924615329,0.444564288272175,0.999105408904069
"KO:K00019",81.6784980249159,-0.0773083377278516,0.334257151764527,0.63391942085214,0.999105408904069
"KO:K00020",77.7217140515227,-0.291193494580524,0.462032832436539,0.118576599235707,0.982286318677601
"KO:K00021",11.9941253812768,-0.0454836231239273,0.378307683046631,0.374861492530923,0.999105408904069
"KO:K00022",0.482493481129889,-0.0117632866653379,0.37876687106587,0.566886860535952,NA
"KO:K00023",200.889167966096,-0.0657963754580922,0.336402062159158,0.679353913613357,0.999105408904069
"KO:K00024",887.060286824719,-0.0583894560444568,0.3486515161613,0.685409392690518,0.999105408904069
"KO:K00025",0.831590040695327,-0.0126925894147264,0.378683492660927,0.000335451564967539,0.0254805332567809
"KO:K00026",31.082102649265,0.00727953164518496,0.376040350386365,0.903531011315786,0.999105408904069
"KO:K00027",212.452804566618,0.0966643677589582,0.363749047084169,0.491551202339503,0.999105408904069
"KO:K00029",163.562028164057,-0.391466129334057,0.548043293490929,0.060803883944391,0.773302078410426
"KO:K00030",59.761988786761,-0.131419311766829,0.371860801010762,0.363730400724037,0.999105408904069
"KO:K00031",707.017193731905,-0.0269986831852423,0.279199252065885,0.883330514870891,0.999105408904069
"KO:K00032",0.429913699604996,-0.00220029250284614,0.378454381164396,0.849925258605532,NA
"KO:K00033",133.529266237548,-0.124391949496682,0.349801345476465,0.461566495742125,0.999105408904069
"KO:K00034",88.6746892274455,-0.108581302223769,0.378166829984635,0.363369229930504,0.999105408904069
"KO:K00035",1.26200159482356,0.0108584362595154,0.378494510217722,0.517801136121999,0.999105408904069
"KO:K00036",249.383542179233,-0.230201226503381,0.332457342852467,0.260208355014129,0.999105408904069
"KO:K00038",5.91160289295975,-0.0326219017689061,0.371914938020713,0.668543455914073,0.999105408904069
"KO:K00039",1.03922663615954,0.0126674699734436,0.378583147369087,0.520045327681594,0.999105408904069
"KO:K00040",0.3579078229627,-0.0106635231389213,0.378672957472557,0.769767268465028,NA
"KO:K00041",0.407751278747512,0.0118072005122746,0.378587753620253,0.621471693286942,NA
"KO:K00042",36.7506970926441,-0.126778199872586,0.393557742885048,0.232530399525741,0.999105408904069
"KO:K00045",9.91965752307866,-0.0214486309571255,0.379109549940636,0.197503915532302,0.999105408904069
